འང-དེ	vacant
སངས-རྒྱས-ཡོན-ཏན-ཕུན-སུམ-ཚོགས-པ-དང-ལྡན-པ	{C}associated with the achievement of the qualities of a Buddha
སྦ-བ	{C}protection; in possession of
སྦོམ-པོ	large; bulky; big; size
སྦྲན-ཏེ	{C}(solemnly) declare; announce
སྦྲུ-མ	{C}pregnant
སྦྲུལ-གྱིས-གང-བར	{C}infested with wild beasts
སྦྲུམ-མ	{C}pregnant
སྦྱངས	{C}err about; run together
སྦྱངས-པ	 {C}refined; splendid; well-purified|{C}ascetic practices 
སྦྱངས-པ-ཡང-དག-སྡོམ	{C}austere penance of the ascetic practices
སྦྱངས-པའི-ཡོན-ཏན	{C}qualities of an ascetic; ascetic practices
སྦྱངས-པའི-ཡོན-ཏན-དང-ལེགས-པར-སྡོམ-པ	{C}qualities of an austere ascetic; qualities of the ascetic practices
སྦྱངས-པའི-ཡོན-ཏན-དང-ཡོ-བྱད-བསྙུངས-པ	{C}qualities of an austere ascetic; qualities of the ascetic practices
སྦྱངས-པའི-ཡོན-ཏན-གྱི-སྡོམ-པ-མི-བཏང-བ	{C}the non-abandonment of the austere penances of the ascetic practices
སྦྱངས-པའི-ཡོན-ཏན-ཡོངས-སུ-བརྗོད-པ	{C}proclamation of ascetic qualities
སྦྱངས-སྡོམ	{C}one who has behaved in accordance with ascetic practices
སྦྱར-བར-བགྱི	united; apply oneself; employ
སྦྱར-མ-དང-ལྷུང-བཟེད-འཆང-ཞིང-སྤྱོད	{C}(when) carrying his waist-cloth, robe, and almsbowl
སྦྱིན-བདག	{C}giver; granter
སྦྱིན-བྱེད	{C}bestowal
སྦྱིན-དུ-མེད-པ	{C}can be communicated; with na: cannot be communicated
སྦྱིན-གནས-འགྱུར	{C}worthy of gifts/donations; worthy of offerings
སྦྱིན-གནས-སུ-གྱུར-པ-ཡིན-ནོ	{C}arrives at/reaches a state where he is worthy of receiving gifts
སྦྱིན-པ	{C}offerings; that which he bestows
སྦྱིན-པ-རྩོལ-བ	{C}gives various gifts
སྦྱིན-པའི-གནས	{C}worthy of gifts/donations/offerings
སྦྱིན-པའི-གནས-སུ-འགྱུར-རོ	{C}arrives at/reaches a state/condition where he is worthy of receiving gifts/donations/offerings
སྦྱིན-པར-བགྱིད-པ	{C}what bestows
སྦྱིན-པར-བགྱིད-པ-མ-ལགས-པ	{C}donor
སྦྱིན-པར-བྱེད	{C}honor
སྦྱིན-པར-བྱེད-པ	{C}it bestows
སྦྱོང-བ	{C}clean
སྦྱོང-བར-བྱེད-པ	{C}softens; irrigates
སྦྱོར	{C}incite to; enjoin (upon); embark on; applies oneself; be engaged in; be joined to; practice; is tenable (to say); logical to equate [with negative: is not tenable (to say); not logical to equate]; apply oneself to; distribute (evenly); join up (with);
སྦྱོར-བ	{C}work [the integration of theory and practice exercised by the Bodhisattva]; exert oneself; devotion; practice; junction; occupation; undertaking; matter for joining; apply oneself to; yoked to; distribute (evenly); join up (with); cling; exercise; asso
སྦྱོར-བ-ལ-བརྟེན-པར-འགྱུར-ཏེ	{C}clings to
སྦྱོར-བ-མ-ཡིན-པ	{C}non-junction; not a matter for joining
སྦྱོར-བ-རྩོམ-སྟེ	{C}undertake exercises
སྦྱོར-བར-བྱེད	{C}incite to; enjoin (upon); unite with; agree with
སྦྱོར-བར-བྱེད-དོ	{C}unite with; agree with
སྦྱོར-བྱེད-པ	{C}incite to; enjoining; enjoin (upon); makes effort; unite with
སྦྱོར-ཞིང-འབད-པ-ཆེར-རྩོལ	{C}bestirs himself; be astir with
སྡམས-ཏེ	{C}bound; tied (to); tied up; caught in
སྡང	{C}full of hate
སྡེ-བདུན-མདོ-དང-བཅས-པའི-དགོངས-འགྲེལ-ཚད-མ-རིགས-གཏེར-གྱི-འགྲེལ-བ-རིགས-ལམ-རབ-གསལ	{GD:848} Tuk-je-b#el-sang's (thugs rje dpal bzang) Illumination of the Path of Reasoning, Commentary on [Sa-paṇ's] Treasury of Valid Cognition" which Explains the Thought of [Dharmakīrti's] Seven Texts together with [Dignāga's] Sūtra. Reprint of Der-ge ed
སྡེ-བདུན-མདོ-དང-བཅས-པའི-དགོངས-འགྲེལ-ཚད-མ-རིགས-གཏེར-གྱི-འགྲེལ-བའི-རྣམ-བཤད-རིགས-ལམ-གསལ-བའི-ཉི-མ	{GD:845} Lo Khen-chen's (glo bo mkhan chen bsod nams lhun grub) Sun Illuminating the Path of Reasoning, an Extensive Explanation which is a Commentary to [Sa-paṇ's] Treasury of Valid Cognition" [and] a Commentary on the Thought of [Dharmakīrti's] Seven Tr
སྡིག-བྱེད	{C}a cause of evil
སྡིག-པ	{C}evil; misfortune
སྡིག-པ-དང-བྲལ-བ	{C}which desists from evil
སྡིག-པའི-གྲོགས-ལྡན	{C}one who has bad friends
སྡིག-པའི-གྲོགས-པའི-ལག-ཏུ-སོང-བ	{C}one who is in the hands of a bad friend [spiritual advisor, teacher]
སྡིག-པའི-གྲོགས-པོ	{C}bad friend
སྡིག-པའི-གྲོགས-པོས-ཉེ-བར-བརྟེན-པ	{C}one who relies on bad friends
སྡིག-སྦྲུལ	{C}crawling animal; snake
སྡོད-ལུགས	{GD:384} mode of existence
སྡོད-པ	{C}stands; abides; stand up; remain; sit; stay; be at ease
སྡོམ-བྱེད	{C}restrains himself
སྡོམ-མ-ཡིན	{C}no restraint; non-restraint
སྡོམ-མིན	{C}no restraint; non-restraint
སྡོམ-པ	{C}restraint(s); restrain; self-mastery; engagement; (austere) penance
སྡོམ-པ-འཛིན-པར-བྱེད	{C}effects restraint
སྡོམ-པར-འཛིན	{C}promises restraint
སྡོན-པོ-ལོ-མ	{C}stalks and leaves (and branches)
སྡོང	{C}tree
སྡོང-བུ	{C}tree; boil; trunk; tree
སྡོང-དུམ-མེས-ཐག-པ-ལའང	{C}burned at the stake
སྡོང-པོ	{C}tree
སྡུད	{C}assemble
སྡུད-པ	{C}comprehension; assembling; comprehended; attraction; comprising; that which comprehends; complete removal of; are summed up in; combine; comprised; combination; summary; means of conversion
སྡུད-པར-བགྱིད	{C}assemble; compress
སྡུད-པར-མི-བགྱིད	{C}assemble; compress
སྡུག-བསྔལ	{C}misery; torment; discomfort; feeling; sickness; disease; sorry; painful; ailing; miserable
སྡུག-བསྔལ-བར-འགྱུར-ཏེ	{C}suffering; discomfort
སྡུག-བསྔལ-གྱིས-ཡོད-གཟིར-ཅིང	{C}distressed
སྡུག-བསྔལ-གྱུར-བ	{C}in trouble
སྡུག-བསྔལ-མང-བ	{C}has many pains
སྡུག-བསྔལ-མང-པོ	{C}what abounds in suffering
སྡུག-བསྔལ-སེལ-བ	{C}removal of suffering
སྡུག-པ	{C}dear; kind; beloved; lovely; wholesome; pleasant; merit; pleasantness
སེ-གོལ-གཏོགས-པ-སྲིད-དུ	{C}it lasts no longer than a finger-snap
སེལ	{C}removal
སེལ-འཇུག	{GD:418} discriminative engagement
སེལ-བ	{C}removes; attracts; {GD:298} conceptual exclusion
སེལ-བར-བྱེད	{C}takes away
སེལ-ངོར	{GD:105} point of view of elimination (p.o.v. of ordinary beings); {GD:186} conceptual perspective; eliminative perspective
སེམས	{C}attitude of mind; state of thought; state of mind; heart; inclination to; mind; mental activity; fancies (himself for); thinks of; minds about; thinks about; thinks with regard to; minds; puts his mind to; sets above; feel conceited; cares about; mindf
སེམས-འབྱུང-བ	{C}arising citta; arising of the altruistic intention to become enlightened
སེམས-འདི-བཟང-བ-མིན-སྙམ	{C}"(these are)" unwholesome (thoughts?)
སེམས-འཁྲུག-པ	{C}perplexity; confusion of thought; mental distraction
སེམས-འཁྲུགས-པར-འགྱུར-རོ	{C}become confused (distracted/perplexed/distraught) in mind; perplexity; confusion of thought; mental disturbance
སེམས-འཁྲུལ-བ	{C}his mind does wander; bewildered in his heart
སེམས-འཁྲུལ-མེད	{C}his thoughts do not wander; his mind does not wander
སེམས-བསྐྱེད	{C}production of thought
སེམས-བསྐྱེད-མ-ཐག-ཏུ-ཆོས-ཀྱི-འཁོར-ལོ-བསྐོར-བ	{C}Sacittotpāda-dharmacakra-pravartin [p.n. of a Bodhisattva]
སེམས-བསྐྱེད-པ	{C}production of thought; attitude of mind
སེམས-བསྐྱེད-པར-བགྱིད-པ	{C}reflects
སེམས-བྱེད	{C}would perservere (single-mindedly?)
སེམས-ཅན	{C}relation to a being; world
སེམས-ཅན-འཇིག-རྟེན	{C}the world of living beings
སེམས-ཅན-དམ-པ	{C}the very cream of beings
སེམས-ཅན-དབུལ-པོ	{C}beggarly being
སེམས-ཅན-དུ-གདགས-པ	{C}concept of a being
སེམས-ཅན-གྱི-ཕུང-པོ	{C}mass of beings
སེམས-ཅན-གྱི-རིས	{C}collection/world of beings; clan of beings
སེམས-ཅན-གྱིས	{C}relation to a being
སེམས-ཅན-ཁམས	{C}world of beings
སེམས-ཅན-ཀྱི-ཁམས	{C}world of beings
སེམས-ཅན-མེད-པ	{C}(it) is not; non-beingness; there is no being; absence of a being; they have not the character of beings; no beings (in it); a being is non-existent; unsubstantial; non-existence of a being
སེམས-ཅན-མེད-པའི-ཕྱིར	{C}from the non-beingness of beings; non-existence of a being; there is no being
སེམས-ཅན-ངོ-བོ-ཉིད-མ-མཆིས-པ-དང-སྐྱེ-བ-མ-མཆིས-པའི-རང-བཞིན-ཅན	{C}the absence of own-being in beings belongs to the very essence of
སེམས-ཅན-ཐམས-ཅད-འདུལ-ནུས-པ	{C}Sarva-vinaya-samartha [p.n. of a Buddha]
སེམས-ཅན-ཐམས-ཅད-ལས-མངོན-པར-འཕགས-པ	{C}a state where they are elevated above all beings
སེམས-ཅན-ཚོགས	body of beings
སེམས-དད-པ-གཅིག-ཙམ	{C}one single thought
སེམས-དང-པོ-བསྐྱེད-པ-ཡིན	{C}from where they began with the production of the thought of enlightenment; on account of the first thought of enlightenment; on account of the first production of the first thought of enlightenment; from the first thought of enlightenment onwards
སེམས-དང-པོ-གནས-པ	{C}one who has had his first thought of enlightenment
སེམས-དང-སེམས-བྱུང-རྣམས	{C}thought and its constituents
སེམས-དང-སེམས-ལས-བྱུང-བ	{C}mental events
སེམས-དམྱལ	{C}hell
སེམས-དཔའ	{C}substance; energy
སེམས-དུལ-བ	{C}a mind completely tamed
སེམས-གནས-པ	{C}stability of thought
སེམས-ཁོང-ཁྲོ-བ-མེད-པ	{C}his thought free from hostility
སེམས-ཁྲོས	{C}with angry thought
སེམས-ཀུན-གནས-པ	{C}complete stabilization of thought
སེམས-ཀྱི	{C}mental event; which belongs to thought
སེམས-ཀྱི-རྒྱུད	{C}series of thoughts; trend of thought; mentality
སེམས-ཀྱི-རྒྱུན	{C}trend of thought
སེམས-ཀྱི-རྒྱུན-མ-ཆད-ཅིང-མ-བྲལ-བར	{C}while giving no opportunity to thought of another kind
སེམས-ཀྱི-རྣམ-གྲངས-ཤེས-པ	{C}the cognition of others' mental make-up
སེམས-ཀྱི-རྣམ-རྟོག-སྤྱོད-པ	{C}thoughts and doings/actions; preoccupations
སེམས-ཀྱི-སྐད-ཅིག	{C}thought-moment
སེམས-ཀྱི-སྐད-ཅིག-མ-གཅིག-དང-ལྡན-པ	{C}connected with; entrusted to
སེམས-ཀྱི-སྤྱོད-པ	{C}thoughts and doings
སེམས-ཀྱི-སྤྱོད-པ-དང-གཡོ-རྣམས	{C}the thoughts and actions
སེམས-ཀྱི-ཡོངས-སུ-རྟོག-པ-སེམས	{C}knew that ... he was in such a wise discoursing in his heart
སེམས-ཀྱིས-བྱེད-པ	{C}thought-generated
སེམས-ཀྱིས-རྟོགས-པར-བྱ-བ	{C}what thought has access to
སེམས-ལ-གདུང-བ	{C}thoughts which torment
སེམས-ལ-གནོད-པར-བྱེད	{C}cherish malice for; feel anger
སེམས-ལ-སྒྲིབ-པ	{C}thought-coverings
སེམས-ལ-སྒྲིབ-པ-མེད	{C}absence of thought-coverings
སེམས-ལས-བྱུང-བ	{C}mental event
སེམས-ལས-བྱུང-བའི-ཆོས	{C}dharmas which constitute mental events
སེམས-མ-འཁྲུལ-བ	{C}his mind does (not) wander; bewildered in his heart
སེམས-མ-དད-པ	{C}his thought devoid of serene faith
སེམས-མཆིས	{C}with citta; having thought
སེམས-མེད	{C}absence of citta
སེམས-མེད-པ	{C}absence of citta; free from thought; no-thought
སེམས-མེད-པར-གནས-པ	{C}the stability of a no-thought
སེམས-མཉམ-ཉིད	{C}the same attitude of mind; treat equally; even attitude of mind
སེམས-མཉམ-པ	{C}evenminded(ness)
སེམས-མཉམ-པ-ཉིད	{C}evenminded(ness); the same attitude of mind; treat equally; even attitude of mind
སེམས-ཉིད	{C}mind bent on
སེམས-པ	{C}ideas; habits; reflect (on); deliberation; reflection; volition; act of will; will (for); find; entrance; discovers; think; seat; resolution; mentality
སེམས-ཕྱིན-ཅི-ལོག-ཏུ-གྱུར-པ	{C}a perverted thought
སེམས-རབ-ཏུ-ཉེ-བར-བཞག-པ	{C}their thoughts well supported
སེམས-རྣམ-པར-འཁྲུགས-པ	{C}perplexed; confusion of thought
སེམས-རྣམ-པར-གཡེང-བ	{C}perplexed; distracted thoughts; confusion of thought
སེམས-རྣམ-པར-གཡེངས-པ	{C}perplexed; distracted mentally; distracted thoughts; confusion of thought
སེམས-རྣམ-པར-གཡོང-བ	{C}perplexed; distracted mentally; distracted thoughts; confusion of thought
སེམས-ཤིང	{C}minding; proudly imagine
སེམས-སྙོམས	{C}even mind
སེམས-ཏེ	{C}his mind is impressed by; consider; bring out; bear in mind; bring to mind; behave towards
སེམས-ཐམས-ཅད-ཀྱི-དབང-དམ-པའི-ཕ-རོལ-ཏུ-སོན-པ	{C}in perfect control of their entire hearts [or: whole minds]
སེམས-ཐམས-ཅད-ཀྱི-དབང-གི-དམ-པའི-ཕ-རོལ-ཏུ-ཕྱིན-པ-ཤ-སྟག	{C}in perfect control of their whole minds
སེམས-ཚིམ-པར-གྱུར	{C}delighted
སེམས-ཞུམ-པ	{C}cowedness
སེང-གེ-རྣམ-བསྒྱིངས	{C}lion's sport; (like a) lion's yawn
སེང-གེ-རྣམ-པར-བསྒྱིངས	{C}lion's sport; (like a) lion's yawn
སེང-གེ-རྣམ-པར-རྩེ-བ	{C}lion's play
སེང-གེའི-འགྲོས-སུ-བཞུད-པ-ཡིན	{C}one who walks with the stride of a lion
སེར-སྣ	stingy; {C}mean(ness); niggardly; jealousy
སེར-སྣ-མེད	{C}absence of meanness
སེར-སྣའི-སེམས	{C}grudge
སྒེགས	{VM} obstructor
སྒོ	{C}face; calling forth; consummation; emission
སྒོམ-ལམ	{C}path of development
སྒོམ-པ	{C}progress; development
སྒོམ-པ-མེད	{C}non-development
སྒོམ-པ-ཞེས-བྱ-བ	{C}path of development; one speaks of meditational development
སྒྲ	{C}voice; message; sense-field; occasion for; source; voice; meaningful sound; sounds; language; vocal sounds; speech; {GD:681} verbal testimony
སྒྲ-བརྙན	{C}echo
སྒྲ-དབྱངས	{C}melody
སྒྲ-དོག-འཇུག	{GD:109} strictly
སྒྲ-དོན	object [indicated by] words {GD:248}
སྒྲ-གཅན-གཟའ-བྲལ	{C}released from the planet Rāhu
སྒྲ-ཇི-བཞིན	{C}according to the letter; the cognition of what really is
སྒྲ-ལས-བྱུང-བ	{GD:692} verbal testimony
སྒྲ-མེད	{C}no word; without words
སྒྲ-ཉིད	{C}voice
སྒྲ-ཕྱུང-བ	{C}pronounce
སྒྲ-སྒྲོགས-པར	{C}roars
སྒྲ-ཤེས-པར-བྱ-བ-ལ-མཁས-པ	{C}skill in the cognition of words
སྒྲ-སྙན	{C}pleasant sound
སྒྲ-སྤྱི	{GD:436}term-universal
སྒྲའི-དངོས-ཀྱི-བོད-བྱ	{C}skill in the cognition of words;{GD:420} direct object signified by words
སྒྲའི-གཞན-སེལ	{GD:406}verbal exclusion
སྒྲའི-ཡུལ-མ-ཡིན	{GD:119} not directly denotable by language
སྒྲས-བརྗོད-རིགས-ཀྱི-སྒོ-ནས-དབྱེ-བ	{GD:176} metaphorical division
སྒྲས-ཟིན-སོགས-ཀྱིས-གསལ-བར-མཚོན-པ	{GD:515}clearly indicated by words
སྒྲིབ	{C}darkness
སྒྲིབ-པ	{C}obscuration; covering; veil; hindrance
སྒྲིབ-པ-མེད-པ	{C}uncovered
སྒྲིབ-པ-ཉོན-མོངས	{C}obscurations of the afflictions
སྒྲོགས-པ	{C}roars; roaring; resounding declaration
སྒྲོགས-པར-བྱེད	{C}preach
སྒྲོལ-བ	{C}one who has finished with
༅སྒྲོན-མ,-སྒྲོན-མེ	{C}torch; meteor
སྒྲུབ	{C}calling forth; emission; consummation; door; progress; hasten towards; promise; behave; full attainment; accomplishes; creates; perfects; achieves
སྒྲུབ-བྱའི-ཆོས	{GD:275}property of the probandum, one of the four terms of an argument (sbyor ba)
སྒྲུབ-བྱེད	that which accomplishes/succeeds/proves; proof;
སྒྲུབ-བྱེད-དམ-པ	{GD:626}constitutive factor; epistemic establisher
སྒྲུབ-པ	{C}progress; progressive (path); accomplishment; (reach) consummation; creation; path; practices; (bound to) progress towards
སྒྲུབ-པ-ཕུན-སུམ-ཚོགས-པ-དང-ལྡན-པ	{C}able to substantiate his claims
སྒྲུབ-པར	{C}bring about; which effect
སྒྲུབ-པར-འགྱུར-རོ	{C}perfect (oneself); progressively train in
སྒྲུབ-པར-བགྱིད	{C}as productive of; brings about
སྒྲུབ-པར-བྱེད-ཀྱི	{C}gives; give over to; permit
སྒྲུབ-པར-བྱེད-པ	{C}nourisher; nurse; nourishes; that which feeds; one who accomplishes
སྒུར-པོ	{C}hunch-backed
སྒྱུ	{C}artfulness
སྒྱུ-མ	{C}magic; magical illusion(s); deception; mock show; artificial
སྒྱུ-མ-འདྲར	{C}like an illusion; like illusion; similar to a mock show
སྒྱུ-མ-བཞིན-དུ	{C}like an illusion
སྒྱུ-མ-དང-སྤྲུལ-པ-ལྟ-བུ	{C}fictitious; magically created; magical creation; conjured up by; illusory magical creation; apparition
སྒྱུ-མ-ལྟ-བུ	{C}like illusion; magical image; like (an) illusion; similar to a mock show
སྒྱུ-མ-ལྟ-བུའི-ཏིང-ངེ-འཛིན	{C}concentration on (everything as an) illusion
སྒྱུ-མ-ལྟ-བུར	{C}born of illusion
སྒྱུ-མ-མཁན	{C}juggler; bamboo worker
སྒྱུ-མ-མཐོང-བ	{C}seen as illusion
སྒྱུ-མ-སྒྲུབ-ཤེས-སྒྱུ-མ-འདྲར	{C}perfect in knowing the various forms of magical illusion
སྒྱུ-མའི-ཆོས-ཉིད-ཉེ-བར-བཟུང-ན	{C}seeing that their nature is illusory
སྒྱུ-མའི-སྐྱེས-བུ	{C}magically created person
སྒྱུ-རྩལ-ཆོ-ག-ཤེས	{C}instructed in many arts
ཤ-ཟ	{C}malignant demon
ཤའི-མིག	{C}fleshly eye
ཤངས	{C}nose
ཤེད-བུ	{C}youth; young man
ཤེད-ལས-སྐྱེས-པ	{C}man
ཤེས	{C}discern; be understood; notion; perception
ཤེས-བྱ	{C}cognized; cognizable; knowable; it is said; is spoken of; is called; one speaks of; is expounded
ཤེས-བྱའི-སྒྲིབ-པ	obscurations of the knowable
ཤེས-བྱེད	{C}feeler; one who experiences
ཤེས-བཞིན	{C}full awareness; self-possession
ཤེས-བཞིན-དང-ལྡན-པ	{C}self-possessed; clearly conscious
ཤེས-བཞིན-མེད-པ	{C}unaware of what he does
ཤེས-བཞིན-རབ-ཏུ-ལྡན	{C}fully conscious
ཤེས-མཛད	{C}intimator
ཤེས-མྱུར	{C}bringing quick understanding
ཤེས-པ	 {C}be aware of; cognized; known; discerned|{C}wisely knows; knows, in his wisdom; comprehends wisdom; wise cognition; is aware; becomes aware of; be aware of; known; discerned; follow; sagacity; known; cognized; is declared 
ཤེས-པ-མ-ལགས-པ	{C}in his ignorance; which cannot be cognized
ཤེས-པ-མེད-པ	{C}cannot be known [with apaśyaka: one who does not know]; unknowable; does not generate anything; without a cognizer; in his ignorance; which cannot be cognized
ཤེས-པ-ཉིད	{GD:592} 'cognizedness,' the aspect of perception aquired when a precedingly unknown object becomes known
ཤེས-པ-པོ	{C}one who cognizes; one who knows begetter; cannot be known [with apaśyaka: one who does not know]; unknowable; does not generate anything; without a cognizer
ཤེས-པ-པོ-མ-མཆིས-པ	{C}cannot be known [with apaśyaka: one who does not know]; unknowable; does not generate anything; without a cognizer
ཤེས-པ-ཡིས-དམིགས	{C}through cognition a basis
ཤེས-པའི-སྤྱོད-ཡུལ	{C}sphere of cognitive activity
ཤེས-པར-འགྱུར-བ	{C}understanding
ཤེས-པར-བྱ	{C}knows wisely; should be wisely known; what they should know; what should be known; cognizable; discern; be understood; distinct; should be known; one should understand/discern; discernible; his mind is impressed by; consider; bring out; bear in mind; b
ཤེས-པར-བྱ-བའི-གང-ཆེན-མཚོ	{C}the flood of the cognizable
ཤེས-པར-བྱ-བའི-ཕྱིར	{C}so that he may see through
ཤེས-པར-བྱ-བར-འདོད-པ	{C}change the subject
ཤེས-པར-བྱའོ	{C}one should understand; must see through; one should look through to; enable to know
ཤེས-པར-བྱེད	{C}instructs; to intimate; be used for communication
ཤེས-པར-བྱེད-དུ-འཇུག-པ	{C}making known; intimator
ཤེས-པར-བྱེད-དུ-བཅུག-པ	{C}making known; intimator
ཤེས-རབ	insight; understanding; knowledge
ཤེས-རབ-འཆལ-བ	{C}weak in wisdom; stupid(ity)
ཤེས-རབ-འཆལ-བའི-རང-བཞིན-ཅན	{C}weak in wisdom; essentially stupid
ཤེས-རབ-འཆལ-བར-འགྱུར-བ-དང-མཐུན-པ	{C}conducive to weakness in wisdom
ཤེས-རབ-དང-ལྡན-པ	{C}gifted with wisdom
༅ཤེས-རབ-ཀྱི-ཕ-རོལ-ཏུ-ཕྱིན-པ༏-ཤེར-ཕྱིན	{C}perfect wisdom
ཤེས-རབ-ལྡན-དེ-མཉམ-ཉིད	{C}skilled in wisdom(?)
ཤེས-རབ-མགྱོགས-པ	rapid wisdom; {C}swift wisdom
ཤེས-རབ-མཉམ-པ-མེད-པ	{C}unequalled in wisdom
ཤེས-རབ-རྣོ-བ	{C}keen wisdom
ཤེས-རབ-ཤིན-ཏུ-རྣམ-པར-གྲོལ-བ	{C}well-freed and wise
ཤེས-རབ-ཡངས-པ	{C}extensive wisdom; vast wisdom
ཤེས-རྣམ	{GD:406} aspect as consciousness
ཤེས-ཏེ	{C}understands
ཤི-འཕོས-པ	{C}deceased; fallen away from
ཤི-བི-ཀཱ	{C}palanquin
ཤིག	{C}lice [with negative: free from lice]; corrupt; deficient; "louse!"
ཤིག-མེད-པར-འགྱུར	{C}free from lice
ཤིག-པ-རྗེས-ལ	{C}having shattered
ཤིན-ཏུ	{C}supreme; utmost; outshines them all; others; (the) other; another; foreign; beyond; absolute; absolutely; infinite
ཤིན-ཏུ-འདའ-བར-བྱ-སྟེ	{C}pass beyond; pass by; go beyond; transcends; step above; should pass above; passes above; move away from
ཤིན-ཏུ-འདས-བྱས-ནས	{C}past; passed beyond; transcended; very transcendent; gone beyond; surpassing; more than; overpowering; after rising above; having passed beyond; beyond; passes beyond all bounds
ཤིན-ཏུ-འདས-ནས	{C}gone beyond; more than; overpowering; after rising above; having passed beyond; beyond; passes beyond all bounds
ཤིན-ཏུ-འདས-པ	{C}past; passed beyond; transcended; very transcendent; gone beyond; surpassing; more than; overpowering; after rising above; having passed beyond; beyond; passes beyond all bounds
ཤིན-ཏུ-འདས-ཏེ	{C}gone beyond; more than; overpowering; after rising above; having passed beyond; beyond; passes beyond all bounds
ཤིན-ཏུ-འཇམ-པ	{C}exceedingly tender; ever youthful
ཤིན-ཏུ-འཕགས-པ	{C}lifted up
ཤིན-ཏུ-འཕེལ-བར-འགྱུར	{C}(over) crowded; with prominences
ཤིན-ཏུ-བརྟན-པ	{C}well-established
ཤིན-ཏུ-བསགས-པ	{C}well collected
ཤིན-ཏུ-དབེན-པ	{C}well hidden; well concealed
ཤིན-ཏུ-གྲིམས-པ	{C}firm and solid
ཤིན-ཏུ-གསལ-བ	very clear; very clean; very distinct; {C}well distinguished
ཤིན-ཏུ-གྱ-ནོམ-པ	very excellent; sublime
ཤིན-ཏུ-གཟི-བརྗིད-དང-ལྡན-པ	{C}more energetically; ever more vehement
ཤིན-ཏུ-ལྕི	{C}more violent (=serious?); more serious; weightier
ཤིན-ཏུ-ལྐོག-གྱུར	{GD:747} thoroughly hidden
ཤིན-ཏུ-མ-སྐྱེས-པ	absolute non-apprehension
ཤིན-ཏུ-མ-ཞུམ-པ	{C}cannot absolutely be cowed
ཤིན-ཏུ-མང-པོ	however great it may be
ཤིན-ཏུ-མནར-བ	{C}well-humbled
ཤིན-ཏུ-མོས-པ	firm resolve; resolve; resoluteness; resolute faith; firm belief/conviction/faith
ཤིན-ཏུ-མཐར-ཕྱིན-པ	foremost; {C}well-rounded-off
ཤིན-ཏུ-མཐུ-དང-ལྡན	{C}more strongly; ever more forceful
ཤིན-ཏུ-ཕྱིས-པ	{C}well smoothed
ཤིན-ཏུ-རྒྱང-རིང-བར	{C}far away; too far away
ཤིན-ཏུ-རྒྱས-པ	{C}extensive; Expanded Texts [i.e.; Mahāyāna sūtras]; abundance
ཤིན-ཏུ-རིང-པོར	{C}for a good long time
ཤིན-ཏུ-རྣམ-འབྱེས	{C}well proportioned; well separated
ཤིན-ཏུ-རྣམ-པར-དག-པ	{C}absolute purity
ཤིན-ཏུ-རྣམ-པར-གྲོལ-བ	{C}well emancipated; fully delivered; well proportioned; well separated
ཤིན-ཏུ-རྣམ-པར-ངེས-པ	well restrained/controlled; well disciplined
ཤིན-ཏུ-རྣོ-བར-འགྱུར	{C}keener and keener
ཤིན-ཏུ-རྙེད-པར-དཀའ	{C}rare
ཤིན-ཏུ-རྟོགས-པ	{C}well-penetrated; to be well massed
ཤིན-ཏུ-སྦྱངས-པ	{C}finest burnished (gold); polished away
ཤིན-ཏུ-སྦྱངས-པའི-ལམ	{C}path of quiescence
ཤིན-ཏུ-སྤྱངས-པ	{C}well-worked
ཤིན-ཏུ-སྤྱངས-པའི-ལམ	{C}path of quiescience
ཤིན-ཏུ-སྟོབས-དང-ལྡན-པ	{C}more strongly; ever more forceful
ཤིན-ཏུ-ཡུན-རིང-མོར	{C}for a good long time
ཤིང-ཨ-མྲའི-འབྲས-བུ	{C}fruit of the Mango tree
ཤིང-བལ-ལྟར	{C}like cotton-wool
ཤིང-དྲུངས-པ	{C}one who dwells at the foot of a tree
ཤིང-གྱི-ཚོགས	{C}wooden body; puppet moved by strings
ཤིང-ལས-བགྱིས-པ	{C}wooden
ཤིང-མཁན	{C}mason
ཤིང-མཁན-བཟོ-བོ	{C}mason
ཤིང-མཁན-གྱི-སློབ-མ	{C}mason's apprentice
ཤིང-པ-ན-ཤའི-འབྲས-བུ	{C}breadfruit
༅ཤིང-སལ-གྱི-སྒོན༏-ཤིང-སལ-བལ-གྱི-སྒོན	{C}(a ball of) cotton wool
ཤུགས	impact; momentum; agitation
ཤུགས-ཡུལ	{GD:389} implicit object
སིལ-སྙན	{C}music
སྐབས	{C}opportunity; occasion for; room; smooth
སྐབས-ཕྱིན	{C}smooth
སྐབས-ཤེས-པ	{C}cognition of their circumstances; knowledge of their circumstances
སྐད	{C}vocal sounds
སྐད-ཅིག	{C}that very instant
སྐད-ཅིག-གཅིག	{C}one single moment
སྐད-ཅིག-གཅིག-དང-ལྡན-པ	{C}associated with one single moment
སྐད-ཅིག-གཅིག-གི-རྟོགས-པ	{C}single-instantaneous understanding
༅སྐད-ཅིག-གཅིག-མངོན-རྫོགས-བྱང-ཆུབ༏-སྐད-ཅིག-མ-གཅིག-གིས-མངོན-པར-རྫོགས-པར-བྱང-ཆུབ-པ	{C}the single instantaneous full understanding
སྐད-ཅིག-ལ-འཇིག-པའི-དོན	meaning disintegration in a moment
