ཀ-ངོས	cylinder
རྩོལ-ནུས	function
རྩོལ-ཕྱོད	power
རྩོལ-བྱུང-དབང-རྩའི-དྲ-རྒྱ	artificial neural network
རྩོལ-བྱུང-དབང-རྩའི-རྒྱུ	artificial neuron; neurode
རྩོལ-བྱུང-མཐོང-ཚོར	artificial vision
རྩོལ-བྱུང-རིག-ལྡན	artificial intelligence
རྩོལ-བྱུང-སྐད-གདངས	artificial speech
རྩོལ-བྱུང-སྐད-བརྡ	artificial language
རྩོལ-བྱུང-སྐད-སྒྲ	artificial voice
རྫ-མདོག	light brown
རྫུ-བག	masquerade
རྫུན-རྟགས	pseudocode
རླབས-གཟུགས-ཐད-ཀར-འདྲེས-གྲུབ-བྱེད-པ	direct waveform synthesis
རླབས-ཐེག	carrier
རླབས-ཐེག-ལྐོག-ཉན	carrier sense
རླབས-དབྱིབས	wave
རླབས-འགྲོས-གནས-འགྲིལ	ripple carry
རླབས-རིས	ripple
རླུང-གཟུགས-གློག-པང	gas panel
རླུང-འཕྲིན-སྡུད-འཁོར	radio set
ལ-ཐིན-༡	Latin-1
ལ-ཐིན-རྒྱས-པ-ཨཱ	A Latin extended A
ལ-ཐིན-རྒྱས-པ-B	B Latin extended B
ལ-ཐིན-རྨང-ཡིག	basic Latin
ལ-ཐིན-སྐད	Latin
ལག-ཁྱེར-ཁ-པར	cellphone; cellular
ལག-ཁྱེར-རྩིས-ཆས	hand-held calculator
ལག-ཁྱེར-རྩིས-འཁོར	laptop computer
ལག-ཆ	tools
ལག-ཆའི-ཚན-བྱང	tool bar
ལག-ཆའི-ཚན-བྱང-མངོན-སྟོན-བྱེད	show toolbar
ལག-ཐབས-རྩོལ-ནུས	manual function
ལག-ཐབས-ཤོག-སྐྱེལ	manual feed
ལག-ཐབས-ཨང-གནོན	manual dial
ལག-ཐབས	manual; manually
ལག-པས-ཤོག-བརྗེ-རྟགས-བར-འཇུག	manually insert form feed symbol
ལག-བསྟར-བརྗོད-ཚིག	perform statement
ལག-བསྟར-མ-བྱས-པ	don't execution
ལག-བསྟར-རགས-དབྱིབས	execution profile
ལག-བསྟར-རིམ-པ	execution sequence
ལག-བསྟར-རུང-བ	executable
ལག-བསྟར-རུང-བའི-ཡིག-ཆ	executable file
ལག-བསྟར-ལྟ-ཆས	execution monitor
ལག-བསྟར	execution
ལག-བྲིས-ནང-འཇུག	handwriting input
ལག-བྲིས	handwriting
ལག-འཁྱེར-གློག-ཀླད	notebook
ལག-འཛིན	hand held
ལག-རོགས	assistant
ལག-རྩལ-བརྒྱུད-རིམ	technical process
ལག-རྩལ-རམ-འདེགས-ཚོགས-པ	technical support group
ལག-རྩལ	techniques
ལངས-གཟུགས-དབྱིབས-བཟོ	volume modeling
ལད-ཟློས-གཞི-གྲངས	analog data
ལད-ཟློས-ནང-འཇུག-རྒྱུ-ལམ-ཆེར-སྐྱེད-ཆས	analog input channel amplifier
ལད-ཟློས-ནང-འཇུག-རྒྱུ-ལམ	analog input channel
ལད-ཟློས-ནས-གྲངས-ཀར-སྒྱུར-ཆས	analog-to-digital converter
ལད-ཟློས-ཕྱིར-འདོན-རྒྱུ-ལམ-ཆེར-སྐྱེད-ཆས	analog output channel amplifier
ལད-ཟློས-བགོ-ཆས	analog divider
ལད-ཟློས-བརྡ-རྟགས	analog signal
ལད-ཟློས-མཚོན-ཐབས	analog representation
ལད-ཟློས-འགྱུར-ཚད	analog variable
ལད-ཟློས-རྩིས-འཁོར	analog computer
ལད-ཟློས-རྩིས-རྒྱག	analog computing
ལད-ཟློས-སྒྱུར-ཆས	analog multiplier
ལད-ཟློས-སྒྲིག-ཆས	emulation device
ལད-ཟློས-སྣོན-རྩིས-ཆས	analog adder
ལད-ཟློས	analog
ལན-གཅིག-མ	one time only
ལན-མི-འདུག	no answer
ལན-འདེབས-དུས-ཚོད	response time
ལན-འདེབས	to reply
ལན-རྒྱག	echo
ལན-རྒྱག-དཔེ-རྣམ	answer mode
ལན-སློག	call-back; dial-back
ལམ-མང-བགོ-ཆས	demultiplexer
ལམ-མང-བསྐྱར-སྤྱོད-ཆས	multiplexer
ལམ-མང-བྱ-རིམ-ཇུས-འགོད	multiprogramming
ལམ-འགྲོལ-སློབ-སྦྱོང	learning from solution paths
ལམ-རྐྱང-སྒྲ	mono
ལམ-ལྷོང	success
ལམ-སེང	immediately
ལམ-སེང-གསར-སྒྱུར	update now
ལམ-སེང-པར-འདེབས-འགོ-བཙུགས	start printing immediately
ལམ-སེང-བསྐྱར-སློང	restart now
ལམ-སེང-མཇུག-སྒྲིལ	end now
ལམ-སེང-ཚང-མ-སུབ-པ	delete all now
ལམ-སེང-འཚོལ-བ	find now
ལམ-སྟོན-ཆས-རིགས-དགར	routing category
ལམ-སྟོན-ཆས	router
ལམ-སྟོན-རེའུ-མིག	routing table
ལམ-སྟོན	routing
ལས-ཀ	jobs
ལས-ཀའི-གོ-ཡུལ	working space
ལས-ཀའི-གློག-གནོན-སྟོན-ཆས	operating voltage indicator
ལས-ཁུངས-ནང-གི-སྡེ-ཁག-མིང	organizational unit name
ལས-ཁུངས-མིང	organization name
ལས-ཁུངས	organization
ལས-ཁུལ	work area
ལས-གཞི-དོ-དམ	project management
ལས-གཞི-ཚད-གཞིའི-གསལ-བཤད	project specification
ལས-གཞི-ཚོད-འཛིན	project control
ལས-གཞི-འཆར-གཞི	project planning
ལས-གཞི	project
ལས-ཆུང-བ	less than
ལས-དུས	jobs time
ལས-དེབ-ཆ-ཚང	entire workbook
ལས-དེབ	workbook
ལས-བྱ-སུབས	delete a job
ལས-བྱ	tasks
ལས-བྱའི-མིང	job name
ལས-བྱའི-འཛུལ-སྒོ	task entry
ལས-བྱའི-རྣམ-པ	job status
ལས-མཇུག-སྤོ-གསོག	postmortem dump
ལས-མི-རུང-བའི-དུས-ཚོད	inoperable time
ལས-མེད-དུས-ཚོད	idle time
ལས-མེད	idle
ལས-ཚན-དོ-དམ-པ	program manager
ལས-ཚབ-ཞབས-ཞུ-ཆས	proxy server
ལས-ཚབ	proxy
ལས-ཚུགས	work station
ལས-འགན-གསར-སྣོན	add task
ལས-འགན-ཚན-བྱང	taskbar
ལས-འགན-ཚན-བྱང-ནང-མངོན-སྟོན-བྱེད-པ	display at taskbar
ལས-འགན-འདི-ལག-བསྟར-བྱེད-པ	perform this task
ལས-འགན	task
ལས-ཡུལ	work space
ལས-རིགས	occupation
ལས-རིམ-རི-མོ	flowchart; flow diagram
ལས-རིམ-སྔོན-མ	the prior action
ལས-རུང-བའི-དུས-ཚོད	operable time; uptime
ལས-རྒྱུན	job stream
ལས-རྟགས	logo
ལས-སྒྲོམ	scaffolding
ལས-སྟེགས	platform
ལཱ-ཟེར-པར-འཁོར	laser printer; laser beam printer
ལིང-ཚེ	matrix
ལུགས-མེད-གྲངས	irrational number
ལུགས-འགལ-གསང-ཨང	invalid password.
ལུགས-འགལ-གྲངས-ཐང	illegal value
ལུགས-འབྱུང-འཁོར-ཕྱོགས	clockwise
ལུགས-རྩིས-རེའུ-མིག	operation table
ལུགས-རྩིས-རྒྱག-སྟངས	operate mode
ལུགས-རྩིས-སྐྱེད-ཆས	operational amplifier
ལུགས-རྩིས	operation
ལུགས-ལྡན-གྲངས	rational number
ལུགས-ལྡོག-འཁོར-ཕྱོགས	anti-clockwise
ལུད-པ-རྒྱུན-འགལ	overflow exception
ལུད-པ	overflow
ལེགས-གྲུབ	complete
ལེགས-བཅོས-རྣམ-པའི-ཟློས-སྒྲིག-ཟིན-ཐོ-འགོད-ཐབས	modified frequency modulation recording
ལེགས-ཤོས-སྔོན-ཐོབ-བཤེར-འཚོལ	best-first search
ལེགས-སྒྲིག	adjust; collating
ལེགས-སྒྲིག-འཕྲུལ-འཁོར	collator
ལེགས-སྒྲུབ-དང-དོ-དམ	implementation and management
ལེན-པ	receipt; extract
ལེན-མཁན-གཙོ-བོ	primary recipient
ལེན-མཁན-གཞན-གསལ-ཞབས-ཞུ	disclosure of other recipients service
ལེན-མཁན-ཕལ-པ	secondary recipient
ལེན-མཁན	receiver; recipient
ལེའུ	episode
ལོ-ཐོ	calendar
ལོ-དུས-དམིགས-འཛུགས-བྱེད-པ	designate year
ལོ-རྒྱུས-ཟིན-ཐོ	history record
ལོ-རྒྱུས	history
ལོག-ས	reentry point
ལོགས-དགར-སྒྲིག-སྒྱུར	separate compilation
ལྐུགས-བརྡ	dummy instruction
ལྐུགས-རྒྱུ	dummy argument
ལྐོག-གྱུར-གནས-ཡུལ-འཚོལ-ཐབས	implied addressing
ལྐོག-འཛུལ	piggyback entry
ལྔ-ནས-གཉིས-ལེན-ཨང-རྟགས	two-out-of-five code
ལྗང-ཁུ	green
ལྗང-སྐྱ	lime
ལྗིད	weight; significance
ལྗོངས-དཔེ	scene mode
ལྟ-ཁུང	view port
ལྟ-ཁུང-བརྗེ-སྒྱུར	view port transformation
ལྟ-ཆས	monitor
ལྟ-བཤེར	view
ལྟ-ཞིབ-བྱ-རིམ	monitor program; monitoring program
ལྟ-ཞིབ-སློབ-སྦྱོང	learning from observation
ལྟ-ཞིབ	monitoring
ལྟ-སྐུལ-མེད-པའི-སློབ-སྦྱོང	unsupervised learning
ལྟ-སྐུལ-སློབ-སྦྱོང	supervised learning
ལྟ-སྐྱོང-བྱ-རིམ	demon; daemon
ལྟ-སྤྱོད-གསལ-ཐོ	access list
ལྟ-སྤྱོད-ཐོབ-ཐང	access right
ལྟ-སྤྱོད-དོ-དམ-ཞབས-ཞུ	access management service
ལྟ-སྤྱོད-བཀག-པ	access denied
ལྟ-སྤྱོད-བཀའ-འཁྲོལ	access permission
ལྟ-སྤྱོད-བྱེད-ཐབས	access method
ལྟ-སྤྱོད-བྱེད-མི-ཐུབ	inaccessible
ལྟ-སྤྱོད-ཚོད-འཛིན-གསལ-ཐོ	access control list
ལྟ-སྤྱོད-ཚོད-འཛིན-ཡིག-དུམ	access control field
ལྟ-སྤྱོད-ཚོད-འཛིན	access control
ལྟ-སྤྱོད-ཟློག-པ	deny access
ལྟ-སྤྱོད-ཡུན-ཚད	access period
ལྟ-སྤྱོད-རིགས-གྲས	access type
ལྟ-སྤྱོད-རིགས-དབྱེ	access category
ལྟ-སྤྱོད-རིམ-པ	access level
ལྟ-སྤྱོད-སྡེ-ཚན	access unit
ལྟ-སྤྱོད	to access
ལྟེ-བའི-དྲ-རྒྱ	backbone network
ལྟེ-བའི-བྱ-རིམ	nucleus
ལྟེ-བའི-སྐུལ-འདེད-བྱ-རིམ	kernel driver
ལྟེབ-བརྩེགས	collapse
ལྟེབ-ཤོག-Z-དབྱིབས-ཅན	zig-zag fold paper; z-fold paper
ལྟོས-གཞི-ཆ-ཚང-རང-བཞིན	referential integrity
ལྡབ-གཅིག-ཞིབ-ཚད	single precision
ལྡབ-གཉིས-ཞིབ-ཚད	double precision
ལྡབ-གཉིས-རིང-བའི-བཅོལ-ཆས	double length register
ལྡབ-གསུམ-བཅོལ-ཆས	triple register
ལྡབ-གསུམ-ཞིབ-ཚད	triple precision
ལྡབ-མང-ཞིབ-ཚད	multiple-precision
ལྡེབ-ཐོག-མའི-མཚམས-རྟགས	frame start delimiter
ལྡེབ-བར-མཐུད	frame relay
ལྡེབ-བརྟག-བཤེར-གྱི-རིམ-སྒྲིག	frame check sequence
ལྡེབ-མཚམས-འཇོག-རྟགས	end-of-frame
ལྡེབ-ཚོད-འཛིན-ཡིག-དུམ	frame control field
ལྡེབ-རྫོགས-མཚམས-རྟགས	frame end delimiter
ལྡེབ	frame
ལྡེབས-ཤོག-གནས-རིས	wallpaper bitmap
ལྡོག	negation
ལྡོག-གསེག-ཡིག-གཟུགས	inverse italic
ལྡོག-ངོས	inverse
ལྡོག-ཆས	inverter
ལྡོག-ཆོས	contrast
ལྡོག-དཀྲིས	to rewind
ལྡོག-དཔེ	negative example; negative instance
ལྡོག-པའི-བྲེགས-ལེན	reverse clipping
ལྡོག-ཕྱོགས-ཁྱབ-ཆུང-དྲ-རྒྱའི-འཕྲིན-ལམ	reverse LAN channel
ལྡོག-ཕྱོགས-ཁྱབ-སྤེལ-དྲ-རྒྱ	back-propagation network
ལྡོག-ཕྱོགས-ཁྱབ-སྤེལ	back propagation
ལྡོག-ཕྱོགས-བཤེར-འཚོལ	backward search; reverse search
ལྡོག-ཕྱོགས-འཕྲིན-ལམ	backward channel
ལྡོག-ཕྱོགས-རྩད-འཚོལ	reverse find
ལྡོག-ཕྱོགས-ལོང-སྦྲེལ	backward chaining
ལྡོག-ཕྱོགས	invert
ལྡོག-མེད-གསང-སྡོམ	irreversible encryption
ལྡོག-འཇོག	inverted
ལྡོག-འདེད	backtracking
ལྡོག-འདེམས	invert selection
ལྡོག-འབྱེད-རིགས-འདེད	abductive inference
ལྡོག-འབྱེད	abduction
ལྡོག-རྩིས-པ	to negate
ལྡོག-རྩིས	complementary operation
ལྡོག-སྐྱེལ-ཁྱབ-སྤེལ-དྲ-རྒྱ	feedback-propagation network
ལྡོག-སྐྱེལ-ཁྱབ-སྤེལ	feedback propagation
ལྦུ-བ-གསོག-ཆས	bubble memory
ལྦུ-རིས	bubble chart
ལྷག-མ	remaining
ལྷག-སྒྲུག	to scavenge
ལྷག-སྙིགས-ཚད	redundancy
ལྷག-སྙིགས-ཚབ-ཨང	redundant code
ལྷུ-ཆས-ཁྱིམ-སྡེའི-བྱ-རིམ-ཇུས-འགོད	family-of-parts programming
ལྷུ-ཆས	components
ཤ-ཆེན	bold fonts; bold
ཤང-ནོན	shannon
ཤད-རིས	stripe
ཤན-འབྱེད-ཚིག-ཐོ	recognition vocabulary
ཤན-འབྱེད	identify
ཤུགས-སྣོན-སློབ-སྦྱོང	reinforcement learning
ཤུར-ཁ	slot
ཤུར-དབྱེའི-གདུབ-དྲ	slotted-ring network
ཤེལ-བརྙན-མངོན-འབྲས	mirror effect
ཤེལ-བརྙན	mirror; mirroring
ཤེས-དགོས-པ	need-to-know
ཤེས-པའི-གྲུབ-ལུགས	cognitivism
ཤེས-པའི-ཚན-རིག	cognitive science
ཤེས-བྱའི-གྲུབ-ཆ	knowledge structures
ཤེས-རིག	knowledge
ཤེས-རིག-གི-ཁུངས	knowledge source
ཤེས-རིག-གི-མཛོད	knowledge base
ཤེས-རིག-ཐོབ-པ	knowledge acquisition
ཤེས-རིག-མཚོན-སྟངས	knowledge representation
ཤེས-རིག-ལ-བརྟེན-པའི-རྒྱུད-ཁོངས	knowledge-based system
ཤེས-རིག-ལས-གྲྭ-པ	knowledge engineer
ཤེས-རིག-ལས-གྲྭ	knowledge engineering
ཤེས-རིག-ལས-གྲྭའི-ལག-ཆ	knowledge engineering tool
ཤེས-རིག-སྡོང-འགྲེམས	knowledge tree
ཤེས-སླ-བ	understandability
ཤོག-གྲངས-དང-པོ	first page
ཤོག-གྲངས-རང-སྒྲིག	automatic page numbering
ཤོག-གྲངས	page count
ཤོག-ངོས-ཀློག-ཆས	page reader
ཤོག-ངོས-གཅིག	one page
ཤོག-ངོས-གདམ-ཚན	page option
ཤོག-ངོས-གོ-རིམ	page order
ཤོག-ངོས-ཆ-ཚང	entire page
ཤོག-ངོས-ཆ-འཕྲིན	page information
ཤོག-ངོས-བཀོད-པ	page layout
ཤོག-ངོས-བཟོ-ལྟ	page genre
ཤོག-ངོས-མངོན-སྟོན	full-page display
ཤོག-ངོས-ཞིབ-བརྗོད-སྐད-ཡིག	page description language
ཤོག-ངོས-ཞེང-ཚད	page width
ཤོག-ངོས-རང-སྒྲིག	automatic pagination
ཤོག-ངོས-རིང-ཚད	page length; page depth
ཤོག-ངོས-རྒྱབ-ལྗོངས	page background
ཤོག-ངོས-རྟགས	page mark
ཤོག-ངོས-རྣམ-དབྱིབས	page format
ཤོག-ངོས-སྒྲིག-འགོད	page setup
ཤོག-ངོས	page
ཤོག-ཆད	paper out
ཤོག-ཆོད	separator page
ཤོག-ཐགས-པར-སློག-འཕྲུལ-འཁོར	tape reproducer
ཤོག-ཐགས-འབིགས-འཁོར	tape punch
ཤོག-བུ-མི-འདུག	no paper
ཤོག-བུ-སྙོད-སྟངས	paper-supplying way
ཤོག-བུ	paper
ཤོག-བྱང	page tab
ཤོག-མགོ-གདོང-འཛར	header label
ཤོག-མཇུག	endpage
ཤོག-ཞབས	footer; running foot
ཤོག-འགག	paper jam
ཤོག-འཇུག-ཆས	input trays
ཤོག-འདྲེན	paper feed
ཤོག-འབྱེད-དགོས-པ	required page break
ཤོག-འབྱེད-མཉེན-པ	soft page break
ཤོག-འབྱེད-སྲ-མོ	hard page break
ཤོག-འབྱེད	page break
ཤོག-རྒྱུག	paper skip; paper throw; paper slew
ཤོག-ལེ-བརྗེ-བ	form feed
ཤོག-ལྡེབ-པར-འཁོར	page printer
ཤོག-ལྡེབ	page frame
ཤོག-ལྷེ-གཡས-སློག	page right
ཤོག-ལྷེ-དབྱེ-བའི-ལག-རྩལ	paging technique
ཤོག-ལྷེ-མར-སློག	page down
ཤོག-ལྷེ-འཁོར	rotate page
ཤོག-ལྷེ-འདྲེན-པ	paging
ཤོག-ལྷེ-འབྱེད-ཆས	page sorter
ཤོག-ལྷེ-ཡར-སློག	page up
ཤོག-ལྷེ-རྗེས-མ	next page
ཤོག-ལྷེ-སྔོན-མ	previous page
ཤོག-ལྷེའི-མགོ-བྱང	page header
ཤོག-སྟོང-པར-འདེབས	print blank page
ཤོག-ཨང	page number
ཤོང-ཚད-ཆེ-ཤོས	max capacity
ཤོང-ཚད	capacity
ས-ཁུལ	region
ས-ཡ-སྟོང-བསྒྱུར	kilomega
ས-ཡ	millions
སིལ-གྲངས-ཚེག	radix point
སིལ-གྲངས-ཚེག-གཏན-འཇགས-བྱེད-སྟངས	fixed decimal mode
སིལ-གྲངས-ཚེག-མཚོན-རྟགས	radix point
སིལ-གྲངས-ཚེག-འཕྱོ-འགུལ-བྱེད-སྟངས	floating decimal mode
སིལ-གྲངས-ཚེག-རྟགས	decimal marker
སུང-གཟུགས	MS serif
སུབ-ཆོག	ok to remove
སུབ-པ	delete; to erase
སུབ-བཞིན-པ	deleting
སུབ-བྱེད-སྡུད-མགོ	erase head; erasing head
སུབ-རུང-གསོག-ཆས	erasable storage
སེམས-ཁམས-མཚོན-རྟགས	emotion; smiley
སེར-པོ	yellow
སེར-སྐྱ	buff
སེལ-བ	exclusion
སོ-སྔོན-ལག-རྩལ	blue teeth
སོར-ཆུད-དགོས-ངེས-ཆ-སྙོམས-དུས-ཚོད	mean time to recovery
སོར-ཆུད-དུས-ཚོད	recovery time
སོར-ཆུད-ནུས-པ	resilience
སོར-ཆུད-བྱེད-མི-ཐུབ-པ	irrecoverable
སོར-ཆུད-མི-ཐུབ-པའི-ནོར-སྐྱོན	irrecoverable error
སོར-ཆུད-རྩོལ-ནུས	recovery function
སོར-ཆུད	restore; recovery
སོར-བཞག	reserved; default
སོར-བཞག-ཐང	defaults
སོར-བཞག-ཐང-སོར-ཆུད	restore defaults
སོར-བཞག-ཐང-སོར-སློག	reset defaults
སོར-བཞག-དུ-བཀོད-པ	set as default
སོར-བཞག-པར-འཁོར	default printer
སོར-བཞག-ཚབ-ཨང-ཤོག-ངོས	default code page
སོར-བཞག-ཡིག-འབྲུ	reserved word
སོར-བཞག-རྣམ-གཞག	default format
སོར-སློག	to reset
སོར-སློག-བྱེད-སྟངས	reset mode
སྐད-གདངས-གཞོག-རླབས	speech clipping
སྐད-གདངས-གྲངས-འགྱུར	speech digitizing; speech digitization
སྐད-གདངས-ཐགས-ཞེང	speech bandwidth
སྐད-གདངས-དང-དཔེ-རྣམ-ཟླ-སྒྲིག	speech-pattern matching
སྐད-གདངས-དཔེ-པང	speech template
སྐད-གདངས-དཔེ-རྣམ	speech pattern
སྐད-གདངས-དབྱེ-ཞིབ-ཆས	speech analyzer
སྐད-གདངས-དབྱེ-ཞིབ-རྒྱུད-ཁོངས	speech analysis system
སྐད-གདངས-དབྱེ-ཞིབ	speech analysis
སྐད-གདངས-ནང-འཇུག	speech input
སྐད-གདངས-ཕྱིར-འདོན	speech output
སྐད-གདངས-བརྒྱུད-གཏོང	voice transmission
སྐད-གདངས-བརྡ-རྟགས	speech signal
སྐད-གདངས-བསྐྱར-གྲུབ	speech reconstruction
སྐད-གདངས-བསྐྱར-སྒྲིག	speech restitution
སྐད-གདངས-ཚོད-འཛིན	speech control
སྐད-གདངས-ཟློས-ཕྱོད	speech frequency
སྐད-གདངས-འདྲེས-གྲུབ-ཆས	speech synthesizer
སྐད-གདངས-འདྲེས-གྲུབ-རྒྱུད-ཁོངས	speech synthesis system
སྐད-གདངས-འདྲེས-གྲུབ	speech synthesis
སྐད-གདངས-ཡིག-རྐྱང-དུ-སྒྱུར	speech-to-text conversion
སྐད-གདངས-རྒྱུས-ལོན	speech understanding
སྐད-གདངས-རླབས-གཟུགས-ཨང-སྒྲིག	speech waveform coding
སྐད-གདངས-ལ-ལྟོས-པའི-དྲན-སྐུལ	speech-based alerting
སྐད-གདངས-ཤན-འབྱེད-ཆས	speech recognizer
སྐད-གདངས-ཤན-འབྱེད-རྒྱུད-ཁོངས	speech recognition system
སྐད-གདངས-ཤན-འབྱེད	speech recognition
སྐད-གདངས-ཤལ-རིས	speech spectrogram
སྐད-གདངས-ཤེས-རུང-ཚད	speech intelligibility
སྐད-གདངས-སྒྲིག-གཅོད	speech processing
སྐད-གདངས-སྡུད-སྒྲིལ	speech compression
སྐད-གདངས-སྦྱོང-བརྡར	speech training
སྐད-གདངས-སྦྲག-སྐུར	voice mail
སྐད-གདངས-ཨང-སྒྲིག	speech coding; speech encoding
སྐད-གདངས	speech
སྐད-ཆ-ཤོད-སྟངས	speaking mode
སྐད-དུང	speakerphone
སྐད-བརྡ-ཁོར-ཡུག	language environment
སྐད-བརྡ-གཙོ-བོ	host language
སྐད-བརྡ-ཆགས-ཚུལ	language construct
སྐད-བརྡ-ཤན-འབྱེད	speech recognition
སྐད-བརྡ-སྒྲིག-གཅོད-བྱ-རིམ	language processor
སྐད-བརྡ-སྒྲིག-བཀོད	language setting
སྐད-བརྡ-སྒྲིག-སྲོལ	language rule
སྐད-བརྡ-སྔོན-དཔག-སྒྲིག-གཅོད-ཆས	language preprocessor
སྐད-བརྡ	language
སྐད-བརྡར-དཔྱད-པའི-སྐད-བརྡ	metalanguage
སྐད-རབས-གཉིས-པ	second-generation language
སྐད-སྒྱུར	spoken-language translation
སྐད-སྒྲ-ནང-འཇུག	voice input
སྐད-སྒྲ-ཕྱིར-འདོན	voice output
སྐད-སྒྲ-བཀའ	voice command
སྐད-སྒྲ-བརྡ-སྟོན	voice prompt
སྐད-སྒྲ-མིང-རྟགས	voice signature
སྐད-སྒྲ-ཚོད-འཛིན-རྒྱུད-ཁོངས	voice control system
སྐད-སྒྲ-ཚོད-འཛིན	voice control
སྐད-སྒྲ-ཞབས-ཞུ-འཕྲུལ-ཆས	voice server
སྐད-སྒྲ-འདེམས-བྱང	voice menu
སྐད-སྒྲ-འཛིན-ཆས	voice controller
སྐད-སྒྲ-ཡ-ལན	voice response
སྐད-སྒྲ-ཤན-འབྱེད-སྡེ-ཚན	voice-recognition unit
སྐད-སྒྲ-ཤན-འབྱེད	voice recognition
སྐད-སྒྲ-སྔོན-ལྟ-ཆས	voice previewer
སྐད-སྒྲ	voice
སྐབས-དོན-རོགས-རམ	context help
སྐབས-དོན	context
སྐབས-བསྟུན-གསོག-ཆས	ram
སྐབས-བསྟུན-གསོག-ལྷེབ	random memory card
སྐབས-བསྟུན-གྲངས-རིམ-སྟར	random number sequence
སྐབས-བསྟུན-གྲངས	random number
སྐབས-བསྟུན-དྲ-རྒྱ	random network
སྐབས-བསྟུན-བཅོལ-ལེན	random access
སྐབས-བསྟུན-བཤར-འབེབས-མངོན-སྟོན-ཡོ-ཆས	calligraphic display device
སྐབས-བསྟུན-མྱུར-གསོག	random
སྐབས-བསྟུན-ཚངས-རིམ-སྟར-རྫུན-མ	pseudo-random number sequence
སྐབས-བསྟུན-སྦྲེལ-མཐུད-དྲ-རྒྱ	randomly connected network
སྐབས-སྡོད-བཀའ-བརྡ	pause instruction
སྐབས-སྡོད	pause
སྐར-དྲ-རྒྱ	star network
གདུབ-དྲ-རྒྱ	ring network
སྐར-ཆ-རེར-གཡེང-རྩིས-ས-ཡ	megaflops
སྐར-ཆ-རེར-བཀའ-བརྡ-ས-ཡ	millions of instructions per second
སྐར-ཆ-རེར-མཐུད-སྒྱུར	connection update per second
སྐར-དབྱིབས-དྲ-རྒྱ	star network
སྐར-མ-རེ	every minute
སྐར-རྟགས	asterisk
སྐུང-པ	to shrink
སྐུང-མིང	anonymous
སྐུང-འབྲི	abbreviation
སྐུང-ཡིག-ལེན-མཁན	blind copy recipient
སྐུང-ཡིབ	hide
སྐུང-རིམ	hidden layer
སྐུད-ཆུན-མདའ-གཅིག-མ	coaxial cable
སྐུད-ཐོག-རོགས-རམ	inline help
སྐུད-པ-ཉིས-རྐྱ-མ	twisted pair
སྐུད-པ-མདའ-གཅིག-མ	coaxial pair
སྐུད-མེད-ཁྱབ-ཆུང-དྲ-རྒྱ	wireless local area network
སྐུད-འགྲིམས-འཚང-འཛུལ	between-the-lines entry
སྐུད-རིམ	thread
སྐུད-ལམ-མགྱོགས-ཚད	line speed
སྐུད-ལམ-ལྐོག-ཉན	wiretapping
སྐུད-ལམ	line
སྐུམ-པ	to indent
སྐུལ-ཆས-འདེམས-པ	select drives
སྐུལ-ཆས	drive
སྐུལ-འདེད-བྱ-རིམ-བསྐྱར-སྒྲིག	reinstall driver
སྐུལ-འདེད-བྱ-རིམ	driver
སྐུལ-འདེད	drive
སྐུལ-སློང	activation
སྐུལ-སློང-ཟིན-ཐོ	activation record
སྐུལ-སློང-རྟེན-འབྱུང-གྲངས	activation function
སྐུལ-སློང-རྣམ-པ	activation state
སྐུལ-སློང-སྣེ-ཁྲིད	boot start
སྐོགས-ཚིགས	shell site
སྐོང-འཛུད	to nest
སྐོང-རྟགས	filler
སྐོར-ལམ	loop
སྐོར	about
སྐྱ-བོ	gray
སྐྱ-ཚད-༥༠	gray
སྐྱ-ཚད-ཁྱབ-ཁོངས	gray scale
སྐྱ-སྨུག	lilac
སྐྱུར-བ	resign
སྐྱེ-དངོས-ཚད-འཇལ-གཏན-འཁེལ	biometric
སྐྱེད-རུང-སྐད-བརྡ	extensible language
སྐྱེད-སྐྱུང	zooming; scaling
སྐྱེད-སྐྱུང-གྲུབ-འབྲས	scale effect
སྐྱེད-སྐྱུང-ཏེ	zoom to
སྐྱེད-སྒྲུབ-གནས-ཡུལ	generated address
སྐྱེད-སྒྲུབ-དང-ཚོད-ལྟ	generate-and-test
སྐྱེད-སྒྲུབ-རྟེན-འབྱུང-གྲངས	generating function
སྐྱེད-སྒྲུབ-སྡེ-ཚན	generic unit
སྐྱེད-སྒྲུབ	generate
སྐྱེལ-གཏོང	to transmit
སྐྱེལ-གཏོང-མ-བྱས-པ	not sending
སྐྱེལ-མི-ཐུབ-པ	nondelivery
སྐྱེལ-འཇུག	incoming
སྐྱེལ-འཇོག	to upload
སྐྱེལ-སྒུག-རྒྱུན-འཁྱོངས-ཞབས-ཞུ	hold-for-delivery service
སྐྱེལ-སྤྲོད	delivery
སྐྱོན-ཁྲོད-ཆ-སྙོམས-བཀོལ-སྤྱོད-དུས-ཚོད	mean operating time between failures
སྐྱོན-ཅན	bad
སྐྱོན-འཇོག-སྒྲིག	bug seeding
སྐྱོན-འདུག	error exist
སྐྱོན-འཛོལ	flaw; loophole
སྐྱོན-རྗེས-འདེད	fault trace
སྐྱོན-ལྟ-སྤྱོད	failure access
སྐྱོན-སེལ-ཆས	debugger
སྐྱོན-སེལ-འཆར-གཞི	disaster recovery plan
སྐྱོན-སེལ	to debug
སྐྱོན-སྔར-ལོག-ཆོག	allow failback
