འལ-འོལ	{འལ་ལེ་འོལ་ལེ} vague/ imprecise
ཤིན-ཏུ-སྦྱངས-པ	pliancy; total refinement; extreme (mental and physical) pliancy
ཤིན-ཏུ-སྦྱངས-དཀའ-བ	the one who was trained what is (extremely/ very) difficult [5th spiritual level/ bhumi]
ཤིང-རྟ	chariot; helmsman/ chariot(eer)/ champion; spiritual vehicle/ guide/ mainstay
ཤོག	{.་.་.་ཤོག} May . . . (come to be)!
ཤོག-ལས	to arange for texts to be copied out [KNT]
ཤོལ-བ	to give up
ཤོང-བ	to be contained/ included; to fit (within/ into)
ཤོར-བ	to lose (sight of)
ཤུབས	sheath/ case/ envelope; cocoon
ཤུགས-ཀྱིས	as a matter of course; of its own accord; automatically
ཤུན-པ	shell/ bark; cocoon
སི-ལི-ལི	(to) reverberate
སིང-ངེ	{སིང་ངེ་བ} limpid (awareness)/ limpidity; clarity
སིང-ངེ-བ	limpid (awareness)/ limpidity; clarity
སྐབས	section (of a text); context; occasion
སྐབས-སུ	. . . skabs su - when . . . ; during . . . ; in the context of . . .
སྐབས-སུ-འབབས-པ	to be timely/ of concern at present
སྐབས-སུ-བབས-པ	to be timely/ of concern at present
སྐད	language/ speech
སྐད-ཅིག	moment; instant(aneous); isc. event; isc. (adj.) moment-by-moment
སྐད-པ	to claim/ state (without foundation)
སྐད-ཅིག-མ	instant(aneous); isc. event; isc. (adj.) moment-by-moment
སྐད-ཅིག-ལ-ཆ-མེད	divisible to the point where nothing remains in time or space
སྐད-ཅིག-དྲན-རྫོགས	instantaneous recall/ single instant of complete recollection
སྐལ-པ	(good) fortune/ lot; potential
སྐལ-པ-ལས-ཀྱི-རླུང	one's individual share/ lot of the subtle energy of karma
སྐལ-མཉམ-གྱི-རྒྱུ	equivalent cause
སྐས-འཛེག	staircase
སྐེ-རགས	sash/ belt
སྐོལ-ཚེ-བ	minor; partial
སྐོང-བ	{བསྐང་བ} to fulfill
སྐོང-རྫས	fulfillment substance
སྐོར-བ	circumambulation; to surround; to circumambulate
སྐྲ	hair; hair (of head)
སྐྲ-གཅད	(gesture of) letting down/ combing out hair [in dance]
སྐྲད-པ	to expel (hindrances)
སྐུ	kaya; dimension of enlightened being; (enlightened) body/ form/ embodiment
སྐུ-གསུམ	three kayas
སྐུ-བལྟམས-པ	be born; to take birth/ be born (honorific; one of twelve deeds)
སྐུ-ལྟར-ཤར-བ	arising (in a manner) consistent with enlightened embodiment*
སྐུ-བལྟམ-པ	to take birth/ be born (honorific; one of twelve deeds)
སྐུ-རྡོ-རྗེ	form/ body vajra
སྐུ-དང-ཡེ-ཤེས	the kayas and timeless awareness
སྐུ-དང-ཡེ-ཤེས-ཐམས-ཅད	the totality of the kayas and timeless awareness
སྐུལ-བ	bskul ba - to invoke/ exhort (to action)
སྐུར-འདེབས	to deny/ deprecate/ understate/ belittle/ misinterpret; deprecation; denial
སྐུར-བ-འདེབས-པ	to deny/ deprecate/ understate/ belittle/ misinterpret; deprecation; denial
སྐྱབས-འགྲོ	to take refuge; taking refuge
སྐྱབས-གནས	refuge; source of refuge
སྐྱབས-རྗེ	refuge master/ lord; "His/ Her Holiness" (title)
སྐྱབས-ཡུལ	object of refuge
སྐྱབས-སུ-འགྲོ-བ	to take refuge; taking refuge
སྐྱེ-འཆི	birth and death
སྐྱེ-འགག	origination and cessation; coming into existence and (so) ceasing to exist
སྐྱེ-འགྲོ	mortal being
སྐྱེ-འགྱུར	{སྐྱེ་འགྱུར་གྱི་ལམ} - (path) causing new influences to come into being
སྐྱེ-བ	birth/ generation/ origination; rebirth; to be born/ come into existence; [process of) birth/ being born (one of twelve links of interdependent connection]; isc.anything that could come into being
སྐྱེ-དགུ	the many beings
སྐྱེ-གནས	mode/ process of rebirth
སྐྱེ-མཆེད	sense field
སྐྱེ-མེད	unborn; unborn/ without origination; not coming into existence
སྐྱེ-སྲིད	(re)birth as a phase of conditioned existence
སྐྱེ-གནས-བཞི	four modes of rebirth
སྐྱེ-གནས-བར-དོ	interval/ intermediate state of rebirth and life
སྐྱེ-གནས-ཀྱི-བར-དོ	interval/ intermediate state of rebirth and life
སྐྱེ-བའི-མཐའ	limitation of origination; extreme/ limitation of origination
སྐྱེ-བའི-སྤྲུལ-པ	{སྐྱེ་བའི་སྤྲུལ་སྐུ} emanation through conscious rebirth
སྐྱེ-བའི-སྤྲུལ-སྐུ	{སྐྱེ་བའི་སྤྲུལ་པ} emanation through conscious rebirth
སྐྱེ-བ-མེད-པ	unborn/ without origination; not coming into existence
སྐྱེ-མཆེད-དྲུག	six sense fields [one of twelve links of interdependent connection]
སྐྱེ-འགག-ཅན	subject to origination and cessation
སྐྱེད-བྱེད	factor that brings (something) into being/ gives rise to/ develop (something)
སྐྱེད-པ	bskyed pa - to develop/ arouse/ generate/ give rise to; to develop a visualization (of); (phase of) development/ growth
སྐྱེལ-བ	to consign/ carry/ send/ lead
སྐྱེས-བུ	(spiritual) person/ individual; spirit
སྐྱེས-བུ-ཆེན-པོའི-རྣམ-རྟོག	brgyad - eight thoughts of a superior individual
སྐྱེས-བུ-བྱེད-པའི-འབྲས-བུ	result caused by a human agent
སྐྱིལ-ཀྲུང	crosslegged posture
སྐྱོ-བ	dissatisfaction/ disgust/ disenchantment/ distaste/ revullsion; to be(come) disgusted/ dissatisfied/ disenchanted (with)
སྐྱོབ-པའི-ནུས-མཐུ	protective quality of (spiritual) power and might
སྐྱོད-པ	to shift/ move/ vacillate
སྐྱོད-པར-བྱེད-པའི-ཤེས-རབ	sublime knowing/ wisdom/ transcendent knowledge that causes mutability/ movement
སྐྱོད-བྱེད-ཀྱི-རླུང	subtle energy/ air that causes mutability/ movement
སྐྱོན	flaw/ fault; flawed/ faulty (reasoning/ conclusion)
སྐྱོན-མེད	faultless; flawless/ faultless
སྐྱོན-ཀུན-ཟད-ཡོན-ཏན-ཀུན-ལྡན	exhaustion of all flaws and endowment with all qualities [=buddhahood]
སྐྱོན-དུ-འགྱུར	. . . (gi) skyon du 'gyur ba - to entail a/ the flaw of . . .
སྐྱོན-ཆགས-པ	to develop faults/ flaws
སྐྱོང-བ	to maintain (one's experience of)/ protect/ sustain; to foster (a relationship with); isc. to continue (to experience)
སྐྱུར-བ	bskyur ba - to cast/ project/ get rid of
སླ-བ	easy (to . . . )
སླད-དུ	{.་.་.་སླད་དུ} for the purpose of . . .
སླད-པ	{བསླད་པ} to be corrupted/ contaminated/ adulterated/ tainted/ sullied; isc. distorted
སླར-ཡང	furthermore; moreover; in addition, . . . ; once again, . . .
སློབ-དཔོན	spiritual master; preceptor (monastic)
སློབ-པ	{།་བསླབ་པ} to train (in)/ learn/ teach
སློབ-པའི-ལམ	path involving learning
སློང	{སློང་བ} upheaval/ challenge; to rise up
སློང-བ	upheaval/ challenge; to rise up
སྨིག-རྒྱུ	mirage
སྨིན-པ	to ripen/ mature/ bring to full experssion
སྨོ-བ	to tell/ relate/ remark; {སྨོས་པ} to tell/ relate/ remark
སྨོད-པ	to belittle/ denigrate
སྨོན-ལམ	aspiration (prayer)
སྨོན-མཁྱེན	{སྨོན་ནས་མཁྱེན་པ} knowledge/ wisdom that arises through deliberate attention
སྨོན-པ	aspiration; aspiration/ inspiration; to aspire/ be inspired; to speculate
སྨོན-ནས-མཁྱེན-པ	knowledge/ wisdom that arises through deliberate attention
སྨོན-པ-མེད-པ	absence of speculation
སྨོན-པའི-སེམས	bodhicitta/ attitude of aspiration
སྨོན-པའི-སེམས-བསྐྱེད-པ	to give rise to/ arouse bodhicitta as aspiration
སྨོས-པ	{སྨོ་བ} to tell/ relate/ remark
སྨོས-ཅི-དགོས	to say nothing of . . . ; what need is there to speak of . . . ?
སྨྲ-བ	to say/ pronounce (something to be something); to profess/ opine/ propound; to affirm (philosophically)
སྨྲ-མེད	indescribable
སྨྲ-བསམ-བརྗོད-མེད	indescribable, inconceivable/ unimaginable, and inexpressible
སྨྲ-བསམ-བརྗོད-ལས-འདས-པ	beyond description; beyond description, imagination, and/ or expression
སྨྲས-པ	(at end of text)="(a few words) in conclusion . . . "
སྨྱོ-འབོག	psychotic episodes and fits
སྨྱོ-འབོགས	psychotic episodes and fits
སྨྱོ-བ	to go mad/ become insane; insanity; psychotic episode
སྨྱོན-པ	madman/ person/ lunatic; "crazy yogi"; insane/ crazy
སྣ	nose
སྣ-རེ	a few; single/ solitary
སྣ-ཚོགས	myriad; various; all (its/ their) variety; isc. multi-faceted
སྣ-ཟིན-པ	to take/ have taken the first step; to set out/ embark
སྣ-ཚོགས-བྲལ-བའི-རིག-པ	awareness free of complication
སྣ-ཚོགས-སུ-ཤར-བ	arising as a/ in myriad array
སྣའི-དབང-པོ	olfactory sense faculty
སྣའི-རྣམ-ཤེས	olfactory consciousness; {སྣའི་རྣམ་པར་ཤེས་པ} olfactory consciousness
སྣའི-རྣམ-པར-ཤེས-པ	olfactory consciousness
སྣག-ཕྱི-རིས-མེད	without linear time frame
སྣང-བ	+ snang yul - sensory appearances in general and your individual perception of sense objects [cf. CYDz, fol. 72.a.3]. sensory appearance; apparent phenomenon; perceived experience; apparent manifestation; vision (as in snang ba bzhi); illumination; to appear/ become apparent/ be evident/ manifest; to appear/ seem to (be) . . . ; (to give an) impression/ appearance (of); to take form; perceptions; isc. experience; isc. presence; isc. (enlightened) perspective (as is ye shes kyi snang ba or rig pa'i snang ba or chos sku'i snang ba)
སྣང-ཆ	apparent/ manifest aspect/ quality
སྣང-གླུ	illuminating song
སྣང-གསལ	to illuminate; illuminating (lamp)
སྣང-མེད	nonapparent/ nonmanifest
སྣང-ངོ	(-gi) snang ngo(r) - in the perception(s) of . . . ;on the level of manifest appearance/ apparent reality
སྣང-ཉམས	visionary experience*
སྣང-རྐྱེན	conditions accounting for the manifestation of apparent phenomena
སྣང-སེམས	mind and/ experiencing apparent phenomena
སྣང-ཤེས	awareness of sensory appearances
སྣང-སྲིད	(world of) appearances and possibilites
སྣང-སྟོང	unity of appearance/ manifestation/ perception and emptiness; (simultaneously) apparent/ manifest/ perceptible and/ yet empty
སྣང-ཚུལ	apparent/ manifest mode
སྣང-ཡུལ	{སྣང་བའི་ཡུལ} apparent (sense) object/ environment; sense object that manifests; isc. the/ one's perception of sense objects [cf. Longchenpa's distinction between snang ba (sensory appearances in general) and snang yul (the/ one's individual perception of these as sense objects)]
སྣང-ཞེན	fixated perception; fixation on sensory appearances
སྣང-སྲིད-སྣོད-བཅུད	possible appearances and beings in the universe; universe of appearances and possibilities; isc. universe of possibilities
སྣང-སྲིད-ཐམས-ཅད	entire world of all appearances and possibilities
སྣང-སྲིད-གཞིར-གཞེངས	possible appearances and beings arising within the ground - of being
སྣང-སྲིད-འཁོར-འདས	(world of) appearances and possibilities, whether samsara or nirvana
སྣང-བའི-ཆོས	phenomena that appear
སྣང-བའི-ཡུལ	apparent (sense) object/ environment; sense object that manifests; isc. the/ one's perception of sense objects [cf. Longchenpa's distinction between snang ba (sensory appearances in general) and snang yul (the/ one's individual perception of these as sense objects)]
སྣང-ལ-རང-བཞིན-མེད-པ	manifest yet without inherent/ self-nature
སྣང-བ-བཞི	four visions*
སྣང-བ-གསུམ	three visions
སྣང-བ-མཐའ-ཡས	Amitabha/ Limitless Illumination
སྣང-བ-ཐུག-ཕྲད	sensory appearances directly presenting themselves; the direct encounter with sensory appearances
སྣང-བ-ཅེར-བཞག	resting in the immediacy of sensory appearances
སྣང-བ-མཆེད-པ	enhancement of appearance
སྣང-བ-ཐོབ-པ	attainment of appearance [?]
སྣང-བ-ཅོག-བཞག	state of resting imperturbably/ imperturbale rest/ presence with regard/ in relation to sensory appearances
སྔ-འགྱུར	early translation (school) [=rNying ma]
སྔ-ལྟས	foreshadowing/ premonition
སྔ-ཕྱི	earlier and later (phases); linear time frame; temporal(ity)
སྔ-རྒོལ	opponent/ defendant (in debate); holder of initial position to be refuted
སྔ-ཕྱི-མེད-པ	atemporal
སྔ-འདྲེས-གཅིག-གིས-ཉེར-མ-སོང	not the slightest bit (closer to . . . )
སྔགས	mantra [glossed as yid skyob pa=manas traya="that which guards the mind"]
སྔགས-ཀྱི	tantric [as preferable to literal "mantric"]
སྔོན-འགྲོ	preliminary (practice)
སྔོན-ཆད	previously/ formerly
སྔོན-དུས-ཀྱི-སྲིད-པ	life between birth and death as a phase of conditioned existence
སྔོན-གྱི-སྲིད-པ	{སྔོན་དུས་ཀྱི་སྲིད་པ} life between birth and death as a phase of conditioned existence
སྔོན-ལས-འཕྲལ-རྐྱེན	previous karma or immediate circumstances
སྔོན-ཐོག-ཏུ	in the immediacy of what has always been the case
སྣོད	candidate/ (potential) recipient; container/ vessel; isc. repository
སྣོད-བཅུད	the universe; the (inanimate and animate) world as a container and its contents
སྣོད-དུ-རུང-བ	(to be a(n)) suitable recipient
སྣོད-དུ-མི-རུང-བ	(to be a(n)) unsuitable recipient
སྣོན-པ	prolongation; to prolong
སྣུབ-པ	to subside/ sink/ be lowered/ fall/ falter; isc. to disappear/ fade from view; to be eclipsed
སྙམ-པ	think; to think/ ponder/ wonder; to suggest (in debate)
སྙན-བསྔག	poetics
སྙེགས-པ	to excel in
སྙེམས-ཐག	{སྙེམས་ཐག་གཅོད་པ} - (to experience the collapse/ breaking down of one's) (proud) resistance
སྙེམས-བྱེད-ཀྱི-བདུད	mara creating complacency
སྙིགས-དུས	times of (spiritual) degeneration
སྙིགས-མ	dreg; (spiritual) degeneration
སྙིགས-མའི-དུས	times of (spiritual) degeneration
སྙིགས-མ-ལྔ	five kinds of/ fivefold degeneration
སྙིང	heart/ pith
སྙིང-དབུས	the very heart; the center of the heart
སྙིང-ག	heart center
སྙིང-གཏམ	heartfelt advice
སྙིང-ཁྲག	heart's blood
སྙིང-པོ	heart (essence); isc. (that is/ lies) at the very heart of . . . ; isc. quintessence; isc. essence mantra
སྙིང-པོའི	quintessential; of the heart essence (of . . . )
སྙིང-རྗེ	compassion; compassionate [one of the nine moods of dance (mind)]
སྙིང-སྟོབས	sattva; purity/ immaculacy/ sattva quality
སྙིང-ཐིག	heart drop
སྙིང-ཁོང-རུས-པའི-གཏིང-ནས	in one's bones, from the depths of one's heart
སྙིང-རྗེའི-མགྲོན	guests (invited out) of compassion
སྙིང-རེ-རྗེ	how worthy of compassion!
སྙིང-རྗེ-མེད-པ	cruel/ ruthless
སྙིང-རྗེ-མེད-པ-བསྐལ-པ-ལས-ཀྱི-རླུང	ruthless apocalyptic subtle energy/ air of karma
སྙིང-ཐག-པ-ནས	from the depths of one's heart
སྙོམས-འཇུག	snyoms par 'jug pa; {སྙོམས་པར་འཇུག་པ} (to settle/ settling in) meditative stabilization
སྙོམས-པ	impartial; even and stabilized
སྙོམས-འཇུག-གི-སྒྲིབ-པ	obscurations to states of meditative stabilization
སྙོམས-པར-འཇུག-པ	(to settle/ settling in) meditative stabilization
སོ-མ	fresh; ordinary (as in mind)
སོ-སོ	each and every; specific; individual; various; respective; separate (from one another)
སོ-སོའི	individual; respective
སོ-སོར	individually; variously; respectively
སོ-ཡིག	seed syllable
སོ-སོར-འབྱེད-པ	/dbye/ phye ba - to divide (up)/ analyze in detail
སོ-སོར-ཕྱེ-བ	'byed pa/ dbye ba - to divide (up)/ analyze in detail
སོ-སོར-དབྱེ-བ	'byed pa/ phye ba - to divide (up)/ analyze in detail
སོ-སོར-ཐར-པ	individual liberation
སོ-སོར-ཡང-དག-པར-རིག-པ-བཞི	{སོ་སོ་ཡང་དག་རིག་པ་བཞི} four states of authentic discerning awareness
སོ-སོར-རྟོག-པ	discerning; discernment
སོ-སོར-རྟོག-པའི-ཤེས-རབ	discerning (aspect of) sublime knowing/ wisdom/ transcendent knowledge
སོ-སོར-རྟོག-པའི-ཡེ-ཤེས	discerning timeless awareness
སོ-སོ-རང-རིག-པ	individual self-knowing awareness
སོ-སོ-སྐྱེ-བོ	ordinary mortal individual
སོ-སོ-ཡང-དག-རིག-པ-བཞི	{སོ་སོར་ཡང་དག་པར་རིག་པ་བཞི} four states of authentic discerning awareness
སོ-སོ-ཡང-དག-པར-རིག-པ	authentic/ correct discerning awareness
སོགས-པ	{ལ་སོགས་པ} and so forth/ et cetera; such . . . as . . .
སོང-བ	{.་.་.་ལ་སོང་བ} to go (pf.); to lead to/ have led to . . . ; isc. to be experienced as . . . ; isc. to be(come)
སོར-བཞག	resting naturally
སོར-ཆུད-པའི-སྟོབས	power of restoration
སྤང-བླང	{སྤང་ལེན} (ordinary) moral choice/ decision; renunciation/ rejection and/ or acceptance/ indulgence; isc. reaction
སྤང-བྱ	factor to be removed/ renoucned/ rejected/ abandoned; object of renunciation
སྤང-གཉེན	{སྤང་གཉེན་མེད་པ} (without/ involving no) antidotes used in renunciation/ renunciation through using antidotes
སྤང-ལེན	{སྤང་བླང} (ordinary) moral choice/ decision; renunciation/ rejection and/ or acceptance/ indulgence; isc. reaction
སྤངས-བླང	{སྤངས་ལེན} (ordinary) moral choice/ decision; renunciation/ rejection and/ or acceptance/ indulgence; isc. reaction
སྤངས-ལེན	{སྤངས་བླང} (ordinary) moral choice/ decision; renunciation/ rejection and/ or acceptance/ indulgence; isc. reaction
སྤངས-ཐོབ	renunciation and/ or attainment
སྤར	picture/ edition/ printing (of a book); publication
སྤེལ-བ	to cause to increase/ spread
སྤེལ-སྔགས	mantra for increase
སྤོབས-པ	self-confidence
སྤོད	spice/ seasoning
སྤོང-བ	abandonment/ renunciation; to abandon/ remove/ renounce; to eliminate (e.g. 'gyu ba); to reject (e.g., sensory appearances)
སྤོང-བྱེད	factor ensuring that . . . is abandoned
སྤོང-བའི-གཉེན-པོ	antidote involving abandonment/ renunciation (of negative factors)
སྤོས	incense
སྤོས-འབར	(gesture of) lighting incense (in dance)
སྤོས-རྒྱ	incense clock; (continuously burning) incense clock
སྤྲིན	cloud
སྤྲིན-ཕུང	banks of clouds
སྤྲོ-བ	(to feel) enthusiasm/ inspiration/ rapture; to send forth/ disperse (trans.)
སྤྲོ-བསྡུ	complexity and simplicity; being complex or simple; to complicate or simplify; analysis and synthesis; proliferation and reduction/ subsiding/ resolution (of thoughts/ concepts); shining (forth) and reconverging (of light); isc. multiply and dwindle; isc. emanation and resolution; isc. vacillation/ vacillate/ waver [e.g. garuda is spro bsdu med pa in sky]
སྤྲོས-བཅས	{སྤྲོས་པ་དང་བཅས་པ} elaborate/ involving (conceptual) elaboration; inclined to elaboration; elaborate (empowerment)*
སྤྲོས-བྲལ	{སྤྲོས་པ་དང་བྲལ་བ} free of/ beyond / freedom from/ transcendence of (conceptual) elaboration(s); unembellished
སྤྲོས-མེད	unelaborate; {སྤྲོས་པ་མེད་པ} unelaborate/ without (conceptual) elaboration; disinclined to elaboration; unelaborate (empowerment)unelaborate
སྤྲོས-མཐའ	{སྤྲོས་པའི་མཐའ} extreme/ limitation imposed by/ due to (conceptual) elaboration
སྤྲོས-པ	(conceptual) elaboration(s); embellishment
སྤྲོས-པའི-མཐའ	extreme/ limitation imposed by/ due to (conceptual) elaboration
སྤྲོས-པའི-མཐའ-དང-བྲལ-བ	free of/ beyond/ freedom the limitations of (conceptual) elaborations/ from limits imposed by/ due to (conceptual) elaborations
སྤྲོས-མཐའ-བྲལ-བ	{སྤྲོས་པའི་མཐའ་དང་བྲལ་བ} free of/ beyond/ freedom the limitations of (conceptual) elaborations/ from limits imposed by/ due to (conceptual) elaborations
སྤྲོས-པ-དང-བྲལ-བ	free of/ beyond / freedom from/ transcendence of (conceptual) elaboration(s); unembellished
སྤྲོས-པ-དང-བཅས-པ	elaborate/ involving (conceptual) elaboration; inclined to elaboration; elaborate (empowerment)*
སྤྲོས-པ-མེད-པ	unelaborate/ without (conceptual) elaboration; disinclined to elaboration; unelaborate (empowerment)*
སྤྲུལ-པ	emanation; phantom
སྤྲུལ-སྐུ	nirmanakaya; dimension/ stratum of physical emanation; isc. incarnate master
སྤྲུལ-པ-རྣམ-བཞི	four distinct modes of emanation
སྤྲུལ-པའི-སྐུ	nirmanakaya; dimension/ stratum of physical emanation; isc. incarnate master
སྤྲུལ-པའི-ལྟད-མོ	phantasmagoria
སྤུ-ཙམ	even a hair('s tip worth)/ hairsbreadth
སྤུ-རྩེ-ཙམ	even a hair('s tip worth)/ hairsbreadth
སྤུན-པོ	chaff
སྤུན-ཐག	common thread running through . . . ; underlying principle; intervention/ effect
སྤྱན	deeper vision; (sublime) state/ level of insight; (higher/ deeper faculty of ) vision; way of seeing
སྤྱན-འདྲེན	invite; {སྤྱན་དྲང༼ས་པ༽} to invite; invitation
སྤྱན-དྲང	invite; {སྤྱན་འདྲེན་པ} to invite; invitation
སྤྱན-དྲངས	invite; {སྤྱན་འདྲེན་པ} to invite; invitation
སྤྱན-ལྔ	five (sublime) states/ levels of deeper/ higher vision/ insight/ ways of seeing
སྤྱི-བླུགས	(lit.) anointment; sanctity; "total/ deep immersion" (experience) [?]
སྤྱི-ཆིངས	common context
སྤྱི-དོན	overview
སྤྱི-དཔལ	universal/ general splendor
སྤྱི-གནད	general/ universal key point
སྤྱི-གཞི	common/ universal ground
སྤྱི-གཟུགས	universal form
སྤྱིའི-མཚན-ཉིད	general/ nonspecific (defining) characteristic
སྤྱིར-བཏང	{སྤྱིར་ན།་དུ} in general/ generally speaking, . .
སྤྱིར-བསྟན-པ	general presentation
སྤྱོད-ལམ	(code of) conduct
སྤྱོད-པ	(authentic) conduct/ behavior; to behave/ conduct (oneself); to participate in/ engage in/ appreciate; to enact (conduct)/ be involved with; to avail oneself of; to use; isc. to embrace
སྤྱོད-རྒྱུད	charyatantra/ tantra of conduct
སྤྱོད-ཡུལ	range of (finite) experience; reach; sphere of activity/ experience; domain/ province/ scope/ spectrum; isc. dimension
སྤྱོད-པའི-རྒྱུད	charyatantra/ tantra of conduct
སྤྱོད-ཡུལ-དུ	. . . (kyi) spyod yul (du) - to be within the reach/ province of . . .
སྤྱོད-ཡུལ-ཡོངས-སུ-དག-པ	purification of one's entire range/ sphere of perception/ activity
སྤྱོད-པ-ལ-གཤེགས-པ	to engage in tantric conduct
སྤྱོད-པ-རྣམ-བཞི	four kinds of authentic conduct
སྤྱོད-པ-རྣམས-སྦྱོང-བའི-ཆོས	spiritual teachings for refining behavior patterns
སྲ-བ	incorruptibility; incorruptible; ("gzhan gyis gcod du med pa"); (one of seven vajra qualities)
སྲང	pathway
སྲང-དུ-འཛུད-པ	to "put to the test"; to "narrow it down"
སྲས	son; spiritual heir
སྲས-མོ	daughter; spiritual heir
སྲེད-པ	thirst/ craving (one of twelve links of interdependent connection)
སྲེག-པ	{བསྲེག་པ} to incinerate/ burn (up)
སྲི-ཞུའི-མགྲོན	guests (invited out) of reverence
སྲིད-གསུམ	three planes/ states of (conditioned) existence
སྲིད-མཐའི	(bodhisattva in his/ her) final incarnation
སྲིད-པ	conditioned existence/ state(s) of being; becoming; (to take) ordinary existence/ being (one of twelve links of interdependent connection)
སྲིད-པའི	of conditioned existence; cosmic (in certain cases); . . . of conditioned existence; cosmic (in certain cases)
སྲིད-ཞི	conditioned existence and the state of peace (=samsara and nirvana); isc. the material world and that of the spirit
སྲིད-པའི-བར-དོ	intermediate state of possible alternatives for rebirth
སྲིད-པའི-རྩེ-མོ	pinnacle (state) of/ in conditioned existence (4th of 4 states in formless realm)
སྲིད-པ-བཞི	four phases of conditioned existence
སྲིད-པ-གསུམ	three planes/ states of (conditioned) existence
སྲིད-པ-བར-དོ	intermediate state of possible alternatives for rebirth
སྲིད-མཐའི-བྱང-ཆུབ-སེམས-དཔའ	bodhisattva in his/ her final incarnation
སྲིན-པོ	bloodthirsty demon
སྲོག	life force
སྲོག-འཁོར	life force cakra
སྲོག-ཆགས	creature
སྲོག-གཅོད	cutter of life force; murder/ killing/ taking life; (to slay/ kill)
སྲོག-རྩ	aorta; lifeline
སྲོག-རྩོལ	(yogic practices for) harnessing and channelling subtle energy
སྲོག-ཤིང	central axis; mainstay
སྲོག-འཛིན-གྱི-རླུང	subtle energy maintaining life force
སྲོག-ལ-དབབ-པ	{།་འབབས་པ} to be (potentially) life threatening
སྲོག-ལ-འབབས-པ	{།་དབབ་པ} - to be (potentially) life threatening
སྲུང-འཁོར	protection circle
སྲུང-བ	to uphold/ maintain/ preserve/ observe/ guard (against); isc. to follow; guardian
སྲུང-མ	guardian (deity)
སྟ-གོན	preparatory phase (of major empowerment)
སྟབས	manner/ attitude/ step; stance
སྟན	seat
སྟན-ཐོག-གཅིག-ཏུ	in a single sitting; in a single sitting/ session
སྟངས	manner/ mode/ way of doing; stance; one's perspective of . . . ; stance/ step (in dance)
སྟངས-སྟབས	step/ movement (in dance)
སྟེ-ཆད-པ	cut off from one another
སྟེན-པ	{བསྟེན་པ} to rely/ depend on
སྟེང-དུ	right in . . . ; above/ on top of . . . ; isc. in and of itself as . . . ; isc. in the context of . . .
སྟེང-ན	right in . . . ; above/ on top of . . . ; isc. in and of itself as . . . ; isc. in the context of . . .
སྟེང-འོག-གི-རླུང	upper and lower (subtle) energies
སྟེང-འོག-མེད-པ	has no/ without division into higher or lower
སྟོབ-པ	{བསྟབ་པ} to serve (remains)
སྟོབས	power; strength/ power
སྟོབས-བཅུ	ten strengths
སྟོབས-ཀྱིས	on the strength of. . . . ; isc. due to . . . / on the basis of . . .
སྟོབས-ལྔ	five strengths
སྟོན-པ	teacher; to present/ demonstrate/ set forth/ reveal/ teach; isc. to treat/ deal with/ address; isc. to define; isc. to (be) discover(ed)
སྟོང-འབྱམས	[in positive sense] vast range of emptiness; [in negative sense] void (state)
སྟོང-ཆ	quality/ aspect of emptiness (of mind)
སྟོང-ཆད	inert/ nihilistic void (state)
སྟོང-གསལ	unity of emptiness and lucidity; (simultaneously) empty yet lucid
སྟོང-གཟུགས	empty form; {སྟོང་པའི་གཟུགས,་སྟོང་པའི་རང་གཟུགས} form(s)/ expression(s) of emptiness; isc. empty form(s)
སྟོང-ཧད	abrupt emptiness
སྟོང-མུན	obscure/ nebulous emptiness
སྟོང-པ	empty/ emptiness; isc. nothingness. . . . gis stong pa - devoid/ empty of . . .
སྟོང-ར	hollow form/ framework
སྟོང-ཐུན	resumé
སྟོང-ཡལ	to resolve/ resolving/ vanish into emptiness
སྟོང-ཡུལ	sense objects, which are inherently empty
སྟོང-དང-པོ-སྤྱི-ཕུད-ཀྱི-འཇིག-རྟེན-གྱི-ཁམས	thousandfold universe; chiliocosm
སྟོང-པ-ཉིད	emptiness
སྟོང-པ-ཆེན-པོ	supreme emptiness
སྟོང-སྟོང-པོ	sheer emptiness
སྟོང-པར-བྱེད-པ	to reduce to nothingness
སྟོང-པའི-གཟུགས	form(s)/ expression(s) of emptiness; isc. empty form(s)
སྟོང-པའི-རང-གཟུགས	(natural) expression(s) of emptiness; inherent form(s) of emptiness
སྟོང-པའི-གཟུགས-བརྙན	expression/ reflection of emptiness
སྟོང-གསུམ-གྱི-སྟོང-ཆེན-པོའི-འཇིག-རྟེན-གྱི-ཁམས	three-thousand-fold universe; trichiliocosm
སྟོང-གཉིས-པ-བར-མའི-འཇིག-རྟེན-གྱི-ཁམས	two-thousand-fold universe; bichiliocosm
སྟོང-ཉིད-སྙིང-རྗེའི-སྙིང-པོ-ཅན	emptiness imbued with the heart of compassion
སྟོང-ཉིད-ཉི-ཚེ-བ	limited emptiness (=mere voidness/ absence)
སྟོངས-གྲོགས	ally/ companion
སྟོངས-པ	to be rendered null and void/ negated/ emptied
སྟོར-བ	to cast aside
སྩོལ-བ	{བསྩོལ་བ} to confer/ grant/ bestow; to ensure (benefit)
སྟུག-པོ-བཀོད-པ	Ghanavyuha/ (pure realm of) Dense Array
སུ	who; who/ what(ever); anyone/ thing
སུལ	ravine/ fissure/ crevice/ fold
སུན-ཕྱུང-པ	{སུན་འབྱུང་བ} to undermine [in logic]
སུན-འབྱུང-བ	{སུན་ཕྱུང་པ} to undermine [in logic]
