ཀུད	{ཀུད} ND.gives as the present of {བཀུ}.
འཚེས	 see {འཚེ}|{འཚེས} DK. gives as the present to {ཚེས}. 
འཚོ	 Present: {འཚོ} ND, DS, TC. \nPast: {འཚོས} (NDA),\n NDB has 'tshas very probably a scribal error. DS, TC,{བཙོས} ND.\nFuture: {འཚོ} (ND), DS, TC.{བཙོ} ND.\nImperative: {འཚོས} ND, DS, TC.\nVoluntary: TC, (Hoshi 2003).\nTransitive: DS, TC.\nCharacteristic Example: {དད་འགྲོ} ND.\nMeaning: To nurture, care for (cattle) DS. To nourish, care for TC.\nNote: Compare {སོས} and {གསོ}. | {འཚོ} CD. gives as the present of {སོས} | {འཚོ} LZ, ND, CD. give as the present of {གསོ}. |Present: {འཚོ} LZ, DK, DS, TC. \nPast: {འཚོས} LZ, TC. {འཚོ} DK, [DS]. \nFuture: {འཚོ} LZ, DK, [DS], TC. \nImperative: {འཚོ} LZ, DK.- TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: {ལུས་སྲོག་སོགས} LZ.\nMeaning: To be alive DK, DS. To recover, revive, live TC.\nNote: Compare {སོས} and {གསོ}. 
འཚོག	Present: {འཚོག} LZ, CD, DK, DS, TC. \nPast: {བཙོགས} LZ, DS, TC. {བཙགས} CD. {བཙོག} DK.\nFuture: {བཙོག} LZ, CD, DS, TC. {གཙོག} DK.\nImperative: {ཙོགས} LZ. {ཚོགས} LZ, DS. {ཚོག} CD, DK. {འཚོགས} TC.\nVoluntary: CD, DS, TC.\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {གཅིག་གིཅིག་ལ་ཁ་ལག་སོགས་ཀྱིས} LZ.\nMeaning: 1. To hew, chop, cut pierce; to inoculate, vaccinate. 2. To cudgel. 3. To find fault with, to blame, censure, carp at, tease (Sch.) CD. To hit, to beat DK. (archaic) To hit, strike (with a stone, club &c.) DS. To beat, strike TC.
འཚོགས	Present: {ཚོགས} LZ. {འཚོགས} CD, DK, DS. {འཚོག} TC. \nPast: {འཚོགས} LZ, TC. {ཚོགས} CD, DK, DS.\nFuture: {འཚོགས} LZ. {འཚོག} DK, TC. {འཚོགས} DS.\nImperative: {ཚོགས} LZ, DK, DS. {འཚོགས} TC.\nVoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS. Transitive: TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {ཕྱོགས་གཅིག་ཏུ} LZ.\nMeaning: 1. To assemble, to meet together. 2. To unite, to join in doing something, to combine, to make common cause (Ja) CD. To assemble, to get together DK. To assemble many things together DS. To gather together TC.\nNote: Compare {སྩོག} , {སོགས} , {གསོག}.
འཚོང	Present: {འཚོང} KYN, TD, LZ, CD, DK, DS, TC. \nPast: {བཙོངས} KYN, TD, LZ, DK, DS, TC.\nFuture: {བཙོང} KYN, TD, LZ, DK, DS, TC.\nImperative: {ཚོངས} KYN, TD, LZ, DK, DS, TC.\nVoluntary: KYN, TD, DS, TC, (Tournadre & Dorje 2003: 159), (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 159), (Hackett 2003).\nCharacteristic Example: {ནོར་སོགས} TD. {ནོར་རྫས་སོགས} LZ.\nMeaning: To barter, sell CD. To sell DK. To receive money in exchange for a commercial good DS. To send, change commercial goods TC.
འཚོད	Present: {འཚོད} KYNZ, LZ, ND, CD, DS, TC. {འཚེད} KYNCW, CD, DK, (DS), TC.{ཚོས} CD.\nPast: {བཙོས} KYN, LZ, CD, ND, DK, DS, TC.\nFuture: {བཙོ} KYN, LZ, CD, ND, DK, DS, TC.\nImperative: {ཚོས} KYN, LZ, CD, ND, DS, TC.{འཚོད} DK.\nVoluntary: DS, TC, (Tournadre & Dorje 2003: 228), (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 228), (Hackett 2003).\nCharacteristic Example: {ཤ་སོགས} LZ, ND.\nMeaning: To cook (tshos) CD. To dye ('tshed) CD. To cook, boil. 2. To dye cloth. 3. To let a fruit ripe by keeping in a warm place DK. To put something in water, heat, and bring to a boil DS. 1. [To cook] meat, vegetables. 2. To smelt, burn (gold &c.). 3. To dye, change the color, character of ('tshod) TC. To become ready (meat, vegetables) ('tshed) TC.
འཚོབ	 Present: {འཚོབ} LZ. \nPast: {ཚབ} LZ.\nFuture: {ཚབ} LZ.\nImperative: {ཚོབ} LZ.\nCharacteristic Example: {སྐུ་སོགས་དངོས་གནས་ཀྱི་དོད} LZ. | {འཚོབ} ND, (DS). give as the present of {གསབ}.|Present: {འཚོབ} CD, DK, DS, TC. {འཚོབས} CD\nPast: {ཚོབས} DK. {འཚོབ} [DS].{འཚོབས} TC.\nFuture: {ཚོབ} DK.{འཚོབ} [DS], TC.\nImperative: {འཚོབས} DK. - TC.\nInvoluntary: TC.\nTransitive: DS. Intransitive: TC.\nMeaning: To be a deputy, to represent, to be substituted for CD. To hold, to retain DK. To be restored DS. To come together, unite TC. 
འཚོམས	Present: {འཚོམས} DK. \nPast: {ཚོམ} DK.\nFuture: {འཚོམ} DK.\nImperative: {ཚོམས} DK.\nInvoluntary: (Hoshi 2003).\nMeaning: To be angry, intensified DK. To get angry (Hoshi 2003).
འཚོལ	 see {འཚལ}|Present: {འཚོལད} (Zeisler 2004: 459). {འཚོལ} TD, LZ, CD, ND, DK, DS, TC. \nPast: {བཙལ} TD, DS, TC. {བཙལད} LZ, ND, DK. {བཙོལ} CD.\nFuture: {ཚོལ} (Zeisler 2004: 459, 479).{བཙལ} TD, LZ, ND, DK, DS, TC.\nImperative: {ཚོལད} TD, LZ, ND, DK. {ཚོལ} CD, DS, TC.\nVoluntary: TD, CD, ND, DS, TC, (Tournadre & Dorje 2003: 265), (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 265), (Hackett 2003).\nCharacteristic Example: {ནོར་སོགས} TD, ND. {རྒྱུ་ནོར་སོགས} LZ.\nMeaning: To seek, look for, make search CD. To search, find out, spy, wander DK. To try to find what has been lost, obtain what had not been obtained DK. To look into, investigate TC.\nNote:G. Uray, AOH, III (1955), pg. 234 and note 5. on verb 'tshol 'to look for' 
འཚོས	 'tshos ND. gives as the present of {བཤོ}. | see {བཤོ} | see {འཚོ}|Present: {འཚོས} DK. \nPast: {ཚོས} DK. {འཚོས} [CD].\nFuture: {འཚོས} DK.\nImperative: {ཚོས} DK.\nInvoluntary: (Hoshi 2003).\nMeaning: [To cook, boil thoroughly] CD. To be fully cooked, to be saturated with water, to be absorbed in liquors, to be fully indebted DK. 1. To understand, comprehend. 2. To sink in. 3. To be disoriented (Hoshi 2003).\nNote: Compare {ཚོས}. 
མཛངས	Present: {མཛངས} LZ, [TC]. \nPast: {མཛངས} LZ.\nFuture: {མཛངས} LZ.\nImperative: {མཛངས} LZ.\nCharacteristic Example: {བློ་གྲོས་དང་རྣམ་དཔྱོད་སོགས} LZ.\nMeaning: (archaic) To end, finish TC.
མཛད	Present: {མཛད} LZ, CD, DK, DS, TC. \nPast: {མཛད} LZ, DK, DS, TC.\nFuture: {མཛད} LZ, DK, DS, TC.\nImperative: {མཛོད} LZ, CD, DK, DS, TC.\nVoluntary: CD, DS, TC.\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {དཔུང་གཉེན་སོགས} LZ.\nMeaning: (honorific) To do CD. To do, to act DK. (honorific) To do, to work DS. (honorific) To do TC.
མཛའ	Present: {མཛའ} LZ, CD, ND, DK. \nPast: {མཛའ} LZ, ND, DK.\nFuture: {མཛའ} LZ, DK.\nImperative: {མཛའ} LZ, DK. - ND.\nInvoluntary: TC.\nIntransitive: DS, TC.\nCharacteristic Example: {གཉེན་སོགས་དང} LZ.\nMeaning: To be amicable, to love as friends or kinsmen do CD. To love, to be amicable DK.
མཛེར	 see {འཛེར}|{མཛེར} CD. gives as the present of {འཛེར}  
མཛེས	Present: {མཛེས} LZ. \nPast: {མཛེས} LZ.\nFuture: {མཛེས} LZ.\nImperative: {མཛེས} LZ.\nInvoluntary: (Hoshi 2003).\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {མིག་སྣར་སོགས་སུ} LZ.\nMeaning: To ornament, to be beautiful (Hackett 2003).
འཛག	 Present: {འཛག} LZ. \nPast: {འཛགས} LZ.\nFuture: {འཛག} LZ.\nImperative: {འཛགས} LZ.\nCharacteristic Example: {ས་བོན་དང་བཅུད་སོགས} LZ.|Present: {ཟགས} LZ.{འཛག} CD, DS, TC. \nPast: {གཟགས} LZ, CD. {ཟགས} CD, DS. {ཟག} TC.\nFuture: {གཟག} LZ, CD. {ཟག} [CD]. {འཛག} DS, TC.\nImperative: {ཟགས} LZ. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: {འཚག} CD, (Chang 1971: viii.16)\nCharacteristic Example: {སྣོད་སོགས་ནས་མར} LZ.\nMeaning: To drop, drip, trickle, leak, run out CD. For a liquid to fall down DS. To fall, drip, seep TC.\nNote: Compare {ཟག} , {གཟག}. 
འཛད	Present: {འཛད} LZ, CD, DS, TC. \nPast: {ཟད} LZ, CD, DS, TC.\nFuture: {འཛད} LZ, DS, TC.\nImperative: {འཛོད} LZ. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: {ཟླ་ངོ་དང་བསོད་ནམས་སོགས} LZ.\nMeaning: To go down, dwindle, be consumed, to come to and end CD. To finish, perfect DS. To reach and end, finish, perfect TC.\nNote: Compare {ཟད}.
འཛབ	 {འཛབ} CD. gives as the present of {གཟབ}.|Present: {འཛབ} CD, DK. \nPast: {ཛབས} DK.\nFuture: {ཛབ} DK.\nImperative: {འཛབས} DK.\nMeaning: To count on the beads, to mutter charms, to pronounce CD. To recite mantras, to repeat, mutter mantras DK. 
འཛའ	 {འཛའ} ND. gives as the present of {ཟ} |Present: {གཟོན} ND. {འཛའ} DS, TC. {གསོན} (DS). {ཟ} (TC). \nPast: {ཟོས} ND, DS, TC.\nFuture: {འཛའ} ND, TC. {ཟ} DS. {གཟན} (DS)\nImperative: {ཟོས} ND. {གཟོན} DS. - TC.\nVoluntary: ND, DS. Involuntary: TC.\nIntransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {ཆུད་དུ} ND.\nMeaning: To waste DS. To go to waste TC.\nNote: Compare {གཟོན} , {གསོན} , {གཟན}. 
འཛར	 Present: {འཛར} CD. \nMeaning: 1. To take dinner at midday. 2. To dress carelessly, or in a loose manner, to huddle on clothes or rags CD. | {འཛར} CD, DS. give as the present to {གཟར} |Present: {འཛར} DK, DS, TC. \nPast: {བཟར} DS. {ཛར} DK. {འཛར} TC.\nFuture: {འཛར} DK, TC.{གཟར} DS.\nImperative: {ཛརད} DK. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: {གཟར} NWH.\nMeaning: To hang down, to be left DK. For water to slowly drip from wet wool which is hung up DS. To hang down TC. 
འཛི	Present: {འཛི} CD, DS. \nPast: {འཛི} [DS].\nFuture: {འཛི} [DS].\nTransitive: DS.\nMeaning: 1. To be busy about, to be engaged in, to be taken up with, absorbed by anything. 2. To abstain from, to be abstinent, temperate (Sch.) CD. To abstain, quite, be temperate DS.
འཛིང	 Present: {འཛིངས} DS. {འཛིང} TC. \nPast: {འཛིངས} [DS], TC.\nFuture: {འཛིངས} [DS]. {འཛིང} TC.\nImperative: - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To mix, juxtapose, intertwine DS. To mix, shake, be agitated TC.\nNote: Compare {གཟིང}.|Present: {འཛིང} LZ, CD, DK, DS, TC. \nPast: {འཛིངས} LZ, DK, DS, TC.\nFuture: {འཛིངས} LZ, DK, DS, TC.\nImperative: {འཛིངས} LZ, DK, DS, TC.\nVoluntary: DS, TC, (Tournadre & Dorje 2003: 228), (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 228), (Hackett 2003).\nCharacteristic Example: {དགྲ་ཟུན་སོགས་ཕན་ཚུན} LZ.\nMeaning: To dispute, quarrel, contend with, wrestle, struggle with CD. To dispute, to quarrel, to fight, to struggle DK. To fight, quarrel DS. To fight TC. 
འཛིན	Present: {འཛིན} KYT, KYN, CD, ND, DK, DS, TC. {འཛིནད} (see note) TD, LZ.\nPast: {བཟུང} KYT, KYN, LZ, CD, (ND), DK, DS, TC. {བཟུངས} TD, ND.{ཟུམ} CD (in West).\nFuture: {གཟུང} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. {གཟུངས} (ND).\nImperative: {ཟུངས} KYT, KYN, TD, LZ, ND, DK, DS. {ཟུང} TC.\nVoluntary: KYT, KYN, TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {ཟིན} (Gyurme 1992: 261)\nCharacteristic Example: {ལན་པས} TD. {བློ་དང་ལག་ཏུ} LZ. {ལག་པས} ND.\nMeaning: (frequently requiring {ནས} attached to the object seized) To lay hold of, to seize, grasp CD. To hold, keep DK. To take an object (with hands, claws &c.) DS. 1. To hold. 2. To take, seize TC.\nNote: attestations of {འཛིནད} given by (Shafer 1951: 1028), originally this was two verbs {འཛིན} , pf. {ཟིན} and *{ཟུང} , {བཟུང} , according to(Bielmeier 2004: 404), Compare {ཟིན} , {གཟུང}.
འཛིར	Present: {འཛིར} CD, DK, DS, TC. \nPast: {ཛིར} DK. {འཛིར} [DS], TC.\nFuture: {འཛིར} DK, [DS], TC.\nImperative: {ཛིརད} DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nResultative of: {འཚིར} (Chang 1971: viii.16-17).\nMeaning: To trickle off, to let drip CD. To trickle down, drip DK. To drip down from a hole or crack DS. To drip TC.
འཛུ	Present: {འཛུ} CD. \nPast: {འཛུས} CD.\nMeaning: To catch at, to seize on. 2. To enter (Sch.) CD.
འཛུགས	 {འཛུགས} CD. gives as the present of {ཟུག}.|Present: {འཛུག} KYT, KYN. {འཛུགས} TD, LZ, CD, ND, DK, DS, TC. {ཟུག} (CD).\nPast: {བཙུག} KYT, KYN. {བཙུགས} TD, LZ, CD, ND, DK, DS, TC.{ཟུགས} (CD).\nFuture: {གཟུགས} KYT, TD, LZ, CD, DK, TC. {གཟུག} KYN, ND, DS.\nImperative: {ཚུགས} KYT, KYN, TD, LZ, ND, DK, DS, TC.\nVoluntary: KYT, KYN, TD, ND, DS, TC, (Tournadre & Dorje 2003: 292), (Hoshi 2003).\nTransitive: CD, DS, TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 292), (Hackett 2003).\nCausative of: {འཚུགས} CD,(Chang 1971: viii.19), (Beyer 1992: 112), (Gyurme 1992: 261).\nCharacteristic Example: {ཤིང་དང་སྲོལ་སོགས} TD. {རྒྱལ་མཚན་སོགས} LZ. {སྲོལ་སོགས} ND.\nMeaning: 1. To thrust a stick into, push down, to set a plant in the ground, to set down, to set up a pillar, to raise (a standard). 2. To establish, found, settle, introduce. 3. To sting (like nettles), to prick CD. 1. To plant. 2. To firmly put at the foot or peak of a thing. 3. To newly establish. 4. (with 'go) To start an action. 5. (with a weapon) To jab, strike, prick. 6. To accuse DS.\nNote:(Hahn 1995: 142) suggests that a "secondary form of gzug(s)" {གཙུག} is the first member of the noun {གཙུག་ལག}. Compare also {གཙུག}. 
འཛུད	Present: {འཛུད} LZ, CD, ND, DK, DS, TC. \nPast: {བཙུད} LZ, CD, ND, DK, DS, TC. {ཟུད} CD.\nFuture: {གཟུད} LZ, ND, DK, DS, TC.\nImperative: {ཚུད} LZ, CD, ND, DK, DS, TC. {འཛུད} (DK). {ཟུད} DS.\nVoluntary: CD, ND, DS, TC.\nTransitive: CD, DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {འཚུད} CD,(Chang 1971: viii.20), (Beyer 1992: 112), (Gyurme 1992: 261).\nCharacteristic Example: {ནང་དུ} LZ, ND.\nMeaning: To put, to lead, to guide, to induce, to insert CD. To insert, to put in, admit it DK. To put into, cause to go DS. To make go in TC.
འཛུམ	Present: {འཛུམ} LZ, CD, ND, DK, DS, TC. {བསུམ} CD.\nPast: {འཛུམ} LZ, ND, [DS]. {འཛུམས} DK, TC.\nFuture: {འཛུམ} LZ, DK, [DS], TC.\nImperative: {འཛུམ} LZ. - [ND]. {འཛུམས} DK, TC.\nInvoluntary: [ND]. Voluntary: TC.\nIntransitive: DS. Transitive: TC.\nCharacteristic Example: {ཞལ་དང་ཉམས་སོགས} LZ.\nMeaning: To smile CD. To smile, to part the lips slightly DK. To smile, laugh a bit DS. To smile, laugh a little TC.
འཛུམས	Present: {འཛུམ} CD, TC.{འཚུམས} ND. {འཛུམས} DK. {འཚུམ} DS. \nPast: {བཙུམ} CD, (DK). {བཙུམས} ND, DK, DS,TC.\nFuture: {གཟུམ} CD, DK. {བཙུམ} ND, DS, TC.\nImperative: {ཚུམ} CD. {ཚུམས} ND, DK, DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nCausative of: {ཟུམ} (Gyurme 1992: 261), (Duff).\nCharacteristic Example: {མིག་ཁ་སོགས} ND.\nMeaning: To close, shut (eyes, mouth) CD. To close, to shut up, one's mouth, &c. DK. The close (the mouth, eye &c.) DS. To close (mouth, eyes) TC.
འཛུར	 Present: {འཛུར} DS. \nPast: {འཛུར} [DS].\nFuture: {འཛུར} [DS].\nIntransitive: DS.\nMeaning: To pass, elapse (time) CD.|Present: {འཛུར} LZ, CD, DS, TC. {གཟུར} LZ, (DS). \nPast: {བཟུརད} LZ. {བཟུར} CD, DS, TC.\nFuture: {གཟུར} LZ, CD, DS, TC.\nImperative: {ཟུརད} LZ. {ཟུར} DS, TC.\nVoluntary: TC, (Hoshi 2003).\nIntransitive: DS. Transitive: TC.\nSyntax: [Abs. Abl.] (Hahn 1994: 108).\nCharacteristic Example: {རྭ་དང་རལ་ཁ་སོགས་ལས} (gzur) LZ. {མཚོན་ཁ་སོགས་ལས} ('dzur) LZ.\nMeaning: To give way, to draw back, (of a horse) to shy CD. To avoid, turn away (an arrow &c.) DS. To avoid, shun TC. 
འཛུལ	Present: {འཛུལ} LZ, CD, DS, TC. \nPast: {འཛུལད} LZ. {འཛུལ} [DS], TC.\nFuture: {གཟུལ} LZ. {འཛུལ} [DS], TC.\nImperative: {ཛུལད} LZ. {འཛུལ} TC.\nVoluntary: TC, (Tournadre & Dorje 2003: 281), (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs.] (Tournadre & Dorje 2003: 281).\nCharacteristic Example: {ཁུང་བུ་དང་འོག་ཏུ} LZ.\nMeaning: To glide, steal out, away CD. To go inside and thus become obfuscated, hidden. 2. To descend into DS. To insert, to place into TC.
འཛེག	Present: {འཛེག} ND, CD, DK, DS, TC. \nPast: {འཛེགས} ND, DK, DS, TC.\nFuture: {འཛེག} ND, DK, DS, TC.\nImperative: {འཛོགས} ND. {འཛེགས} DK, DS, TC.\nVoluntary: ND, DS, TC, (Hoshi 2003).\nIntransitive: DS. Transitive: TC.\nSyntax: [Erg. Obl.] (Hackett 2003).\nCharacteristic Example: {གྱེན་ལ} ND.\nMeaning: To climb up to ascend, to walk up CD. To climb up, to ascend, to walk up DK. To go from a low place to a high one DS. To go upward TC.
འཛེང	Present: {འཛེང} CD. \nMeaning: 1. To fight with projectiles, to throw stones. 2. To stick, jut out, to project, to be prominent (Sch.) CD.
འཛེད	Present: {འཛེད} CD, ND, DS, TC. \nPast: {བཟེད} CD, ND, DS, TC.\nFuture: {འཛེད} ND. {བཟེད} DS, TC.\nImperative: {ཟེད} ND, DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nCharacteristic Example: {སྣོང་ཁ} ND.\nMeaning: To hold out, forth CD. To take something offered in the palm of a hand, or lip of a vessel DS. To present in the direction of the lip of a vessel TC.\nNote: Compare {གཟེད}.
འཛེམ	Present: {འཛེམ} LZ, CD, ND, DK, DS, TC. \nPast: {འཛེམས} LZ, DK, DS, TC. {འཛེམ} ND.{ཟེམ} (DK).\nFuture: {འཛེམ} LZ, DK, TC. {གཟེམ} DS.\nImperative: {འཛེམ} LZ. {འཛེམས} DK, DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Obl.] (Hackett 2003).\nCharacteristic Example: {འགོ་ནད་སོགས་ལ} LZ.\nMeaning: To shrink from, to shun, avoid CD. To be ashamed, to hesitate, to avoid DK. 1. To control, restrict oneself. 2. To shy away, avoid, protect oneself. 3. To be suspicious, careful, concerned DS. 1. To be careful, wary. 2. To be timid, anxious, shy TC.
འཛེར	 Present: {འཛེར} LZ, DS, TC.\nPast: {འཛེརད} LZ. {འཛེར} [DS].\nFuture: {འཛེར} LZ,[DS].\nImperative: {ཟེརད} LZ.\nTransitive: DS.\nCharacteristic Example: {འཛེར་མ་སོགས} LZ.\nMeaning: (dialect) To pierce, lance DS. (archaic) To pierce TC. | Present: {འཛེར} ND. {འཛེརད} DK. \nPast: {གཙེརད} ND. {བཙེརད} DK.\nFuture: {གཙེར} ND. {བཙེར} DK.\nImperative: {གཙེརད} ND. {ཛེརད} DK.\nCharacteristic Example: {སྙན} ND.\nMeaning: To cause become horse, to cause to be rough and harsh voice [sic] DK.| Present: {འཛེརད} DK. {འཛེར} CD, TC. \nPast: {ཛེར} DK. {འཛེར} TC.\nFuture: {འཛེར} DK, TC.\nImperative: {ཛེརད} DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: TC.\nMeaning: (archaic) To be horse CD. To be horse, for one's voice to become bad DK. To be unable to speak, speak with difficulty TC. |Present: {འཛེར} CD, DK, DS, TC. {མཛེར} CD.\nPast: {མཛེརད} DK.\nFuture: {མཛེར} DK.\nImperative: {འཛེརད} DK.\nMeaning: (archaic) To say, speak CD. To speak, to say DK. (archaic) To say DS. (archaic) 1. To say. 2. To impose TC.\nNote: Compare {ཟེར}. 
འཛོམ	Present: {འཛོམ} LZ, CD, ND, DK, DS, TC. {འཛོམས} CD.\nPast: {འཛོམས} LZ, DK, DS, TC. {འཛོམ} [ND].\nFuture: {འཛོམ} LZ, DK, DS, TC.\nImperative: {འཛོམས} LZ, DK, TC. - DS.\nInvoluntary: DS. Voluntary: TC, (Tournadre & Dorje 2003: 318), (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs.] (Tournadre & Dorje 2003: 318).\nCharacteristic Example: {མགྲོན་པོ་དང་གཟའ་སྐར་སོགས} LZ.\nMeaning: To come, approach together, to meet, to interlace CD. To come together, to get together, to assemble DK. 1. To gather in one place. 2. To be, have, complete, be full. 3. To meet, encounter, touch DS. 1. To gather, come together. 2. To be complete, full TC.
འཛོལ	Present: {འཛོལ} LZ, CD, DK, TC. \nPast: {འཛོལད} LZ. {ཛོལ} DK. {འཛོལ} TC.\nFuture: {འཛོལ} LZ, DK, TC.\nImperative: {འཛོལད} LZ. {ཛོལད} DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: TC.\nCharacteristic Example: {དོན་དང་བྱ་བ་སོགས} LZ.\nMeaning: 1. To mistake. 2. To shake about, to stir, intermix, confuse CD. To be mistaken, to be confused, to fall in a wrong track DK. To make a mistake, be confused, be mistaken TC.
རྫི	Present: {རྫི} LZ, CD, ND, DK, DS, TC. \nPast: {བརྫིས} LZ, CD, ND, DK, DS, TC.\nFuture: {བརྫི} LZ, CD, ND, DK, DS, TC.\nImperative: {རྫིས} LZ, CD, DK, DS, TC. {བརྫིས} CD.\nVoluntary: CD, DS, TC, (Tournadre & Dorje 2003: 228), (Hoshi 2003).\nTransitive: DS. Intransitive: TC.\nSyntax: [Erg. Obl.] (Tournadre & Dorje 2003: 228).\nCharacteristic Example: {ཕྱེ་སོགས་དང་རྐང་པས} LZ. {ཟན་དང་ཞབས་ཀྱིས} ND.\nMeaning: To pound, stamp, knead, tread down. 2. To oppress, to distress (Ja) CD. To knead, to pound, stamp, tread down DK. To combine water, or another liquid with something. 2. To push down, subdue, suppress. 3. To harm, injure DS. 1. To stretch, sift, mix, knead. 2. To press down. 3. To hurt, injure TC.
རྫུ	Present: {རྫུ} LZ, CD, DK, DS, TC. \nPast: {བརྫུས} LZ, CD, ND, DK, DS, TC. {རྫུས} CD.\nFuture: {བརྫུ} LZ, CD, ND, DK, DS, TC.\nImperative: {རྫུས} LZ, CD, ND, DK, DS, TC. {བརྫུས} CD.\nVoluntary: CD, ND, DS, TC.\nIntransitive: DS. Transitive: TC.\nCharacteristic Example: {ཤེས་པ་སོགས་མི་ཤེས་པ་ལྟ་བུར} LZ. {གཞན་དུ} ND.\nMeaning: To give a deceptive representation, to make a thing appear different from what it is, to change into, to change (one's self), to be changed CD. To pretend, disguise, feign DK. To change from previous, to appear differently DS. To change, to make something be what it is not TC.
རྫུན	Present: {རྫུན} DK. \nPast: {བརྫུནད} DK.\nFuture: {བརྫུན} DK.\nImperative: {རྫུནད} DK.\nSyntax: [Abs. Obl.] (Hackett 2003).\nDenominative of: {རྫུན} 'lie, falsehood'NWH.\nMeaning: To tell lies, to say something with intention of deceiving, to say the opposite thing DK. To be wrong, to be false (Hackett 2003).
རྫེ	Present: {བརྫེ} LZ.{རྫེ} CD, NDB, DK, DS, TC. \nPast: {བརྫེས} LZ, CD, NDB, DK, DS, TC.{རྫེས} CD.\nFuture: {བརྫེ} LZ, CD, NDB, DK, DS, TC.\nImperative: {རྫེས} LZ, CD, NDB, DK, DS, TC. {བརྫེས} CD.\nVoluntary: CD, NDB, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nCharacteristic Example: {སྐྲ་དང་གོས་ཀྱི་མཐའ་སོགས} LZ. {ཡར་ལ} NDB.\nMeaning: 1. To tuck up, truss up (clothes), to cock a hat, to turn up the upper lip (Ja). 2. To threaten (Cs.) CD. To turn up, tuck up, to cock up DK. To roll up, lift up (a flap of cloth &c.) DS. To draw up TC.
རྫོགས	Present: {རྫོགས} CD, DK, DS, TC. \nPast: {རྫོགས} DK, [DS], TC.\nFuture: {རྫོགས} DK, [DS], TC.\nImperative: {རྫོགས} DK. - TC.\nInvoluntary: TC, (Tournadre & Dorje 2003: 265), (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs.] (Tournadre & Dorje 2003: 265). [Abs. Obl.] (Hackett 2003).\nMeaning: To finish, fulfill, to complete, to terminate CD. To be completed, to be included, to finish, to terminate DK. To reach an end, be complete DS. 1. To fill, complete. 2. To end, finish TC.
