འབའ-ཞིག	kevala. n^anyatra
ཡང-དག-པར-འཆོས-པར-བྱེད-པ	samyak samanuzAsti
ཡང-དག-པར-ཐོབ-པ	samudAgata. samudAgama
ཡང-དག-པར-ཐོབ-པར-བྱེད-པ	saMprApaka
ཡང-དག-པར-མྱོང-བ	pratisaMvedin
ཡང-དག-པར-ཕྱིན-ཅི-མ-ལོག-པ-ཡིད-ལ-བྱེད-པ-སྒོམ-པ	samyag-aviparIta-manasikAra-bhAvanatA
ཡང-དག-པར-འགགས-པ	saMniruddha
ཡང-དག-པར-བསླབ-པར-བྱ-བ	pratisaMzikSitavya
ཡང-དག-པ-ཉིད	bhUtatA
ཡང-དག-པ-ཡིད-ལ-བྱེད-པ	bhUta-manaskAra
ཡང-དག-པ-དེ-བཞིན-པ	bhUtaM-tathA
ཡང-དག-པ-ཁོ-ནར-ཉེ-བར-རྟོག-པར-བྱེད-པ	samyag ev^opaparIkSate
ཡང-དག-པ-ཁོ-ནར-གདམས-པ	samyak-codita
ཡང-དག-པ-ཇི-ལྟ-བ	yathA-bhUta
ཡང-དག-པ-ཇི-ལྟ-བ-བཞིན	yathA-bhUta
ཡང-དག-པ-ཇི-ལྟ-བ-བཞིན-དུ	yathA-bhUta
ཡང-དག-པ-ཇི-ལྟ-བ-བཞིན-དུ-ཁོང-དུ-ཆུད-པར-བྱ-བ	yathA-bhUt^avabodha
ཡང-དག-པ-ཇི-ལྟ-བ-བཞིན-དུ-མཁྱེན-པ	yathA-bhUtaM prajAnAti
ཡང-དག-པ-ཇི-ལྟ-བ-བཞིན-དུ-ཡོངས-སུ-མ-ཤེས-པ	yathAbhUtam a-parijAnataH
ཡང-དག-པ-ཇི-ལྟ-བ-བཞིན-དུ-ཡོངས-སུ-ཤེས-པ	yathA-bhUtaM parijAnat. yathA-bhUta-parijJAna
ཡང-དག-པ-ཇི-ལྟ-བ-བཞིན-དུ-རབ-ཏུ-མཁྱེན-པ	yathA-bhUtaM prajAnAti
ཡང-དག-པ-ཇི-ལྟ-བ-བཞིན-དུ-རབ-ཏུ-ཤེས-པ	yathA-bhUtaM prajAnan. yathA-bhUtaM prajAnAti
ཡང-དག-པ-ཇི-ལྟ-བ-བཞིན-དུ-རབ-ཏུ-ཤེས-པར-བྱེད-པ	yathA-bhUtaM prajAnAti
ཡང-དག-པ-ཇི-ལྟ-བ-བཞིན-དུ-རབ-ཏུ-མཐོང-བ	yathA-bhUtaM pazyati
ཡང-དག-པ-ཇི-ལྟ-བ-བཞིན-དུ-རྟོགས-པ	yathA-bhUt^avabodha
ཡང-དག-པ-ཇི-ལྟ-བ-བཞིན-དུ-རིག-པར-བྱ-བ	yathAbhUtaM veditavyA
ཡང-དག-པ-ཇི-ལྟ-བ-བཞིན-དུ-མངོན-པར-རྫོགས-པར-བྱང-ཆུབ-པ	yathA-bhUt^abhisaMbodha
ཡང-དག-པ-དང-ལོག-པ-དང-གཉིས-ཀ-ལས-བཟློག-པའི-བསྒྲུབ-པའི-མཚན-མའི-མཚན-ཉིད	samyaG-mithy^obhaya-viparIta-pratipatti-lakSaNa
ཡང-དག-པ-དང-ཚེགས-ཆུང-ངུ	samyag-alpa-kRcchra
ཡང-དག-པ-ཉིད-དུ-བརྩོན-པར-བྱེད-པ	samyag eva prayujyate
ཡང-དག-པ-ཉིད-དུ-ངེས-པའི-ཕུང-པོ	samyaktva-rAzi-niyata
ཡང-དག-པ-ཉིད-དུ-ངེས-པ-ལ-འཇུག-པར-བྱེད-པ	samyaktvaM-nyAmam avakrAmati
ཡང-དག-པ-ཉིད-དུ-གཏོད-པར-བྱེད-པ	samyak-prayukta
ཡང-དག-པ-མ-ཡིན-པ	a-bhUta
ཡང-དག-པ-མ-ཡིན-པར-སྨྲ-བ	a-bhUta-vAdin
ཡང-དག-པ-ལ-སྐུར-པ-བཏབ-པའི-ལེགས-པར-མ-ཟིན-པ	bhUta-apavAda-asaMgrAha
ཡང-དག-པའི-དོན	bhUt^artha
ཡང-དག-པའི-ངག	samyag-vAc
ཡང-དག-པའི-ཏིང-ངེ-འཛིན	samyak-samAdhi
ཡང-དག-པའི-རྩོལ-བ	samyag-vyAyAma
ཡང-དག-པའི-ཡོངས-སུ-བསྔོ-བའི-བརྩོན-འགྲུས	samyak-pariNamitaM vIryam
ཡང-དག-པའི-སྦྱོར-བ	samyak-prayogatA. samyak-prayoga. samyak-saMprayoga
ཡང-དག-པའི-སྦྱོར-བ-ལས-བྱུང-བའི-ཤེས-པ	samyak-prAyogikaM jJAnam
ཡང-དག-པའི-སྦྱོར-བ-བྱེད-པ	samyak-prayukta
ཡང-དག-པའི-དངོས-པོ-དང-ལྡན-པ	bhUta-vastuka
ཡང-དག-པའི-མཐའ-ལ-གནས-པ	bhUta-koTi-vihAra
ཡང-དག-པའི-འཚོ-བ	samyag-AjIva
ཡང-དག-པའི-བརྩོན-འགྲུས	samyag-vIrya
ཡང-དག-པའི-སྨོན-ལམ	samyak-praNidhAna
ཡང-དག-པའི-སྨོན-ལམ-དང-པོ	AditaH samyak-praNidhAna
ཡང-དག-པའི-རྟེན-སྦྱིན-པ	samyaG-nizraya-dAna
ཡང-དག-པའི-ཐ-སྙད-དང-ལས-ཀྱི-མཐའ-ལ-སྦྱོར-བ	samyak-karm^anta-prayoga
ཡང-དག-པའི-ཡེ-ཤེས-ལ-ཀུན-ཏུ-རྩོམ-པ	samyak-jJAna-samArambha
ཡང-དག-པའི-ཡོན-ཏན	bhUta-guNa. bhUtA-gunA. bhUtair guNaiH
ཡང-དག-པའི-ཤེས-རབ	samyak-prajJA
ཡང-དག-པའི-གྲོགས-སུ-འགྲོ-བ	samyak-sahAyI-bhAvaM gacchataH
ཡང-དག-པའི-བདག-གི-མཚན-ཉིད	pAram^arthikam Atma-lakSaNam
ཡང-དག-པའི-ལྟ-བ	samyag-dRSti
ཡང-དག-པའི-ལྟ-བའི-འབྲས-བུ	samyag-dRSTi-phala
ཡང-དག-པའི-ཆོས-བསྟན-པ-དང-ལྡན-པ	samyag-dharma-dezan^anugata
ཡང-དག-པའི-རྟོག-པ	samyak-saMkalpa
ཡང-དག-པའི-ལས-སུ-བྱ-བ	samyak-karNIya
ཡང-དག-པའི-ལས-ཀྱི-མཐའ	samyak-karm^anta
ཡང-དག-པའི-ལས-ཀྱི-མཐའ-ལ-སྦྱོར-བ	samyak-karm^anta-prayoga
ཡང-དག-པའི-བསམ-པ	samyag-Azaya
ཡང-དག-པའི-ལམ-བསྒོམས-པ	samyaG-mArga-bhAvanA
ཡང-དག-པའི-སྡུག-བསྔལ-གྱི-རྒྱུ	pAram^arthikaM duHkha-hetum
ཡང-དག-པའི-དོན-དུ-ངེས-པར-བྱ-བ	bhUt^artha-nizcaya
ཡང-དག-པའི-བྱང-ཆུབ-སེམས-དཔའ	bhUtA bodhisattvAH
ཡང-དག-པའི-དྲན-པ	samyak-smRti
ཡངས-པ	vaipulya; Ayata. vipula
ཡངས-པ-དང-རྒྱ-ཆེན-པོར-གྱུར-པ-དང-ཚད-མེད-པ	vipulena mahad-gatena pramANena
ཡངས-པ-དང-འཕེལ-བ-དང-རྒྱས-པར-གྱུར-པ	pRthu-vRddhi-vaipulyatA
ཡར-འཕེལ-བ	utkarSa
ཡར-སྐྱེ-བ	utkarSa
ཡེ-ཤེས-ཙམ	jJAna-mAtra
ཡེ-ཤེས-མཐོང-བ	jJAna-darzana
ཡེ-ཤེས-ཚད-མེད-པ	a-pramANa-jJAnatA
ཡེ-ཤེས-ཀྱི-ཚོགས	jJana-saMbhAra
ཡེ-ཤེས-ཀྱི-ཕ-རོལ-ཏུ-ཕྱིན-པ	jJAna-pAramitA
ཡེ-ཤེས-རྣམ-པ-གཉིས	dvividhaM-jJAnam
ཡེ-ཤེས-རྣམ-པར-དག-པ	jJAna-vizuddhi
ཡེ-ཤེས-རྣམ-པར-སྦྱོང-བར-བྱེད-པ	jJAna-vizodhaka
ཡེ-ཤེས-དང-མཐོང-བ-རྣམ-པར-སྦྱོང-བའི-ཡིད-ལ-བྱེད-པ	jJAna-darzana-vizodhano manaskAraH
ཡེ-ཤེས-དང-གཟིགས-པ-རྣམ-པར-དག-པ	suvizuddhena jJAna-darzanena
ཡེ-ཤེས-དང-སྙིང-རྗེ-དང-ལྡན-པ	jJAna-kAruNy^anugata
ཡེ-ཤེས-དང-མངོན-པར-ཤེས-པ-དང-སྤྱོད-པ	jJAn^abhijJA-caryA
ཡེ-ཤེས-ལས-བྱུང-བ	jJAna-prabhava
ཡེ-ཤེས-དམ-པ	jJAna-paramatA
ཡེ-ཤེས-ཡོངས-སུ-དག-པ	jJAna-vizuddhi. jJAna-parizuddhi
ཡི-དྭགས	preta; paitR
ཡི-གེ	akSara. vyaJjana; grantha. lipi
ཡི-གེར-འདྲིར-བཅུག-སྟེ-འཆང-བ	lekhayitvA dhArayiSyati
ཡི-གེ-སྣ-ཚོགས	citra-pada-vyaJjana. vyaJjana-nAnAtva
ཡི-གེ-དང-ལྡན-པ	vyaJjana-saMpanna
ཡི-གེ-བྲི-བ	lipi
ཡི-གེའི-ཕྱི-མོ	mAtRkA
ཡི-གེའི-ངེས-པའི-ཚིག	akSara-nirvacana
ཡི-རངས-པ-དང-ཡིད-བདེ-བར-འགྱུར-བ	AttamanA bhavati sumanaskaH
ཡི-ཆད-པར-མི-འགྱུར-བ	na viSIdati
ཡི-དྭགས-ཀྱི-གནས	pret^ayatana
ཡི-དྭགས-ཀྱི-ཡུལ-པ	paitR-viSayika
ཡི-དྭགས-ཀྱི-འཇིག-རྟེན	preta-loka
ཡི-དྭགས-ཀྱི-འཇིག-རྟེན-པ	preta-laukika
ཡི-དྭགས-ཀྱི-གནས-གཞན	preta-sthAn^antara
ཡི-དྭགས-རྫུ-འཕྲུལ-ཆེན-པོ	maharddhika-preta
ཡི-དམ-ཅན	samAdAna
ཡིབས-སུ-ཤིས-པ	abhirUpa
ཡིད	manas. mAnasa
ཡིད-བརྟན	vizvAsa
ཡིད-དགའ	su-manas
ཡིད-གཉིས	vimati
ཡིད-རྟུལ	dhandha
ཡིད-སྐྱོ	udvigna-mAnasa
ཡིད-འབྱུང-བར-དཀའ-བ	duH-saMvejya
ཡིད-འབྱུང-བར-སླ-བ	su-saMvejya
ཡིད-གཡེན-སྤྱོ-བར-འགྱུར-བ	vyAkula-mAnasa
ཡིད-ལ-བྱེད-པ	manasikriyA. manaskAra; manasi karoti. manasi kurvataH
ཡིད-ལ-བྱེད-པའི-ལས-དང-པོ-པ	manaskAr^adikarmika
ཡིད-ལ-བྱེད-པ-ཐོབ-པའི-རྣམ-འབྱོར-བ	labdha-manaskArasya yoginaH
ཡིད-ལ-བྱེད-པ-བསྒོམ-པ	manaskAra-bhAvanA
ཡིད-ལ-བྱེད-པ-ལ-ཞུགས-པ	manaskAra-praviSTa
ཡིད-ལ-བྱེད-པ-སྒོམ-པ	manaskAra-bhAvanA
ཡིད-ལ-བྱེད-པ-རྣམ-པ-བདུན	sapta manaskArAH
ཡིད-ལ-བྱེད-པ-དང-བཅས-པ	sa-manaskAra
ཡིད-ལ-བྱེད-པར-མི-བྱ-བ	a-manasikAraH karaNIyaH
ཡིད-ལ-མི-བྱེད-པ	a-manasi kurvataH
ཡིད-ལ-མི-བྱེད-པར-བྱ	a-manasikAraH karaNIyaH
ཡིད-ལ-བརྗོད-པ	mano-jalpa
ཡིད-ལ-སྨོན-པར-བྱེད-པ	mAnaM saMpraNidhatte
ཡིད-ལ-རྗོད-པ-རགས-པ	audAriko mano-jalpaH
ཡིད-ཡོངས-སུ-སྐྱོ-བར-མི-འགྱུར-བ	a-parikhinna-mAnasa
ཡིད-ཡོངས-སུ-བསྒོམ-པ	paribhAvita-mAnasa
ཡིད-ཡོངས-སུ-མི-སྐྱོ-བ	a-parikhinna-mAnasatA. a-parikhinna-mAnasa. a-pratikhinna-mAnasa
ཡིད-དགའ-བ	prIta-manas. su-manaska. sumanaska
ཡིད-དགའ-བར-གྱུར-པ	hRSTa-mAnasa
ཡིད-དགའ-བར-འགྱུར-བ	sumanA bhavati. saumanasya-jAta
ཡིད-རྟུལ-བ	manda
ཡིད-རྟུལ-བ-མ-ཡིན-པ	a-dhandha
ཡིད-བདེ-བ	saumanasya
ཡིད-བདེ-བར-འགྱུར-བ	su-manaska. su-manas
ཡིད-བདེ-བའི-མང-བ	saumanasya-bahulaIya
ཡིད-བདེ-བའི-གནས-ལྟ-བུ	saumanasya-sthAnIya
ཡིད-ཆེས-པ	saMpratyaya; pratyayitatva. pratyayita. saMbhAvanA. abhisaMpratyaya
ཡིད-ཆེས-པ-བསྐྱེད-པ	saMpratyaya-jananA
ཡིད-ཆེས-པ-སྐྱེས-པ	saMpratyaya-jAta
ཡིད-ཆེས-པའི-ལུང	AgameN^aptena. Apt^agama
ཡིད-ཆེས-པའི-ལུང-གི-དག-པ	Apt^agama-vizuddha
ཡིད-ཆེས-པར-བྱས	vilobhya
ཡིད-ཆེས-པར-མི-བྱེད-པ	saMpratyayena na gacchat
ཡིད-ཀུན-ཏུ-དངང-མེད-པ	na-saMtrasta-manas
ཡིད-ཀུན-ཏུ-བསྲུངས-པ	ArakSita-mAnasa
ཡིད-རབ-ཏུ-དགའ-བ	manasas-praharSaH
ཡིད-མགུ-བར-བྱས-པ	manas-tuSTi
ཡིད-ཞུམ-པ-མེད-པ	a-dIna-manas
ཡིད-ཉེ-བར-མ-ཞི-བ	a-vyupazAnta-mAnasa
ཡིད-བག-ཚ-བ-མེད-པ	niHzaGkita-mAnasa
ཡིད-ཆས-པ	Apta
ཡིད-འཕྱར-བ	pluta-mAnasa
ཡིད-དང-འདྲ-བར	manaH-sadRzena
ཡིད-རྟོན-པ	vizvAsyatA
ཡིད-ལས-བྱུང-བ	mano-maya
ཡིད-ལས-སྐྱེས-པའི-བར-མ-དོའི-སྲིད-པ	mano-mayo 'ntarA-bhavaH
ཡིད-དུ-མི-འོང-བ	an-apekSA-sthAnIya. anAtta-manaska. a-manApa. a-mAnApika
ཡིད-དུ-མི-འོང-བའི-སྒྲ	a-mano-jJa-zabda
ཡིད-དུ-འོང-བ	manApa. mano-jJa. mano-rama. mAnApika. hRdayaGgama. apekSA-sthAnIya
ཡིད-དུ-འོང-ཞིང-དགའ-བར-བྱེད-པ	mano-jJa-prIti-kara
ཡིད-དུ-འོང-བའི-ཚིག	a-manApa-vacanaiya
ཡིད-བརྟེན-པ	vizvAsa
ཡིད-ཀྱིས-བརྟགས-པ	manasA-anvIkSitA
ཡིད-ཀྱིས-ཉེས-པར-སྤྱད-པ	mano-duzcarita
ཡིད-ཀྱིས-རྗེས-སུ-བརྟགས-པ-དང-རྗེས-སུ-དཔྱད-པ	manasAnuvitarkitam anuvicAritam
ཡིད-གཅུགས-པ	vizvasta. vizvAsa
ཡིད-ཙམ-གྱིས-སྟེང-དུ-འཛུར-བ	ISad-vaGkI bhavati
ཡིད-རྣམ-པར-གཡེངས	vyAkSipta-mAnasa
ཡིད-གཉིས-ཟ-བ	kAGkSa. vimati
ཡིད-གཞུངས-པ	medha. medhasa. medhAvin. medhA
ཡིད-གཞུངས-པར-གྱུར-པ	prasRta-mAnasa
ཡིད-གཞུངས-པ-བསྲུང	medhAM rakSati
ཡིད-གཡེང-བ	druta-mAnasa
ཡིད-བརྟན-པ	saMpratyayita
ཡིད-བརྟན-དུ-རུང-བ	zraddheya
ཡིད-བརྟན-དུ-མི-རུང-བ-ཉིད	anAzvAsikatA
ཡིད-བརྟན-པར-གྱུར-པ	vizvAsyatA
ཡིད-འཁྲུག-པ	manaH-pradoSa
ཡིད-འཁྲུག-པར-བྱེད-པ	manaH-pradUSikA. manAMsi praduSyanti
ཡིད-སྐྲག-པ	uttrasta-mAnasa
ཡིད-ཕྱིར-ལྡོག-པར-གྱུར-པ	pratyudAvatate mAnasam
ཡིད-བཏུད-པ	samAvarjita-mAnasa
ཡིད-ཀྱི-ལས	manas-karman
ཡིད-ཀྱི-ལུས	manaH-kAya
ཡིད-ཀྱི-ས	mano-bhUmi
ཡིད-ཀྱི-ཡུལ	mano-viSayatva
ཡིད-ཀྱི-སྤྱོད-ཡུལ-གྱི-གཟུགས	mano-gocaraM-rUpam
ཡིད-ཀྱི-ཀུན-ཏུ-རྟོག-པ-རབ-ཏུ-སྡང-བ	praduSTa-manaH-saMkalpa
ཡིད-ཀྱི-དབང-པོ	man^endriya
ཡིད-ཀྱི-ལས-ཡོངས-སུ-དག-པར-བྱ-བ	manas-karma-parizuddhi
ཡིད-ཀྱི-འདུས-ཏེ-རེག-པ	manaH-saMsparza
ཡིད-ཀྱི-འདུས-ཏེ-རེག-པ-ལས-བྱུང-བ	manaH-saMsparza-ja
ཡིད-ཀྱི-རྣམ-པར-ཤེས-པ	mano-vijJAna
ཡིད-ཀྱི-རྣམ-པར-ཤེས-པའི-རྗེས-སུ-འཇུག-པ	mano-vijJAn^anuvRtti
ཡིད-ཀྱི-རྣམ-པར-ཤེས-པ-དང-མཚུངས-པར-ལྡན-པ	mano-vijJAna-samprayukta
ཡིད-ཀྱི-རྒྱུ-བ	manaH-pracAra
ཡིད-ཀྱི-འདུ-བྱེད	manaH-saMskAra
ཡིད-མི-དགའ-བ	daurmanasya. vimanaska
ཡིད-མི-དགའ-བར-འགྱུར-བ	daurmanasya
ཡིད-མི-དགའ-བ-མེད-པ	a-vimanaska
ཡིད-མི-བདེ-བ	daurmanasya
ཡིད-མི-བདེ-སྐྱེས-པ	daurmanasya-jAta
ཡིད-མི-བདེ-བའི-གནས-ལྟ-བུ	daurmanasya-sthAnIya
ཡིད-མི-བདེ-བ-མང-བ	daurmanasya-bahula
ཡིད-མི-བདེ-བ-དང-འཁྲུག-པ	daurmanasy^opAyAsa
ཡིད-མི-སྐྲག-པ	an-uttrasta-mAnasa
ཡིད-མི-ཆེས-པ	a-pratyaya
ཡིད-མི-གནས-པ	a-sthita-mAnasa
ཡིད-མི-སྐྱོ-བ	an-udvigna-mAnasA
ཡིད-མི-གཞུངས-པ	durmedha
ཡིད-མི-རྟུལ-བ	a-dhandha
ཡིད-མི-གཅུགས-པ	a-vizvAsya
ཡིད-བྱུང-བ	saMvega
ཡིཨེད-ལ-རྗོད-པ-ཤིན-ཏུ-ཕྲ-བ	sUkSmataro mano-jalpaH
ཡིཨེད-ལ-བྱེད-པ	manasikAra. manaskAra
ཡིག-འབྲུ-སྣ-ཚོགས	citr^akSara
ཡིན-པས	hi
ཡིན-དུ-ཟིན	/bhU:bhaveyuH
ཡོ-བ	sa-vaGka
ཡོ-བྱད	pariSkAra; pariSkAratA. upakaraNa
ཡོ-ལང-ཆེན-པོ	mah^arambha
ཡོ-བྱད-བ	pariSkAra
ཡོ-བྱད-ལ-དབང	pariSkAra-vazitA
ཡོ-བྱད-ལ-ཆགས-པ	upakaraNa-sneha
ཡོ-བྱད-ཀྱི-གནས	upakaraNa-sthAna
ཡོ-བྱད-ཀྱི-བདེ-བ	upakaraNa-sukha
ཡོ-བྱད-ཀྱི-རྣམ-པ	upakaraNa-jAta
ཡོ-བྱད-རུང-བ-མ-ཡིན-པ	a-kalpikair upakaraNaiH
ཡོ-བྱད-རྒུད-པ	upakaraNa-vipatti
ཡོ-བྱད-བསྙུངས-པ	saMlikhita
ཡོ-བྱད-མེད-པ	upakaraNa-vikala. upakaraNa-vaikalya
ཡོ-བྱད-མེད-པའི-སྡུག-བསྔལ	pariSkAra-vaikalya-duHkha
ཡོ-བྱད-འབྱུང-བ	upakaraNa-saMbhava
ཡོ-བྱད-དུ-གྱུར-པ	upakaraNa-bhUta
ཡོ-བྱད-སྟོབས-པ	upakaraN^opasaMhAraM karoti
ཡོད-ལ	sati
ཡོད-ན	saMvidyamAne
ཡོད-པ	bhAva. sat. sadbhAva. astitA; gata. niviSTa. saM-/vid:saMvidyate. saM-/vid:saMvidyante. saM-/vid:saMvidyamAna. saMniveza. sAMnidhya. a-vaikalya. /as:asti. /vid:vidyate. vidyamAnatA. vidyamAna. upa-/labh:upalabhyante. /bhU:bhavati
ཡོད-ཅིང-མེད-པ-མ-ཡིན-པ	sataH saMvidyamAnAH
ཡོད-ཅིང-བདོག-པ	saMvidyamAna
ཡོད-བཞིན-དུ	saM-/vid:saMvidyamAna
ཡོད-པའི-མཚན-ཉིད-ཀྱི-ཆོས-རྣམས	sal-lakSaNAH dharmAH
ཡོད-པའི-དངོས-པོ	sad-vastu. sadbhAvaM vastu. vidyamAne vastuni
ཡོད-པའི-དངོས-པོ-ལ-སྐུར-པ-འདེབས-པ	sad-vastv-apavAda
ཡོད-པའི-དངོས-པོ-བརྗོད-དུ-མེད-པ	vidyamAne vastuni nirabhilApye
ཡོད-པའི-དངོས-པོ-འཛིན-པའི-ཤེས-པ	vidyamAnasya vastu-grAhakasya jJAnasya
ཡོད-དུ-ཟིན-ཀྱང	sati
ཡོད-པས-རབ-ཏུ-ཕྱེ-བ	bhAva-prabhAvita
ཡོད-པར-འགྱུར-བ	saMvartanIya. /bhU:bhaviSyati
ཡོད-དེ-བདོག-ན	satsu saMvidyamAneSu
ཡོད-པ-ཉིད	vidyamAnatA
ཡོད-པ-མ-ཡིན-པ	na bhAvaH. a-saMvidyamAna. a-sadbhUta
ཡོད-པ-མ-ཡིན-པ-ཉིད	a-saMvidyamAnatA
ཡོད-པ-མ-ཡིན-པ-ལ-སྒྲོ-བཏགས	a-sadbhUta-samAropa
ཡོད-པ-མ-ཡིན-པ-ལ-སྒྲོ-བཏགས-པ	a-sadbhUta-samAropa
ཡོད-པ-མ-ཡིན-པ-ལ-སྒྲོ-འདོགས-པ	a-sadbhUta-samAropa
ཡོད-པ-ཡང-དག-པ	sadbhUta
ཡོགས	pariveSTita. upanibaddha
ཡོལ-བ	atikrAnta
ཡོལ-བར-བྱེད-པ	ati-/nam:atinAmayati
ཡོན-གནས	dakSinIya
ཡོན-ཏན	guNa
ཡོན-གྱི-གནས	dakSiNIya. dakSinIya
ཡོན-པོའི-ལས	vaGka-karman
ཡོན-ཏན-ཅན	guNavat
ཡོན-ཏན-བཤེས-གཉེན	guNa-mitra
ཡོན-ཏན-ཆུང-ངུ	guNaM svalpam
ཡོན-ཏན-བརྗོད-པ	guNa-nirdeza. guN^abhidhAna
ཡོན-ཏན-སྐྱེད-པ	guN^adhAna
ཡོན-ཏན-ལྟར-བཅོས-པ	guNa-pratirUpaka
ཡོན-ཏན-གྱི-གནས	guNa-kSetra
ཡོན-ཏན-གྱི-ཞིང	guNa-kSetra
ཡོན-ཏན-གྱི-ཞིང-བླ-ན-མེད-པ	guNa-kSetra-niruttara
ཡོན-ཏན-ཡང-དག-པ	bhUta-guNa
ཡོན-ཏན-རྗེས-སུ-དྲན-པ	guN^anusmaraNatA
ཡོན-ཏན-དུ-ལྟ-བ	guNa-darzin
ཡོན-ཏན-དང-སྐྱོན	guNa-doSa
ཡོན-ཏན-དང-ཕན-ཡོན	guN^anuzaMsa
ཡོན-ཏན-དང-རྗེས-སུ-བསྔགས-པ	guN^anuzaMsa
ཡོན-ཏན-དང-ལྡན-པ	guNavat. guNa-yukta; guN^anvita
ཡོན-ཏན-ཐམས-ཅད	sarva-guNa
ཡོན-ཏན-ལ-དགའ-བ	guNa-priya
ཡོན-ཏན-ལ-མངོན-པར-ཞེན-པ	guN^abhiniviSTa
ཡོན-ཏན-ཡོད-པ	guNa-saMbhAvanA
ཡོན-གནས-ཡིན-པའི-བློ	dakSinIya-buddhi
ཡོངས-འཛིན	kiMcana
ཡོངས-འདུ-ས-བརྟོལ	pAriyAtraka
ཡོངས-སུ-སྤྱད-པ	paribhoga
ཡོངས-སུ-སྤྱད-ཟིན-པ	paryupayukta
ཡོངས-སུ-སྲེག-པར-བྱེད-པ	paridAhaka
ཡོངས-སུ-གྲུབ-པ	pariniSpatti. pariniSpanna
ཡོངས-སུ-གྲུབ-པ-མེད-པ	a-pariniSpatti
ཡོངས-སུ-གྲུབ-པ-མ-ཡིན-པ	a-pariniSpannatva
ཡོངས-སུ-གྲུབ-པའི-མཚན-ཉིད	pariniSpanna-lakSaNa
ཡོངས-སུ-གྲུབ-པའི-མཚན-ཉིད-ཀྱི-ཆོས	pariniSpanna-lakSaNo dharmaH
ཡོངས-སུ-གཟུང-བ	parigraha
ཡོངས-སུ-གཟུང-བའི-དངོས-པོ	parigraha-vastu
ཡོངས-སུ-གཟུང-བའི-དངོས-པོ-བདུན	sapta parigraha-vastUni
ཡོངས-སུ-གཟུང-ཞིང-བསྲུང-བར-བྱ-བ	parigrah^arakSaNatA
ཡོངས-སུ-བསྒོ-བ	paribhAvanA
ཡོངས-སུ-རྒྱས-པ	pariphulla
ཡོངས-སུ-ལོངས-སྤྱད-པར-བྱ-བ	paribhogika
ཡོངས-སུ-ལོངས-སྤྱོད-པ	paribhoga
ཡོངས-སུ-ལོངས-སྤྱོད-པར-བྱེད-པ	pari-/bhuj:paribhuGkte
ཡོངས-སུ-ལོངས-སྤྱོད-པའི-རྒྱུ-ལས-བྱུང-བའི-ཉེས-དམིགས	paribhog^anvaya AdInavaH
ཡོངས-སུ-ངལ-བ	parizrama. zrAnta
ཡོངས-སུ-ངལ-བ-ལས-གྱུར-པའི-འགྱུར-བ	parizrama-kRtaM vipariNAmam
ཡོངས-སུ-འདྲི-བ	paripRcchana. paripRcchA. /prach:pRcchati
ཡོངས-སུ-འདྲི-པར-བྱེད-པ	pari-/prach:paripRcchati
ཡོངས-སུ-འདྲི-བར-མི-བྱེད-པ	na-paripRcchati
ཡོངས-སུ-འདྲི-བར-བྱེད-པ	paripRcchana. pari-/prach:paripRcchati
ཡོངས-སུ-དཔྱོད-པར-བྱེད-པ	parimImAMsAm Apadyate
ཡོངས-སུ-ཚ-བ	paridAha
ཡོངས-སུ-རྟོག-པ	paritulayat
ཡོངས-སུ-རྟོག-པར-བྱེད-པ	pari-vi-/tark:parivitarkayati
ཡོངས-སུ-རྟོག-པའི-མཚན-མར-འཛིན-པ	parikalpa-mimitta-grAha
ཡོངས-སུ-སྤོང-བ	parivarjana; parityAga. pari-/hR:pariharati. vi-/raj:virajyati
ཡོངས-སུ-སྤོང-བར-བྱེད-པ	parivarjana. pari-/vRj:parivarjayati
ཡོངས-སུ-བཅད-པ	pariccheda
ཡོངས-སུ-ཚང-བ	paripUrNa
ཡོངས-སུ-བསྔོས-པ	pariNata. pariNamana. pariNamita. pariNAmita
ཡོངས-སུ-བསྔོར-འཇུག-པ	pari-/nam:pariNAmayati
ཡོངས-སུ-དུབ-པ	klAnta
ཡོངས-སུ-བརྟས-པར-བྱེད-པ	pari-/puS:paripoSayet
ཡོངས-སུ-ཚོལ-བ	paryeSaNA; parimArgaNa. pary-/AiS:paryeSate. pary-A-/iS:paryeSate. paryeSaka. paryeSaNa. paryeSamANa. paryeSita. paryeSyamAna. anveSin
ཡོངས-སུ-ཚོལ-བར-བྱེད-པ	pary-/AiS:paryeSate. pary-A-/iS:paryeSate. paryeSTi
ཡོངས-སུ-ཚོལ-བའི-རྗེས-སུ-འཇུག-པ	paryeSaNA-anucArin
ཡོངས-སུ-ཚོལ-བའི-རྒྱུ-ལས-བྱུང-བའི-ཉེས-དམིགས	paryeSaN^anvay^adInava
ཡོངས-སུ-ཚོལ-བ-ལས-བྱུང-བ	paryeSaNA-kRta
ཡོངས-སུ-ཚོལ-བ-ལས-བྱུང-བའི-སྡུག-བསྔལ	paryeSaNA-kRtaM duHkham
ཡོངས-སུ-ཚོལ-བ-རྣམ-པ-བཞི	catasRbhiH paryeSaNAbhiH. catasraH paryeSaNAH
ཡོངས-སུ-བསྲུང-བ	paripAlana. paripAlanA
ཡོངས-སུ-དཀྲི-བར-བྱེད-པ	pari-/veST:pariveSTayanti
ཡོངས-སུ-མི-ཉམས-པ	a-parihANIyatva
