འབའ-འཛར	(PH) vajra [arch. spelling]
སྡུག-པ	(PH) attractive; nice; beautiful; beloved; spouse
སེམས	 (PH) mind; aspiration; intention|(PH) mind; aspiration; intention 
སེམས-བསྐྱེད	(PH) generating the mind [of enlightenment] (bodhicitta); (altruistic) mind-generation
སེམས-བྱུང-དགེ-བ-བཅུ-གཅིག	(PH) eleven virtuous mental factors
སེམས-ཅན-ནད-པ	(PH) sentient beings who are ill
སེམས-ཅན-ངན-པ	(PH) bad sentient being
སེམས-དཔའ	(PH) being; male [bodhi]sattva
སེམས-དཔའ-སུམ-བརྩེགས	(PH) three stacked beings [jñānasattva; samayasattva; & samādhisattva]
སེམས-གཡེང	(PH) mental distraction
སེམས-མཆོག	(PH) supreme mind [of enlightenment]; supreme bodhicitta
སེམས-ངན-པ	(PH) bad consciousness
སེམས-རྒོད	(PH) overly excited mind
སེམས-ཤིན-སྦྱངས	(PH) mental pliancy
སེམས-སྐྱོ	(PH) somber
སེམས-ཙམ-གྱི-སྲོལ	(PH) system of Mind-Only
སེམས-ཙམ-རྣམ-བདེན-པའི-ལུགས	(PH) the system of the Mind Only True Aspectarians
སེན	(PH) nail; fingernail; toenail
སེན-མོ	(PH) little piece
སེང-གེ-རྩལ	(PH) Siṃha-vikrama
སེང-གེའི-རྩལ-ཀྱིས-མངོན-པར-བསྒྲག-པའི-སྒྲ	(PH) Siṃha-vikrama
སེང-ཁྲི-པད-མ-ཉི-ཟླ	(PH) lion throne; lotus-; sun-; and moon-[disks]
སེངགེ	(PH) lion
སེངགེ-བཙན-པོ	(PH) [Tang dynasty Chinese Emperor] Taizong
སེར-ཁ	(PH) crack; split; cleft
སེར-ཁ-མེད-པ	(PH) unsplit
སེར-ཤས	(PH) yellowish
སེར-ཤས-ཅུང	(PH) slightly yellowish
སེར-སྐྱ	(PH) ordained and lay people
སེར-སྐྱའི-གཞི	(PH) Kapilavastu
སྒལ-གཞུང	(PH) backbone; spine
སྒང	(PH) period
སྒང-ཤོངས	(PH) ridges and valleys
སྒེག-པ	 (PH) playful; charming|(PH) mesmerizing (one of nine moods of dance) 
སྒོ	(PH) door
སྒོ-བ-ཡབ-ཡུམ	(PH) gate keepers and consorts
སྒོ-དྲུང-དུ	(PH) at/to the gate
སྒོ-གཉེར	(PH) responsibilities
སྒོ-ཁྱིམ	(PH) arched niche
སྒོ-ནས	(PH) from the point of view (of); through; by way of
སྒོམ-བྱུང-གི-མྱོང-བ	(PH) experience that is a state arisen from meditation
སྒོམ-ལམ-བར-ཆད-མེད-ལམ-བཅུ-གཅིག	(PH) the eleven uninterrupted paths of the path of meditation
སྒོམ-ལམ-སྐོར-དགུ	(PH) nine cycles of the path of meditation
སྒོམ-སྤང-ཉོན-མོངས	(PH) the afflictions that are to be abandoned by the path of meditation
སྒོམ-སྤང-ཉོན-མོངས-ཆེན-པོའི-ཆེན-པོ	(PH) the great of the great afflictions that are to be abandoned by the path of meditation
སྒོམ-སྤང-ཉོན-སྒྲིབ	(PH) the afflictive obstructions that are to be abandoned by the path of meditation
སྒོམ-སྤང-ཤེས-སྒྲིབ	(PH) the obstructions to omniscience that are to be abandoned by the path of meditation
སྒོམ-སྤང-ཤེས-སྒྲིབ-ཆེན-པོའི-ཆེན-པོ	(PH) the great of the great obstructions to omniscience that are to be abandoned by the path of meditation
སྒོམ-སྤང-སྐོར-བཅུ-གཅིག	(PH) the eleven cycles of the objects to be abandoned by the path of meditation
སྒྲ	(PH) grammar
སྒྲ-འཇུག-གཞི	(PH) basis of application of terms
སྒྲ-ཆེན-པོ	(PH) Mahānāda; Mahārāva
སྒྲ-དོན	(PH) object [indicated by] words
སྒྲ-གཞི	(PH) referent basis; basis of the term
སྒྲ-ཇི-བཞིན-དུ	(PH) literally
སྒྲ-མདོ	(PH) grammar treatise
སྒྲ-མི-རྟག-པ-ཆོས-ཅན	(PH) the subject — sound's [being] impermanent
སྒྲ-མི-སྙན	(PH) unpleasant sound
སྒྲ-མི-སྙན-པའི-མི	(PH) people of Uttarakuru (northern continent)
སྒྲས-བརྗོད-རིགས	(PH) terminology
སྒྲིབ-གྱོགས	(PH) [smoke-] screen
སྒྲིབ-པའི-མུན-སྟུག	(PH) dense darkness of obscuration
སྒྲིབས-པ-ལྔ	(PH) five obstructions
སྒྲིག	(PH) alignment; accord
སྒྲིམ-སྒྲིམ-པོ	(PH) fixed tight
སྒྲུབ-པ-གཉིས	(PH) the two achievements
སྒྲུབ-པའི-ནུས-པ	(PH) capacity for achieving
སྒྲུབ-པའི-ཡན-ལག-མི-བརྗོད-པ	(PH) stating what is not the element of a means of proof; stating what is not the factor of proof; stating what does not have proof as the factor; not stating the factor of proof; not stating the element of a means of proof
སྒྲུབ-ཐབས	(PH) means of achievement
སྒྲུང-པ	(PH) story teller
སྒྲུང-ཡིག	(PH) folk tale; folkstory
སྒྱོགས-རྡོ	(PH) boulder
སྒྱུ-འཕྲུལ-དྲྭ-བ	(PH) net of illusory emanations
སྒྱུ-འཕྲུལ-གར	(PH) illusory drama; magical drama
སྒྱུ-འཕྲུལ-རྭ-བའི-གར	(PH) the web of magical display
སྒྱུ-མ	(PH) illusory; magical; magician's illusion
སྒྱུ-མ-བྱེད-པ-མཁས-པ	(PH) a master magician
སྒྱུ-མ-བྱེད-པ-ཉེ-གནས	(PH) an apprentice magician
སྒྱུ-མའི-ནོར	(PH) illusory wealth
སྒྱུ-མའི-ཏིང-འཛིན	(PH) samādhi of illusion; samādhi [that perceives all as an] illusion
སྒྱུ-རྩལ-འཇིག-རྟེན-པ	(PH) the [sixty-four] worldy arts
ཤ	(PH) body
ཤ-དཀར	(PH) light flesh colour
ཤ-དཀར-གཡའ-རྩི	(PH) flesh-colored rust varnish
ཤཱ-ར-དྭ-ཏིའི-བུ	(PH) Śāriputra
ཤཱ-ར-དྭཏིའི-བུ	(PH) Śāriputra
ཤ-རྡོག	(PH) chunk of flesh
ཤཱ-རིའི-སྲས-པོ	(PH) Śāriputra
ཤ-རློན	(PH) fresh meat
ཤ-སྦྲང	(PH) biting insects
ཤ-སྟག	(PH) only; simply; merely
ཤ-སྟག-དུ	(PH) only; simply; merely
ཤ-ཐང	(PH) exhaustion
ཤ-ཚུགས-ཅན	(PH) fleshly appearance
ཤད	(PH) [punctuation mark]
ཤད-མ	(PH) comb
ཤཱཀྱ	(PH) Śākya
ཤཱཀྱ-མུ-ནེ	(PH) Śākyamuni
ཤཱཀྱའི-བཙུན-པ	(PH) Buddhist monk; (lit.) venerable one in the lineage of Śākyamuni
ཤལ-མ-རི	(PH) Mountain of Iron Weapons [Hell]
ཤན-ཅིག-བྱེད-རྐྱེན	(PH) cooperative condition
ཤན-ཁ-བ	(PH) Shankawa; [person from Shanka district]
ཤངས-ཤངས	(PH) bird-men
ཤངས-ཚ	(PH) conch shell
ཤར-བ	(PH) dawn; appearance
ཤར-ཆོས	(PH) Eastern Dharma [Successor to the Throne of Ganden]
ཤར-གྱི-སུམ-སྐོར-མ	(PH) ″triple-circle″ eastern [front] channel at the heart
ཤར-ངོས	(PH) eastern side; eastern face
ཤེལ-གྱི-ས-གཞི	(PH) ground of inlaid crystal
ཤེལ-ཕྲེང	(PH) crystal rosary
ཤེས-ཉོན-སྒྲིབ-པ	(PH) afflictive obstructions and obstructions to omniscience
ཤེས-པ	(PH) knowledge
ཤེས-པ-བརྒྱད	(PH) the eight knowledges [of the path of seeing]
ཤེས-པ-གློ-བུར-པ	(PH) an adventitious consciousness
ཤེས-རབ-དབང-བསྐུར	(PH) wisdom initiation
ཤེས-རབ-མཚོན	(PH) weapon of wisdom
ཤེས-རབ-ཕ-རོལ-ཕྱིན-སྦྱོར	(PH) application of the perfection of wisdom
ཤེས-སྒྲིབ-ལྷན-སྐྱེས-བརྒྱ-དང-བརྒྱད	(PH) the one hundred and eight innate obstructions to omniscience
ཤེས-སྒྲིབ-ལྷན-སྐྱེས-སུམ-ཅུ-རྩ-དྲུག	(PH) the thirty-six innate obstructions to omniscience
ཤེས-སྒྲིབ-རགས-པ	(PH) coarse obstructions to omniscience
ཤིག	(PH) a; an; louse; lice
ཤིན-ཏུ-བབ-ཅོལ	(PH) very confused
ཤིན-ཏུ-བདེན	(PH) very true
ཤིན-ཏུ-བྱིངས	(PH) majority
ཤིན-ཏུ-ཆེ	(PH) most; exceptional
ཤིན-ཏུ-དང-བ	(PH) very clear; utterly pure
ཤིན-ཏུ-རྩིངས-པ	(PH) very rough
ཤིང	(PH) wood; tree; stick
ཤིང-ཁུན	(PH) Liangzhou (涼州)
ཤིང-ལྗོན	(PH) tree
ཤིང-རྟ-ཆེན-པོ	(PH) Mahāratha [p.n.]
ཤིང-རྟའི-ལམ-སྲོལ	(PH) way of a charioteer
ཤིང-རྟའི-སྲོལ	(PH) way of a charioteer
ཤིང-རྟའི-སྲོལ-འབྱེད	(PH) opener of the way of a charioteer
ཤིང-སྲིན	(PH) woodworm
ཤིང-ཐོག-ཨ-མྲ	(PH) mango fruit
ཤློ-ཀ	(PH) stanza
ཤོག-གྱར	(PH) page fragment
ཤྲཱི-པཱ-དུ-ཀ	(PH) Śrīpāduka (enormous footprint of the Buddha in Śrī Lanka)
ཤུགས	(PH) implicit(ly)
ཤུགས-འབྱུང-རང-རིས-གཡས-སུ-འཁྱིལ-བའི-དུང	(PH) self-arisen clockwise spiraling conch shell
ཤུགས-དྲག	(PH) strong; great strength; intense
ཤུལ	(PH) ruins; remains
ཤུར-པ	(PH) juniper [incense]
ཤུར-ཤིང	(PH) juniper tree
སི	(PH) "si" [a type of incense]
སི-ལ	(PH) "sila" [a type of incense]
སིང-ག-ལ-པ	(PH) Singhalese [person]
སྐ-བ	(PH) astringent
སྐབས-གསུམ	 (PH) three times|(PH) three realms 
སྐད-ཅིག-བར	(PH) momentarily
སྐད-ཅིག-དང-པོ	(PH) first moment
སྐད-ཅིག-གཅིག-གིས	(PH) instantaneously
སྐད-ཅིག-གཉིས-པ	(PH) the second moment
སྐད-ཅིག-མ-གཅིག-པོ	(PH) first moment
སྐད-ཅིག-མ-གཅིག-པོ-དེ-ཉིད	(PH) the very first moment
སྐད-རིགས-ཆེན-པོ-བཞི	(PH) the four major languages (Sanskrit; Prakrit; Apabhraṃśa; Pisachi)
སྐལ	(PH) suitable; worthy
སྐལ-བཟང	(PH) good fortune; auspicious age
སྐལ-པ-བཟང-པོ	(PH) auspicious age
སྐལ-པ-རབ-ཏུ-གྱུར-པ	(PH) most fortunate
སྐལ-རྫོངས	(PH) dowry
སྐལ-ཚིགས	(PH) backbone
སྐར-མ	(PH) star
སྐར-མའི-ཚོགས	(PH) collection of stars; host of stars
སྐེ-ལྦ-བ	(PH) neck goiter
སྐོར-བཅུ-གཅིག	(PH) eleven cycles
སྐོར-དགུ	(PH) nine cycles
སྐྲ-ཤད	(PH) strand of hair; comb
སྐྲ-སྣུམ	(PH) hair oil
སྐུ	(PH) lifetime
སྐུ-བླུགས	(PH) metal image
སྐུ-བླུགས-མ	(PH) metal image
སྐུ-སྐྱེ	(PH) incarnation
སྐུ-ཚེ	(PH) life; life-span
སྐུལ-བྱེད-མ	(PH) Cundavajrī
སྐྱ-བོ	(PH) piece; morsel
སྐྱ-ནར-གྱི-བུ	(PH) Pātalīputra
སྐྱ-སེར-གཉིས	(PH) ordained and lay people
སྐྱབས-འགྲོ	(PH) going for refuge
སྐྱབས-འགྲོའི-སྡོམ-པ	(PH) refuge vows
སྐྱབས-སེང	(PH) Pāṇḍu [father of the five Pandavas]
སྐྱབས-སུ-འགྲོ-བ	(PH) going for refuge
སྐྱབས-སུ-འགྲོ-བའི-ཆོ-ག	(PH) ritual for taking refuge
སྐྱེ-འཕྲེང	(PH) garland of lives; sequence of lives; successive incarnations
སྐྱེ-བ-དགུ	(PH) nine-fold birth [realms]; [all those of the] nine-fold birth [realms]; (many or all) beings
སྐྱེ-བའི-ཕྲེང-བ	(PH) garland of lives; sequence of lives; successive incarnations
སྐྱེ-བོ-རྨོངས-པ	(PH) confused being
སྐྱེ-དགུ	(PH) nine-fold birth [realms]; [all those of the] nine-fold birth [realms]; (many or all) beings
སྐྱེ-དགུའི-བདག-པོ	(PH) Prajapati [n. of the fourth constellation]
སྐྱེ-མ	(PH) that which is produced
སྐྱེ-མཆེད	(PH) sense-sphere; source
སྐྱེ-མི-རུང-གི-ཆོས-ཅན	(PH) having the quality of not being suitable to be produced again
སྐྱེ-པོ-བདག-འཛིན-ཅན	(PH) Proponent of Permanent Existence
སྐྱེ-རྨོངས	(PH) confused being
སྐྱེ-ཤི-བར-དོ	(PH) birth; death; and the intermediate state
སྐྱེ-ཐེབས	(PH) section of generation
སྐྱེ-ཐེབས-གཉིས	(PH) two sections of generation
སྐྱེད-ཚལ	(PH) grove; garden
སྐྱེམ-ཙམ-རེ	(PH) just briefly
སྐྱེན-བུ	(PH) reason
སྐྱེས	(PH) present; gift
སྐྱེས-འཕྲེང	(PH) garland of lives; sequence of lives; successive incarnations
སྐྱེས-བུ	(PH) The Person
སྐྱེས-བུ-ཆུང-བ-ཁྱད-པར-ཅན	(PH) special being of small capacity
སྐྱེས-བུ-གསུམ-ཀ	(PH) beings of the three capacities
སྐྱེས-བུ-རྨོངས-པ	(PH) confused being
སྐྱེས-པ-ཉིད	(PH) men themselves
སྐྱེས-ཕྲན	(PH) boy
སྐྱིད-པ	(PH) happy; joyful
སྐྱོ-བ	(PH) disgust; disregard for
སྐྱོ-ངོགས	(PH) quarrel
སྐྱོན	(PH) fault; mistake
སྐྱོན-མི-བརྗོད-པ	(PH) non-fault-statement [(1) not pointing ou the fault; or (2) pointing out the non-fault]
སླ-ང	(PH) frying pan
སླད-བཞིན	(PH) later; future
སླད-བཞིན-དུ	(PH) later; in the future
སླད-ཀྱིས	(PH) subsequently; later
སླང-ང	(PH) large pot
སླར	(PH) (arch.) outside; back
སླར-ཡང	(PH) again; further; furthermore
སླས	(PH) attendent; retinue
སློབ-བཞིན-པ	(PH) one who strives
སློབ-དཔོན-དབང-བསྐུར	(PH) preceptor initiation
སློབ-དཔོན-ཤན-ཏི-པ	(PH) Acarya Śantipa
སློབ-དཔོན-ཞི-བ-འཚོ	(PH) the master; Śāntarakṣita
སློབ-ལམ	(PH) paths of learning
སློབ-ལྡན	(PH) intelligent; learned
སློད-བྱེད	(PH) pollution; polluting agent
སླུ-བ-མེད-པ	(PH) infallible
སླུ-མེད	(PH) infallible
སླུ-མེད-མཆོག-གསུམ	(PH) infallible Three Jewels
སྨག-འཐུག-པོ	(PH) thick darkness
སྨན	(PH) medicine
སྨན-རྟ	(PH) medium of medicinal consumption
སྨན-རྩེ	(PH) [Chinese] barbarians
སྨན-རྩི	(PH) medical elixir
སྨན-རྩིས-ཁང	(PH) Astro-Medical College
སྨེ-ཤ-ཅན	(PH) Followers of Durgā
སྨོན-ལམ	(PH) aspirational prayers; wishes; prayer-wishes; prayer
སྨོན-ལམ-ཆེན-པོ-བཅུ	(PH) ten great aspirational prayers [of a first ground bodhisattva]
སྨོན-ལམ-གྱི-སྟོབས-ཅན	(PH) having the power of wishing
སྨོན-ལམ-ཁྱད-པར-བློ-གྲོས	(PH) Praṇidhāna-vaiśeṣika-mati [pn. of a bodhisattva-mahāsattva]
སྨྲ-བ-མཆོག	(PH) the best of propounders
སྨྲ-བ-པོ	(PH) speaker
སྨྱིག-མ-མཁན	(PH) founder of a lineage
སྨྱིག-ཚལ	(PH) reed
སྨྱུག-པོ	(PH) brown
སྣ	(PH) various; varieties
སྣ-བའི-སྒོར-རྒྱུ-བའི-རླུང	(PH) wind that moves through the door of the ears
སྣ-ལ	(PH) at first
སྣ-ལྔ	(PH) five various; variegated five-[colored]
སྣ-མའི-མེ-ཏོག	(PH) jasmine flower
སྣ-ནམ-པ	(PH) Na-nam-pa [Dor-je-du-jom (sna nam rdo rje bdud 'joms); p.n. of one of Tri-song-de-tsen's ministers]
སྣ-རྡུམ	(PH) maimed nose; cut-off nose
སྣ-སྒྲ	(PH) nasal [sound]
སྣའི-བུ-ག	(PH) nostril
སྣའི-སྒོར-རྒྱུ-བའི-རླུང	(PH) wind that moves through the door of the nose
སྣམ-སྦྱར	(PH) [monk's] upper robe
སྣང	(PH) appearance
སྣང-བ	(PH) luminosity
སྣང-བ-མཆེད-པའི-ཏིང-ངེ-འཛིན	(PH) meditative stabilization of the increase of appearance
སྣང-ངོར-ཤེས-བྱ	(PH) objects of knowledge for the appearance factor
སྣང-ཕྱོགས-ཀྱི-ཆོས	(PH) phenomena of the appearing class
སྣང-ཤས	(PH) emphasis on the appearances
སྔ	(PH) half
སྔ-དྲོའི-དུས	(PH) morning
སྔ-གྲོ-གཅིག	(PH) one half day's journey
སྔ-ན	(PH) previously; formerly
སྔ-ཕྱི	(PH) previous and later; former and later
སྔ-ཕྱི-ཀུན	(PH) all former and later
སྔ-རོལ	(PH) earlier; prior; before
སྔགས-མཐུ-ཉིད	(PH) the power of mantra
སྔོ	(PH) blue
སྔོ-འཛིན-དབང-མངོན	(PH) sense direct perception apprehending blue
སྔོ-སེར	(PH) blue and yellow
སྔོ-སེར-དཀར-དམར	(PH) blue; yellow; white; and red
སྔོ-སེར-དམར-དཀར	(PH) blue; yellow; red; and white
སྔོ-སི	(PH) light blue
སྔོན-ཆད	(PH) in the past
སྔོན-གནས-རྗེས-དྲན-གྱི-མངོན-ཤེས	(PH) superknowledge of recollecting former lives
སྔོན-གནས-རྗེས-དྲན-གྱི-ཤེས-པ	(PH) knowledge of former lives
སྔོན-གྱི-གནས-རྗེས-སུ-དྲན-པ-ཤེས-པ	(PH) superknowledge of recollecting former lives
སྔོན-གྱི-གནས-རྗེས-སུ-དྲན-པའི-མངོན-ཤེས	(PH) superknowledge of recollects former lives
སྔོན-གྱི-སྲོལ	(PH) ancient tradition
སྔོན-ནས	(PH) previously; prior
སྣོད	(PH) container-organ
སྣོད-བཅུད	(PH) environment and [its] inhabitants
སྣུམ	(PH) oil
སྙམ	(PH) [closing quotation marker for a thought]; thinking
སྙན-འཇེབས	(PH) sweet-sounding and euphonous
སྙན-དངགས	(PH) poetry
སྙན-དངགས-ཀྱི-རིག-བྱེད	(PH) Samaveda
སྙན-སྒྲ	(PH) pleasant sound
སྙེད-ཅིག	(PH) just how much
སྙིགས-མ	(PH) degeneration; Degenerate [Era]
སྙིགས-མ-ལྔ	(PH) five degeneration
སྙིམ-པ-གང	(PH) a cupped hands' worth [of something]
སྙིང-བརྩེར-ལྡན	(PH) compassionate
སྙིང-གའི-རྩ-འདབ	(PH) channel-petals of the heart [cakra]
སྙིང-གའི-རྩ-འདབ-བརྒྱད	(PH) eight channel-petals of the heart [cakra]
སྙིང-གའི-རྩ-འདབ-བརྒྱད-ཀྱི-རྒྱུན	(PH) continuation of the eight channel-petals of the heart [cakra]
སྙིང-གི-ཟུངས	(PH) strength of heart
སྙིང-ཁ	(PH) heart
སྙིང-པོ	(PH) heart-essence; point
སྙིང-སྟོབས	 (PH) courageousness; fortitude; (lit.) power of heart|(PH) courageousness; fortitude; (lit.) power of heart 
སྙིང-སྟོབས-ཅན	(PH) lightness dominated
སྙིང-ཐོབས-ཅན	(PH) lightness
སྙིང-ཐོབས-ཅན-གྱི-ང-རྒྱལ	(PH) lightness dominated I-principle
སྙོམས-པར-འཇུག-པ-དྲུག-པ	(PH) the six heretical sages
སོ	(PH) point; tooth
སོ-བཙུགས	(PH) sentry
སོ-དྲང	(PH) fangs
སོ-སྐྱེའི-ལམ	(PH) paths of common beings
སོ-སོ	(PH) respective
སོ-སོ-ནས	(PH) respectively; mutually
སོ-སོ-ཡང-དག-རིག-བཞི	(PH) the four individual correct knowledges
སོ-སོ-ཡང-དག-རིག-པ	(PH) individual correct knowledge
སོ-སོར-འབྱེད-པ	(PH) differentiation
སོག	(PH) straw
སོག-བྱིལ	(PH) sok-jil ear-ring [long ear-ring that can only be worn by sons of aristocracy]
སོག-མ	(PH) straw
སོག-རུལ	(PH) rotten straw
སོགས	(PH) etc.; and so forth
སོར-བསམ	(PH) individual withdrawal and concentration
སོར-མོའི-ཕྲེང-བ-ཅན	(PH) Aṅgulimāla
སོར-མོའི-ཚིགས	(PH) finger digit; finger joint; knuckle
སོར-ཚིགས	(PH) finger digit; finger joint; knuckle
སྤ-གྲོ-མོན	(PH) Pa-tro [in the district of] Mön [near Bhutan]
སྤང-བླང-གི-འཇུག-ལྡོག	(PH) turning away from that which is to be abandoned and engaging in that which is to be adopted
སྤང-བྱ-གཅིག-ཆར-བ	(PH) simultaneous objects of abandonment
སྤང-བྱ-སྒོམ-སྤང-རྟོག-པ	(PH) the conceptions which are objects of abandonment to be abandoned by the path of meditation 
སྤང-བྱ-སྤོང-ཚུལ	(PH) the mode of abandoning the objects of abandonment
སྤང-བྱའི-གཙོ-བོ	(PH) main object of abandonment
སྤང-གཉེན-གྱི-འདོད-ཚུལ	(PH) mode of assertion of [objects of] abandonment and antidotes
སྤང-ཀོང-ཕྱག-བརྒྱ-པ	(PH) "One Hundred Homages for Mending Transgressions" (D 267)
སྤངས-བྱའི-གཙོ-བོ	(PH) main object of abandonment
སྤར-གྱི-བླ-མ	(PH) teacher's teachers
སྤར-ཁ-བརྒྱད	(PH) eight trigrams
སྤོ	(PH) vicinity; area; location
སྤོ-ཐོ	(PH) earthen mound; grassy knoll
སྤོང-ཚུལ	(PH) mode of abandonment
སྤོས	(PH) incense
སྤྲང-མོ	(PH) lowly (female) mendicant
སྤྲིན-བཞིན	(PH) nimbly; like a cloud
སྤྲིན-མེད	(PH) "Cloudless" [n. fourth concentration in the Form Realm]
སྤྲིན-ཕུང	(PH) mass of clouds
སྤྲིན-རུམ	(PH) dark cloud
སྤྲིས-མ	(PH) cream; congealed fat
སྤྲོ-བ	(PH) happiness
སྤྲུལ	(PH) snake
སྤྲུལ-པ	(PH) emanation
སྤུ-ཤད-རྩེ-མོ	(PH) tip of one hair
སྤུན	(PH) weaving thread (weft; abbr. of _spun thag_)
སྤུན-ཟླ	(PH) elders
སྤྱད-བྱ	(PH) objects of use
སྤྱན-ལྡན	(PH) [Dharma-] sight; endowed with the eye [of the Dharma]
སྤྱན-རས-གཟིགས-ཀྱི-དབང-པོ	(PH) Avalokiteśvara
སྤྱན-སྔ-རུ	(PH) in the presence (of)
སྤྱང-དུག-པ	(PH) wolfsbane
སྤྱེ	(PH) distinctive feature
སྤྱི	(PH) General [Principle]
སྤྱི-བརྟོལ	(PH) shameless
སྤྱི-བརྟོལ-ཅན	(PH) vanity; vain; shameless
སྤྱི-གཙོ-བོ	(PH) general principal [Sāmkhya]
སྤྱི-མཐུན	(PH) general welfare
སྤྱི-ཚོགས	 (PH) society|(PH) [Tibetan] General Assembly 
སྤྱིར-རང-ལས-ངེས-ཤིང-ཁྱད-པར-གཞན-ལས-ངེས-པ	(PH) [a valid cognition] that in general induces ascertainment from itself and in particular induces ascertainment from another
སྤྱོ-བྱ	(PH) victim; one who is abused
སྤྱོད-ལམ	(PH) path of activity; observances
སྤྱོད-ལམ-བཞི	(PH) four observances
སྤྱོད-ལམ-རྣམ-པ-བཞི	(PH) four types of observances
སྤྱོད-མཆོག	(PH) supreme deeds
སྲན	(PH) pea; bean
སྲང-མདའ	(PH) scale; balance
སྲེད-ལེན	(PH) attachment and grasping
སྲེད-པ-ལེན-པ	(PH) attachment and grasping
སྲིད	(PH) length
སྲིད-དང-ཞི-བ	(PH) mundane existence and pacification
སྲིད-པ	(PH) equivalence [one of the eleven pramāṇas attributed to Caraka]; length; extension; government
སྲིད-པ-དང-ཞི-བ	(PH) mundane existence and pacification
སྲིད-པ-ཐ-མའི-ཚེ	(PH) last lifetime in cyclic existence
སྲིད-པའི-ཟུག	(PH) pains of existence
སྲིད-རྩེའི-ས	(PH) level of the peak of cyclic existence
སྲིད-ཞི	(PH) mundane existence and pacification; [syn. for] samsara and nirvāṇa
སྲིན-གྱི-ཁ-ཆུ	(PH) silken threads; insect's cocoon
སྲིན-མོ	(PH) rakṣasī; siren; ogress
སྲོག	(PH) vitality; vital essence
སྲོག-འཛིན-གྱི-རླུང-མི-ཤིགས-པ	(PH) indestructible life-bearing wind
སྲོལ	(PH) system; way; custom
སྲུང-བ-པ	(PH) Āvantakas [one of the eighteen Vaibhāṣika Schools]
སྟག-རས	(PH) tiger skin
སྟག-རི	(PH) Tiger Mountain
སྟན-གཅིག	(PH) one session; single session
སྟེང-ཆ	(PH) upper part
སྟེང-དུ	(PH) in addition (to); in relation (to); in terms (of)
སྟེང-ཁང	(PH) upper floor
སྟེང-ཁར	(PH) on top (of)
སྟེང-ནས	(PH) on the basis
སྟེང-ཕྱོགས	(PH) zenith
སྟེང-སྒོ	(PH) upper gate; upper door
སྟི-གནས	(PH) dwelling; a place to stay
སྟོབས	(PH) power; force; strength
སྟོབས-ཆུང	(PH) weak; weakling
སྟོད	(PH) upper [part]; first [part]
སྟོད-ལུང-པ	(PH) Tölung (Valley) [a district near Lhasa]
སྟོན	 (PH) autumn|(PH) autumn 
སྟོན-གནམ	(PH) autumn sky
སྟོན-པ-པོ	(PH) teacher
སྟོན-ཟླ-འབྲིང-པོ	(PH) second month of the fall rainy season (aśvayuja / aśvina)
སྟོན-ཟླ-ར-བ	(PH) first month of the fall rainy season (bhādrapada / bhādra)
སྟོན-ཟླ-ཐ-ཆུང	(PH) third month of the fall rainy season (kārttika)
སྟོང	(PH) thousand
སྟོང-གསུམ-འབུམ-ཕྲག	(PH) one hundred thousand three-thousand [world systems]
སྟོང-གསུམ-འབུམ-ཕྲག-བཅུ	(PH) one million three-thousand [world systems] (lit. ten hundred thousand three-thousand [world systems])
སྟོང-གཞི	(PH) basis [upon which] emptiness [is predicated]
སྟོང-ཁུན	(PH) eastern emperor
སྟོང-རྩ-གཅིག	(PH) one thousand and one
སུག-ཐུང	(PH) Suk-tung ("short-legged") [a style of script]
སུམ-གཉིས	(PH) two of the three
སུམ-མདོ	(PH) three-fold intersection
སུན-འབྱིན-བྱེད-ཕྱོགས	(PH) refutative thesis
ཏཱ-ཤི་	(PH) [Chinese] monk
ཐ-དད-པའི-འདུས-བྱས	(PH) different compositional phenomena
ཐ-ན	(PH) even; even so much as
ཐ-ཤལ-བ	(PH) worst; mundane; inferior
ཐ-ཤལ-པ	(PH) mundane; inferior
ཐ-སྙད	 (PH) [verbal] designation; verbal convention; conventionalities; conventional [phenomena]|(PH) [verbal] designation; verbal convention; conventionalities; conventional [phenomena] 
ཐ-སྙད-འཇུག-ཚུལ	(PH) usages of the verbal designation
ཐ-སྙད-དཔྱོད-པའི-རིགས-པ	(PH) reasoning that analyses conventionalities
ཐ-སྙད-ཀྱི-གདགས-གཞི	(PH) basis of designation of verbal conventions
ཐ-སྙད-པ	(PH) conventionality
ཐ-སྙད-རིག-པའི-བཏགས-མིང	(PH) grammatical name; Sanskritic name as a grammarian [on the completion of the course of study of the three grammatical systems the successful student was given a grammatical name under which he wrote any works dealing with philological studies; literature; mathematics and astronomy; and medicine.]
ཐབ-བེ-ཐིབ-བེ	(PH) dizzy
ཐབས	(PH) group; community
ཐབས-ཉིད	(PH) methodology
ཐད	(PH) company
ཐག-མི-རིང	(PH) not far
ཐལ-འགྱུར-པ	(PH) Prāsaṅgika
ཐལ-བ	(PH) dust; ash
ཐམ-མ	(PH) last
ཐམས-ཅད-མཁྱེན	(PH) all-knowing; omniscient
ཐམས-ཅད-མཁྱེན-གཟིགས	(PH) all-knowing and all-seeing
ཐམས-ཅད-མཁྱེན-ཉིད་	(PH) all-knowledge; omniscience
ཐམས-ཅད-སྟོང-པ	 (PH) all-empty; emptiness of all [things]|(PH) all-empty; emptiness of all [things] 
ཐང	(PH) instant; moment; plain; field
ཐང-འགའ	(PH) few moments
ཐར-པའི-གོ-འཕང	(PH) the state of liberation
