སྐུ-མ-རྙོངས-པ	Fifty-seventh of the eighty minor marks.
བདུད-ཀྱི-རིས	 The deities ruled over by Māra. This can also mean the devas in his paradise, which is sometimes identified with the Paranirmitavaśavartin, the highest paradise in the “realm of desire,” which incudes all ordinary samsaric existences.|The deities ruled over by Māra. This can also mean the devas in his paradise, which is sometimes identified with the Paranirmitavaśavartin, the highest paradise in the “realm of desire,” which incudes all ordinary samsaric existences. 
སྨིག-རྒྱུ	 Universe of the Buddha Duṣprasāhā.|Universe of the Buddha Duṣprasāhā. 
མཱར-ཀཎ-ཌ	A famous Puranic rishi of India, who features particularly in the Shaivite literature.
མརྒ-ཏི	 Galedupa piscidia.|Galedupa piscidia. 
བྷལླ-ཏ-ཀ	Semecarpus anacardium.
མར-པ-ཆོས-ཀྱི-བློ-གྲོས	(1012 - 1097) Tibetan translator and lay practitioner from Lhodrak, traveled several times to Nepal and India to receive tantric Buddhist teachings, notably from Nāropa and Maitripā, and in Tibet established an important set of lineages through his “four pillar” disciples Milarepa, Ngoktön Chöku Dorje, Tshurtön Wangki Dorje, and Metön Tshönpo.\nMarpa
ཀོ-ཀི-ལཱ-ཀྱ	Hygrophila auriculata.
རྨད-དུ-བྱུང-བའི-སྡེ	Tenth of the twelve branches of the scriptures.
མ-ཥ	 A unit of weight equal to 17 grains troy.|A unit of weight equal to 17 grains troy. 
མ-Sཨ	 Phaseolus radiatus.| Phaseolus radiatus. |Phaseolus radiatus. 
མ-ཤ-ཀ	 See http://read.84000.co/translation/UT22084-001-001.html#UT22084-001-001-1095.\nmeasures|See http://read.84000.co/translation/UT22084-001-001.html#UT22084-001-001-1095.\nmeasures 
དྲུག-ནམ	 A unit of weight equal to 26 grains of rice.|A unit of weight equal to 26 grains of rice. 
ཀུན-ཏུ-རྒྱུ-གནག-ལྷས-ཀྱི-བུ	 One of the six outsider teachers.|One of the six outsider teachers. 
གཞན-འཕྲུལ-དབང-བྱེད	 Sixth god realm of desire, meaning “mastery over transformations.”| Sixth god realm of desire, meaning “mastery over transformations.” | The highest paradise in the desire realm. |The highest of the six levels of gods of the Desire Realm. 
པོག	A resin from the mastic tree (Pistaci lentsicus), mainly cultivated from Greece to Persia, but was used in ancient India. Sanskrit dictionaries have conflated this with frankincense.
དཔེ-མེད-པ	The twelfth bodhisattva level.
རིལ-པོར-འཛིན-པ	The sense, which ordinarily binds us, of the “objective” solidity and physical reality of things.
གནས-ལེན-གྱི-བུ	 A learned brahmin and author of “Māṭhara’s Treatise.” He was also the grandfather of Upatiṣya, that is Śāriputra.|A learned brahmin and author of “Māṭhara’s Treatise.” He was also the grandfather of Upatiṣya, that is Śāriputra. 
བློ-མ	 One of the four retinue goddesses of Mahāsarasvatī.|One of the four retinue goddesses of Mahāsarasvatī. 
བློ-གྲོས	 A prince in the distant past.| A prince in the distant past. | A prince who was a former life of Śākyamuni. |A prince who was a former life of Śākyamuni. 
བུ-མེད	 Also called Mātarā and Mātṛkā. Normally seven or eight in number, these goddesses are considered dangerous, but have a more positive role in the tantra tradition.| Also called Mātarā and Mātṛkā. Normally seven or eight in number, these goddesses are considered dangerous, but have a more positive role in the tantra tradition. |Also called Mātarā and Mātṛkā. Normally seven or eight in number, these goddesses are considered dangerous, but have a more positive role in the tantra tradition. 
མ-བསད-པ	One class of person barred from joining the renunciate order.
མ-མོ	 An early name for the abhidharmapiṭaka and also a germinal list or index of topics.\nSee also http://read.84000.co/translation/UT22084-001-001.html#UT22084-001-001-1192.| An early name for the abhidharmapiṭaka and also a germinal list or index of topics.\nSee also http://read.84000.co/translation/UT22084-001-001.html#UT22084-001-001-1192. |An early name for the abhidharmapiṭaka and also a germinal list or index of topics.\nSee also http://read.84000.co/translation/UT22084-001-001.html#UT22084-001-001-1192. 
སྐྱོན-མ-མཆིས-པ	While “immaturity” (āma, {skyon}) suggests rawness—something that is uncooked, unrefined, and flawed— here the term “maturity” implies certitude, refinement, cooking, softening, and flawlessness.
སྐྱོན-མེད	While “immaturity” (āma, {skyon}) suggests rawness—something that is uncooked, unrefined, and flawed— here the term “maturity” implies certitude, refinement, cooking, softening, and flawlessness.
མཽད-གལ-རིགས	 “Of the family of Mudgala.” Alternative name for Maudgalyāyana (descendant of Mudgala). One of the two principal pupils of the Buddha.|“Of the family of Mudgala.” Alternative name for Maudgalyāyana (descendant of Mudgala). One of the two principal pupils of the Buddha. 
མཽདགལ-གྱི-བུ	 One of the two principal pupils of the Buddha, renowned for miraculous powers. He was assassinated during the Buddha’s lifetime. His family clan was descended from Mudgala, hence his name Maudgalyāyana, “the son of Mudgala’s descendants.” See also under Kolita, his other name.|One of the two principal pupils of the Buddha, renowned for miraculous powers. He was assassinated during the Buddha’s lifetime. His family clan was descended from Mudgala, hence his name Maudgalyāyana, “the son of Mudgala’s descendants.” See also under Kolita, his other name. 
ལྷ-མོ-སྒྱུ-འཕྲུལ	 Buddha Śākyamuni’s mother. | Buddha’s mother.| Buddha’s mother. |Buddha Śākyamuni’s mother. 
གཞི-མེད-པའི-དོན	meaningless
བསྡུ-བའི-དངོས-པོ	 Four ways in which a bodhisattva forms a group of people united by the common aim of practicing the Dharma: giving (dāna); pleasant speech (priyavaditā); accomplishment of the aims (of others) by teaching Dharma (arthacaryā); and consistency of behavior with the teaching (samānārthatā).|These are traditionally listed as four: generosity, kind talk, meaningful actions, and practicing what one preaches. 
ཡིད-གཞུངས-མ	 One of the four retinue goddesses of Mahāsarasvatī.|One of the four retinue goddesses of Mahāsarasvatī. 
འབྲས-བུའི-སྨན	An acceptable form of medicine for a monk, as identified in the Four Resources section of the ordination ritual.
ལོ-མའི-སྨན	An acceptable form of medicine for a monk, as identified in the Four Resources section of the ordination ritual.
རྩ-བའི-སྨན	An acceptable form of medicine for a monk, as identified in the Four Resources section of the ordination ritual.
སྡོང-བུའི-སྨན	An acceptable form of medicine for a monk, as identified in the Four Resources section of the ordination ritual.
ཏིང-ངེ-འཛིན-མཉམ-པ-ཉིད	 Name of the 104th meditative stability.| Name of the 104th meditative stability. |Name of the 104th meditative stability. 
ཏིང-ངེ-འཛིན-གྱི-སྟོབས	 Fourth of the five powers.| Fourth of the five powers. |Fourth of the five powers. 
སྤྲིན-སྒྲ-མར-མེ	 A buddha in the northern direction.|A buddha in the northern direction. 
སྤྲིན-སྒྲ-རྒྱལ-པོ	 A buddha in the northern direction. Also the name of millions of buddhas in the distant past.|A buddha in the northern direction. Also the name of millions of buddhas in the distant past. 
སྤྲིན-དང-རྔ-སྒྲ-རྒྱལ-པོ	 A buddha in the distant past. Also the name of a prince in the distant past.|A buddha in the distant past. Also the name of a prince in the distant past. 
དམན-པའི-སྤྱོད-པ	A monk serving a punitive sentence must perform five kinds of menial deeds that entail his adopting the subservient role of a penitent.
ཆོས-ཀྱི-སྐྱེ-མཆེད	 Twefth of the twelve sense fields| Twefth of the twelve sense fields |Twefth of the twelve sense fields 
སེམས-ཀྱི-མཚན-མ	 A high level of absorption reached through mastery of concentration.|A high level of absorption reached through mastery of concentration. 
སེམས-པའི-ཟས	 Third of the four nourishments.|Third of the four nourishments. 
རྗེའུ-རིགས	 The caste of merchants and farmers of classical Indian society. | The merchant caste.| The merchant caste. | The third of the four classes in the Indian caste system. It generally includes the merchants and farmers. |Third of the four classes of traditional Indian society. 
བསོད-ནམས	 Merit refers to the wholesome tendencies imprinted in the mind as a result of positive and skillful thoughts, words, and actions that ripen in the experience of happiness and well-being. According to the Greater Vehicle, it is important to dedicate the merit of one's wholesome actions to the benefit of all sentient beings, ensuring that others also experience the results of the positive actions generated.\n(See also note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-2078).|Positive activity that is conducive to happiness and freedom from suffering. 
བསོད-ནམས-དང-ཡེ-ཤེས-ཀྱི-ཚོགས	 The two great stores to be accumulated by bodhisattvas: the store of merit, arising from their practice of the first three transcendences, and the store of wisdom, arising from their practice of the last two transcendences. All deeds of bodhisattvas contribute to their accumulation of these two stores, which ultimately culminate in the two bodies of the Buddha, the body of form and the ultimate body.| The two great stores to be accumulated by bodhisattvas: the store of merit, arising from their practice of the first three transcendences, and the store of wisdom, arising from their practice of the last two transcendences. All deeds of bodhisattvas contribute to their accumulation of these two stores, which ultimately culminate in the two bodies of the Buddha, the body of form and the ultimate body. |The two great stores to be accumulated by bodhisattvas: the store of merit, arising from their practice of the first three transcendences, and the store of wisdom, arising from their practice of the last two transcendences. All deeds of bodhisattvas contribute to their accumulation of these two stores, which ultimately culminate in the two bodies of the Buddha, the body of form and the ultimate body. 
རི-རབ	 A gigantic mountain which forms the center of the universe in classical Indian cosmology. | According to the ancient Indian cosmological system, Mount Meru is a mountain which forms the centre of the universe. | In Buddhist cosmology, the sacred mountain at the center of the world. | See “Meru.” | The mountain at the center of the disc of the world with the four continents around it. | The mountain in the center of the disc of the world, with the four continents around it. See also “Meru.”| The mountain in the center of the disc of the world, with the four continents around it. See also “Meru.” |According to the ancient Indian cosmological system, Mount Meru is a mountain which forms the centre of the universe. 
ལྷུན-པོ	 Early Mahāyāna sūtras identify this as separate from Sumeru, the mountain at the center of the world. This refers to a legendary mountain in such epics as the Mahābhārata, which while sacred is not situated at the world’s center. | Early Mahāyāna sūtras identify this as separate from Sumeru, the mountain at the center of the world. This refers to a legendary mountain in such epics as the Mahābhārata, which, while sacred, is not situated in the world’s center. This is presumably identical to the Mount Meru that is the source of one of the two main tributaries of the Ganges and lies within the territory of India. | Name of a tathāgata.| Name of a tathāgata. | The highest mountain at the center of our world according to traditional Buddhist cosmology. |Early Mahāyāna sūtras identify this as separate from Sumeru, the mountain at the center of the world. This refers to a legendary mountain in such epics as the Mahābhārata, which while sacred is not situated at the world’s center. 
ལྷུན-པོའི-རྒྱལ-མཚན	 Buddhafield beyond buddhafields as numerous as the sands of thirty-six Ganges rivers, administered by the Buddha Meru­pradīpa­rāja, whence Vimalakīrti obtains the lion-thrones on which he seats his visitors.|Buddhafield beyond buddhafields as numerous as the sands of thirty-six Ganges rivers, administered by the Buddha Meru­pradīpa­rāja, whence Vimalakīrti obtains the lion-thrones on which he seats his visitors. 
ལྷུན-པོ-རྒྱལ-མཚན	 Name of a tathāgata.|Name of a tathāgata. 
ལྷུན-པོ-ལྟ-བུ	 A buddha in the northwestern direction.|A buddha in the northwestern direction. 
ལྷུན-པོ-བརྩེགས-པ	 A buddha who resides in the eastern direction.|A buddha who resides in the eastern direction. 
ལྷུན-པོའི-སྒྲོན-མ	 Name of a tathāgata.|Name of a tathāgata. 
ལྷུན-པོའི-རྒྱལ-པོ	 (The rendering Merugāja is according to Dutt.)|(The rendering Merugāja is according to Dutt.) 
ལྷུན-པོའི-གླན-ཆེན	 (The rendering Merugāja is according to Dutt.)|(The rendering Merugāja is according to Dutt.) 
ལྷུན-པོའི-སྒྲོན-མའི-རྒྱལ-པོ	 Buddha of the universe Merudhvaja.|Buddha of the universe Merudhvaja. 
བསྡུ-བ	Generosity, pleasant speech, beneficial conduct, and conduct that accords with the wishes of disciples.
ཡུལ-དབུས	Most of the Buddha’s life and ministry took place in the Middle Country. Its land extended to the Likara Forest in the east; the city of Śarāvatī and the Śarāvatī River in the south; the brahmin towns of Sthūṇa and Upasthūṇa in the west; and Uśīragiri in the north.
ཤོ-ན-ཀ	Oroxylum indicum.
ཀླུ-ཆེན-པོ	 This term, meaning “elephant” in this context‌, is a metaphor, suggesting that those present in the assembly were leaders of considerable stature rather than followers.|This term, meaning “elephant” in this context‌, is a metaphor, suggesting that those present in the assembly were leaders of considerable stature rather than followers. 
སེམས	 Also translated here as “mind” and “mindset.”| Also translated here as “mind” and “thought.” |Also translated here as “mindset” and “thought.” 
ཡིད-རྩེ-གཅིག	 The mind focused one-pointedly.|The mind focused one-pointedly. 
སེམས-གནས-པ	 Name of the fifty-second meditative stability.|Name of the fifty-second meditative stability. 
ཟླ-བའི-ཐུགས	 A buddha.| A buddha. |A buddha. 
དྲན-པ-ཉེ-བ-གཞག-པ	There are four kinds of mindfulness: those of body, sensations, mind, and phenomena.
མེ-ལོང-ལྟ-བུའི-ཡེ-ཤེས	 One of the five wisdoms corresponding to the tathāgata Akṣobhya or Vairocana (depending on the system).|One of the five wisdoms corresponding to the tathāgata Akṣobhya or Vairocana (depending on the system). 
འགྲོས	Literally, “gait” or “way of moving,” but also more metaphorically “demeanour,” “stance;” and abstractly “manner,” “type,” “mode.”
བུ-རམ-གྱི-དབུ-བ	An acceptable form of medicine for a monk, as identified in the Four Resources section of the ordination ritual.
གཙུག-ལག-ཁང	Originally a place where the wandering “viharin” monks would stay during the monsoon only, they later developed into permanent domiciles for monks.
རྡུལ-ཟན	This appears to be another name for the cloak called saṃkakṣikā. It is listed as one of the extra two robes for a bhikṣuni, which covers the body, but in the Sarvāstivādavinaya, it is mentioned only twice, and both times in relation to bhikṣus. The Buddha says bhikṣus should cover their bodies with this cloak so their chest is not visible when they go on alms rounds in villages. The two Tibetan spelling variants mean either “sweat robe” or “dust robe.”
རྔུལ-ཟན	This appears to be another name for the cloak called saṃkakṣikā. It is listed as one of the extra two robes for a bhikṣuni, which covers the body, but in the Sarvāstivādavinaya, it is mentioned only twice, and both times in relation to bhikṣus. The Buddha says bhikṣus should cover their bodies with this cloak so their chest is not visible when they go on alms rounds in villages. The two Tibetan spelling variants mean either “sweat robe” or “dust robe.”
དགེ-འདུན	 Community. | The community of followers of the Buddha’s teachings, particularly the monastics. | The community of followers of the Buddha’s teachings, particulary the monastics. | The community of followers of the Buddha’s teachings, see also “Three Precious Jewels.”| The community of followers of the Buddha’s teachings, see also “Three Precious Jewels.” | The spiritual communities of ordained practitioners, both monks and nuns. | The third of the Three Jewels (Triratna) of Buddhism, the Buddha, the Teaching, and the Community. Sometimes narrowly defined as the community of mendicants, it can be understood as including lay practitioners. |The spiritual communities of ordained practitioners, both monks and nuns. 
མཁན-པོ	 A personal preceptor and teacher. Also In Tibet, the translation {mkhan po} also came to mean a learned scholar, the equivalent of a paṇḍita. | A personal preceptor and teacher. In Tibet, it has also come to mean a learned scholar, the equivalent of a paṇḍita, but that is not the intended meaning in the Kāraṇḍavyūha.| A personal preceptor and teacher. In Tibet, it has also come to mean a learned scholar, the equivalent of a paṇḍita, but that is not the intended meaning in the Kāraṇḍavyūha. | A personal preceptor and teacher. In Tibet, the translation {mkhan po} also came to mean a learned scholar, the equivalent of a paṇḍita.\npreceptor | An office decreed by the Buddha so that aspirants would not have to receive ordination from the Buddha in person. The Buddha identified two types: those who grant entry into the renunciate order and those who grant ordination. | One who presides over the monastic ordination ceremony of new monks. | Teacher, (monastic) preceptor; “having approached him, one studies from him” (upetyādhīyate asmāt). |One who presides over the monastic ordination ceremony of new monks. 
དགེ-སློང-ཞལ-ཏ-བྱེད-པ	 A monk in charge of providing for monastery residents and visitors. One of several official administrative or managerial positions at a monastery.|A monk in charge of providing for monastery residents and visitors. One of several official administrative or managerial positions at a monastery. 
ཞུ-བའི-དགེ-སློང	 The monk who acts as intermediary between a candidate for ordination and the saṅgha.| The monk who acts as intermediary between a candidate for ordination and the saṅgha. |The monk who acts as intermediary between a candidate for ordination and the saṅgha. 
དགེ-སློང-གི-དངོས-པོ	Also, according to certain usage, a phrase used in the Mūlasarvāstivāda Vinaya in praise of monks fully committed to the monastic ideal, as opposed especially to those who merely wear the robes.
དགེ-སློང-རྙེད-པ-སྟོབས-པ	A rations officer. One of several official administrative or managerial positions at a monastery.
ཞལ-ཟླ-བ-ཉ-བ-ལྟ-བུ	 Twenty-seventh or thirty-first of the thirty-two major marks.| Twenty-seventh or thirty-first of the thirty-two major marks. |Twenty-seventh or thirty-first of the thirty-two major marks. 
སླེ-ཏྲེས	Tinaspora cordifolia.
ཤིན-ཏུ-དྲི-ལྡན	A world system.
གསོལ-བ	A formal request, e.g. that a postulant be accepted into the renunciate order or that a monk serve as preceptor granting ordination, etc.
ཆུ-སྲིན-བྱིས-པ-གསོད-ལྟ-བུའི-རི	 Sometimes has the alternative Sanskrit spelling Śiśumāragiri.|Sometimes has the alternative Sanskrit spelling Śiśumāragiri. 
རི-ཕུག	An acceptable form of shelter for a monk, as identified in the Four Resources section of the ordination ritual.
ཞལ-ཡོངས-སུ-རྒྱས-པ	Twenty-fourth of the eighty minor marks.
ཞལ-དྲི-ཞིམ-པ	Forty-first of the eighty minor marks.
ཞལ-ཧ-ཅང-ཡང-མི-རིང-བ	Twenty-first of the eighty minor marks.
ཞལ-རྐང-རྐོང-མེད-པ	Twenty-second of the eighty minor marks.
སྲོག-དང-རྩོལ-བ	The manipulation of breath by means of yogic exercise. The Tibetan translation of the Sanskrit compound prāṇāyāma is more usually the compound {srog rtsol}.
རྫ-རྔ	 A kettledrum played horizontally, wider in the middle, with the skin at both ends played with the hands. One drumhead is smaller than the other. It is a South Indian drum, and maintains the rhythm in Karnataka music.|A kettledrum played horizontally, wider in the middle, with the skin at both ends played by the hands. One drumhead is smaller than the other. It is a South Indian drum, and maintains the rhythm in Karnataka music. 
རི-དགས-མགོ	 Close Śravaka disciple of the Buddha.|Close Śravaka disciple of the Buddha. 
རི-བཏང-བཟུང	 A mountain.|A mountain. 
བཏང-བཟུང	 An unidentified mountain mentioned in a number of sūtras, not apparently connected to the well-known nāga of that name, but perhaps to the sacred mucilinda tree, known in English mainly as the bayur tree.| An unidentified mountain mentioned in a number of sūtras, not apparently connected to the well-known nāga of that name, but perhaps to the sacred mucilinda tree, known in English mainly as the bayur tree. |An unidentified mountain mentioned in a number of sūtras, not apparently connected to the well-known nāga of that name, but perhaps to the sacred mucilinda tree, known in English mainly as the bayur tree. 
བཏང-བཟང	 Nāga king, particularly known for sheltering the Buddha from a storm in Bodhgaya.|Nāga king, particularly known for sheltering the Buddha from a storm in Bodhgaya. 
ཕྱག-རྒྱ	 A position of hands, also the “source” deity visualized at the top of the head.|A position of hands, also the “source” deity visualized at the top of the head. 
ཆོས-ཐམས-ཅད-ཡང-དག-པར-འདུ-བ-རྒྱ-མཚོའི-ཕྱག-རྒྱ	 Name of the twenty-first meditative stability.| Name of the twenty-first meditative stability. |Name of the twenty-first meditative stability. 
སྤེན-ཏོག-རྒྱན	 A specific kind of ancient Indian ornament, probably meaning “flower on the front” or “face with a flower.” It was made by metallurgists, presumably from gold. The Tibetan has a definition which involves a woman’s face. It is probably a central feature of a necklace, in which there is a face and a flower—possibly a face within a flower as is seen on ancient stūpa railings such as those in Bodhgaya.|A specific kind of ancient Indian ornament, probably meaning “flower on the front” or “face with a flower.” It was made by metallurgists, presumably from gold. The Tibetan has a definition which involves a woman’s face. It is probably a central feature of a necklace, in which there is a face and a flower—possibly a face within a flower as is seen on ancient stūpa railings such as those in Bodhgaya. 
མེ-ཏོག-རྒྱན	 A specific kind of ancient Indian ornament, probably meaning “flower on the front” or “face with a flower.” It was made by metallurgists, presumably from gold. The Tibetan has a definition which involves a woman’s face. It is probably a central feature of a necklace, in which there is a face and a flower—possibly a face within a flower as is seen on ancient stūpa railings such as those in Bodhgaya.|A specific kind of ancient Indian ornament, probably meaning “flower on the front” or “face with a flower.” It was made by metallurgists, presumably from gold. The Tibetan has a definition which involves a woman’s face. It is probably a central feature of a necklace, in which there is a face and a flower—possibly a face within a flower as is seen on ancient stūpa railings such as those in Bodhgaya. 
རྔ-ཟླུམ	This appears to be a small version of the mṛdaṅga drum.
རྩ-བ	 The root (literally and figuratively); also the seventeenth (sometimes the nineteenth) lunar asterism.|The root (literally and figuratively); also the seventeenth (sometimes the nineteenth) lunar asterism. 
འཇིག-རྟེན-པའི-ཆོས	 These are often listed as eight in number, as in the commentary: gain and no gain, happiness and suffering, praise and criticism, fame and lack of fame.| These comprise the five psycho-physical aggregates, the twelve sense fields, the eighteen sensory elements, the ten virtuous actions, the four meditative concentrations, the four immeasurable aspirations, the four formless absorptions, and the five extrasensory powers. |These comprise the five psycho-physical aggregates, the twelve sense fields, the eighteen sensory elements, the ten virtuous actions, the four meditative concentrations, the four immeasurable aspirations, the four formless absorptions, and the five extrasensory powers. 
འཇིག-རྟེན-ཐམས-ཅད-ལ-མངོན-པར-མི-དགའ-བའི-འདུ-ཤེས	 Sixth of the six aspects of perception.| Sixth of the six aspects of perception. |Sixth of the six aspects of perception. 
མུཎྜ-རཱི	 Not identified, but perhaps Nardostachys jatamansi (?).|Not identified, but perhaps Nardostachys jatamansi (?). 
ཐུབ-པ	 A title that, like buddha, is given to someone who has attained the realization of a truth through his own contemplation and not by divine revelation.| An ancient title, derived from the verb man (“to contemplate”), given to someone who has attained the realization of a truth through their own contemplation and not by divine revelation. |A title that, like buddha, is given to someone who has attained the realization of a truth through his own contemplation and not by divine revelation. 
རྫ-རྔ-ཆེན-པོ	A kettledrum with ends played horizontally. Unlike the mṛdaṅga, one half of the drum is wider than the other. Another description says that the heads of the drum are smaller than those of the mṛdaṅga.
དར-ལ	An acceptable form of cloth for a monk, as identified in the Four Resources section of the ordination ritual.
སྐེ-ཚེ	Brassica juncea.
ཡུངས-ཀར	This plant has several edible varieties.
འབྲས-བུ-གསུམ	 The combination of Phyllanthus emblica, Terminala chebula, and Terminalia bellerica.|The combination of Phyllanthus emblica, Terminala chebula, and Terminalia bellerica. 
ཆུ-ཀླུང-འོད-སྲུང	 Close Śravaka disciple of the Buddha.| Close Śravaka disciple of the Buddha. | The brother of Gayākāśyapa and Uru­vilvā­kāśyapa. A practitioner of fire offering at Uruvilvā (Bodhgaya), he and his three hundred pupils were converted to becoming bhikṣus of the Buddha. He and his brothers and their pupils were the third group to become followers of the Buddha after his enlightenment. |The brother of Gayākāśyapa and Uru­vilvā­kāśyapa. A practitioner of fire offering at Uruvilvā (Bodhgaya), he and his three hundred pupils were converted to becoming bhikṣus of the Buddha. He and his brothers and their pupils were the third group to become followers of the Buddha after his enlightenment. 
ཀླུ	 A class of nonhuman beings, half-human and half-snake. | A class of serpentine water spirits and repositors of subaquatic and subterranean treasure. | A semi-divine being similar to a large snake. | A semidivine class of beings who live in subterranean aquatic environments and who are known to hoard wealth and esoteric teachings. They are associated with snakes and serpents. | Class of beings believed to have a snake body. There are both powerful and powerless types of nāgas. | Class of semi-divine serpent-like beings. | In India, this was the cobra deity, which in Tibet was equated with water spirits and in China with dragons, neither country having cobras. | Nāgas are associated with springs, streams, rivers, and water in general, and among their many magical powers are the ability to produce rain.| Nāgas are associated with springs, streams, rivers, and water in general, and among their many magical powers are the ability to produce rain. | Nāgas are serpent-like animals who live (invisibly) in the human realm and have an ambivalent status, on occasion positive but also frequently harmful. | One of the lords of the ocean, appearing as a great, many headed, sea dragon. | Snake-like mystical creature with supernatural powers belonging to the animal realm. |A semidivine class of beings who live in subterranean aquatic environments and who are known to hoard wealth and esoteric teachings. They are associated with snakes and serpents. 
ཀླུ-ཤིང	 A species of euphorbia used in burnt offerings to get rid of nāga influences.| A species of euphorbia used in burnt offerings to get rid of nāga influences. |A species of euphorbia used in burnt offerings to get rid of nāga influences. 
ཀླུའི-མཐུ	 Among the many magical powers of the nāgas are the ability to produce rain. Presumably this ability is what is meant here by “nāga-power,” although this appears to be the only mention of the term in the Kangyur in connection with clouds and rain.| Among the many magical powers of the nāgas are the ability to produce rain. Presumably this ability is what is meant here by “nāga-power,” although this appears to be the only mention of the term in the Kangyur in connection with clouds and rain. |Among the many magical powers of the nāgas are the ability to produce rain. Presumably this ability is what is meant here by “nāga-power,” although this appears to be the only mention of the term in the Kangyur in connection with clouds and rain. 
ཀླུའི-རྒྱལ-པོ-རྒྱ-མཚོ	 Name of a king of a race of supernatural serpents who protect the doctrine.| Name of a king of a race of supernatural serpents who protect the doctrine. |Name of a king of a race of supernatural serpents who protect the doctrine. 
ནཱ-ག-གེ-ས-ར	 Mesua ferrea; cobra’s saffron.|Mesua ferrea; cobra’s saffron. 
ཀླུ-སྒྲུབ	 Saint, scholar, and mystic of Buddhist India from about four hundred years after the Buddha; discoverer of the Mahāyāna sūtras and author of the fundamental Madhyamaka treatise. | Second- or third-century Indian master whose writings formed the basis for the Madhyamaka tradition. In following centuries there were other masters and authors of the same name, and in Tibet all their works became attributed to one person.| Second- or third-century Indian master whose writings formed the basis for the Madhyamaka tradition. In following centuries there were other masters and authors of the same name, and in Tibet all their works became attributed to one person. |Saint, scholar, and mystic of Buddhist India from about four hundred years after the Buddha; discoverer of the Mahāyāna sūtras and author of the fundamental Madhyamaka treatise. 
ཀླུ-གྲུབ	 Indian commentator (fl. second century).|Indian commentator (fl. second century). 
ཀླུ-མོ	 Female nāga.| Female nāga. |Female nāga. 
ནཻ-རཉྫ-ནཱ	 The river where the Buddha used to meditate.|The river where the Buddha used to meditate. 
གཅེར-བུ-པ	 A type of non-Buddhist religious practitioner. | Ascetic religious practitioners, usually referring to Jains.|Ascetic religious practitioners, usually referring to Jains. 
སྡེར-མོ	 Unguis odoratus, or sweet hoof (blattes de byzance): the operculus of certain sea snails (McHugh, 2008, p 180 n33).|Unguis odoratus, or sweet hoof (blattes de byzance): the operculus of certain sea snails (McHugh, 2008, p 180 n33). 
སྐར-མའི-རྒྱལ-པོ	 A bodhisattva present at the sūtra’s teaching. | Name of a tathāgata.| Name of a tathāgata. |A bodhisattva present at the sūtra’s teaching. 
སྐར-མའི-རྒྱལ-པོ-མེ-ཏོག-ཀུན-ཏུ-རྒྱས-པ-མངོན-པར-ཤེས-པ	 A bodhisattva present at the sūtra’s teaching. Known only from this sūtra.|A bodhisattva present at the sūtra’s teaching. Known only from this sūtra. 
ན-ལ-ད	 Śāriputra’s birthplace in Magadha. King Bimbisāra granted Śāriputra’s grandfather Māṭhara and father Tiṣya rights to this village as a victor’s spoils after debates held in his presence.|Śāriputra’s birthplace in Magadha. King Bimbisāra granted Śāriputra’s grandfather Māṭhara and father Tiṣya rights to this village as a victor’s spoils after debates held in his presence. 
གནམ-མཁའི-སྙིང-པོ	Tibetan translator (fl. late eighth–early ninth centuries).
སྣ-ནམ-ཡེ-ཤེས-སྡེ	 Chief editor of the Tibetan translation of The White Lotus of the Good Dharma and the translation program from the late eighth to early ninth century in Tibet. From the Nanam ({sna nam}) clan.|Chief editor of the Tibetan translation of The White Lotus of the Good Dharma and the translation program from the late eighth to early ninth century in Tibet. From the Nanam ({sna nam}) clan. 
དགའ-བོ	 One of eight mythological nāga kings.\nThe story of the two nāga kings Nanda and Upananda and their taming by the Buddha and Maudgalyāyana is told in the Vinayavibhaṅga (Toh 3, D vol. 6, {'dul ba}, {ja}, F.221a–224a).| One of eight mythological nāga kings.\nThe story of the two nāga kings Nanda and Upananda and their taming by the Buddha and Maudgalyāyana is told in the Vinayavibhaṅga (Toh 3, D vol. 6, {'dul ba}, {ja}, F.221a–224a). | The Buddha’s half-brother, who became one of his principal pupils. Also the name for the nāga king usually associated with Upananda. | The Buddha’s half-brother, who became one of his principal pupils.\nAlso the name for the nāga king usually associated with Upananda. | Śrāvaka arhat. |The Buddha’s half-brother, who became one of his principal pupils. Also the name for the nāga king usually associated with Upananda. 
དགའ-མོ	 One of two sisters who nursed Siddhārtha Gautama after his six years of austerities.|One of two sisters who nursed Siddhārtha Gautama after his six years of austerities. 
དགའ-སྟོབས	 One of two sisters who nursed Siddhārtha Gautama after his six years of austerities.|One of two sisters who nursed Siddhārtha Gautama after his six years of austerities. 
དགའ-བྱེད-མ	 Goddess invoked to obtain power, riches, and splendor.|Goddess invoked to obtain power, riches, and splendor. 
མི-སྦྱིན	 A famous South Indian rishi who also appears in the Ramayana and is credited with writing the first judicial text.|A famous South Indian rishi who also appears in the Ramayana and is credited with writing the first judicial text. 
མིས-བྱིན	 One of “the sixteen excellent men.”|One of “the sixteen excellent men.” 
