འམ	[C]vA; [C]athavA-api
སྐྲ-བཤད-འཛིངས-པ	kezoNDuka
སྐྲ-ལ-ཕོག-པར	[C]bAlavedha; [C]bAlavedhanA
སྐྲའི-རྩེ-མོ	[C]vAlAgrakoTi
སྐྲག	bhaya; trAsa
སྐྲག-ཅིང	[C]uttrayayati
སྐྲག-པ	trAsa. bhaya. uttrAsa; [C]trAsu (bhavate); [C]trAso; [C,MV,MSA]trAsa. bhaya. uttrAsa; [MSA]( √tras): trasanti; [C]paritrAsaNa; [MSA]trAsa. bhaya. uttrAsa; [MV]trAsa. bhaya. uttrAsa; [MV]trasana
སྐྲག-སྟེ	[C]trasati
སྐྲག-པར-བྱ	[MV]uttrastavya; [MV]trAsya
སྐྲག-པར-བྱེད	[MSA]( √tras): trAsyate; [MSA]saMtrAsaka
སྐྲག-པར-བྱ-བ	[MSA]uttrAsa; [MSA]( √tras): trasitavya
སྐྲག-པར-འདུ-ཤེས-པས	[C]saMjJin
སྐྲག-པའི-གནས	[MSA]uttrAsa-pada; [MSA]trAsa-sthAna
སྐྲག-པའི-རྒྱུ	[MSA]trAsa-kAraNa
སྐྲག-པའི-གཞིའི-གནས-མ-ཡིན-པ-ཉིད	[MSA]atrAsa-pada-sthAnatva
སྐྲག-པའི-ཡིད-ཀྱིས	[C]trasta-manasA
སྐྲག-དང-དངང	[MV]trAsatA-mAna
སྐྲག-པ-དགག-པ	[MSA]trAsa-pratiSedha
སྐྲག-པ-མེད-པ	[MV]atrAsa
སྐུ	kAya. gAtratA. gAtra. zarIra. Azraya; [C,LCh,MSA]kAya. gAtratA. gAtra. zarIra. Azraya; [C]mUrti; tanus; AtmA-bhAva; kAya. gAtratA. gAtra. zarIra. Azraya; gAtratva; vigraha; [MSA]kAya. gAtratA. gAtra. zarIra. Azraya
སྐུ-གདུང	[C]zarIra
སྐུ-གསུམ	[MSA]trikAya
སྐུ-ཉིད	[C]gAtratA
སྐུ-དམ-པར	[C]sat-kAya
སྐུ-བསམ-གྱིས-མི-ཁྱབ	[MSA]kAyAcintya
སྐུ-ཚེ-རིང-བ	[C]dIrgha-AyuSkatA
སྐུ-གསུམ-ལ-བསྟོད-པ	kAyatrayastotra
སྐུ-ཆེ-ཞིང-དྲང-བ	[C]bRhad-Rju-gAtratA
སྐུ-དང-གསུང-དང-ཐུགས-སྤྲུལ-པ	[MSA]kAya-vAk-citta-nirmANa
སྐུ-ལ-དབང-འབྱོར-བ-ཉིད	[MSA]kAya-vibhutva
སྐུ-མེད-པ	[MSA]akAya
སྐུ-ཡོངས-སུ-རྫོགས-པ	[MSA]paripUrNa-kAyA
སྐུ-ཡི-ཁོ-ལག	[L]maNDala-paryanta
སྐུའི-ཕྲིན-ལས	[MSA]kAya-karman
སྐུའི-ཁྱད-པར	[MSA]kAya-vizeSa
སྐུལ-ཅིང	[C]codayati
སྐུལ-བར-བྱེད-ཅིང	[C]codye
སྐུར-འདེབས	[MV]apavAda; abhyAkhyAna
སྐུར-བ	[C]apavAda
སྐུར-པ	[C]apavAda
སྐུར-བར-འགྱུར	[C]abhyAcikSati
སྐུར-པ-འདེབས	[C]apavAda
སྐུར-པ-འདེབས-པ	apavAda; [MSA,MV]apavAda
སྐུར-པ-བཏབ-བྱས	[C]apodya
སྐུར-བ-འདེབས	[C]apavAda
སྐུར-བ-འདེབས-པ	apavAda; abhyAkhyAna
སྐྱབས	[MSA]zaraNa
སྐྱབས-གསུམ	[LCh]trizaraNa
སྐྱབས-མེད	[MSA]azaraNa
སྐྱབས-སུ-འགྲོ-བ	[L]zaraNa-gamana
སྐྱབས-སུ-འགྲོ-བའི-སྐབས	[MSA]zaraNa-gamanAdhikAra
སྐྱབས-སུ-འགྲོ-བའི-ཁྱད-པར	[MSA]zaraNa-pratipatti-vizeSaNa
སྐྱབས-སུ-འགྲོ-བར-ངེས-པ	[MSA]zaraNa-gamana-vyavasAya
སྐྱབས-སུ-རབ-ཏུ-སླུ-བ	[MSA]zaraNa-vipravAdana
སྐྱབས-བླ-ན-མེད-པ-ཡིན-པ	[MSA]zaraNatvAnuttarya
སྐྱེ	utpatti; [MV]jan; [C]upapadyati; [C]viruhati; [C]upapatti; [C]janayati; [C]jAti; [MV]utpatti; [MV]( √jan) jAyate; [MV]jAta
སྐྱེ-འགྱུར	[C]upadyati
སྐྱེ-བ	jAti. utpatti. utpAda. udaya. upapatti; [C,MV]jAti. utpatti. utpAda. udaya. upapatti; [MV,MSA]janma; [MV]jAti. utpatti. utpAda. udaya. upapatti; [C,MSA]jAti. utpatti. utpAda. udaya. upapatti; [C]Atmopapatti; [C]utpAdika; [C]jAti. utpatti. utpAda. udaya. upapatti; [C]upapadyate; [C]upAdu (=jAti. utpatti. utpAda. udaya. upapatti); [C]janman; [C]jAyate; [C]pratyAjayate; [MSA]caya; [MSA]utpadyamana; [MSA]jAti. utpatti. utpAda. udaya. upapatti; [MV]janmatva
སྐྱེ-བར	[C]upAdu (=utpAda)
སྐྱེ-བོ	janatA. jana; [C,MSA,MV]janatA. jana; [C,MSA]janatA. jana; [C]janakAya
སྐྱེ-དགུ	prajA; [MSA]prajA
སྐྱེ-གནས	yoni
སྐྱེ-མཆེད	Ayatana; [MSA,C,MV]Ayatana
སྐྱེ-མཆོག	[C]puruSottama
སྐྱེ-མེད	[C]ajAtika
སྐྱེ-ཞིང	[C]jAyi; [C]jAyate
སྐྱེ-ཞིང-འབྲི	[MSA]udaya-vyaya
སྐྱེ-ཞིང-འཇིག-པ	[MV]utpAda-bhaGga; [MV]utpAda-vyaya; [MSA]ApAyika
སྐྱེ-དང-འཆི	[MSA]janana-maraNa
སྐྱེ-བའི-རྒྱུ	[MSA]utpAda-hetu
སྐྱེ-བའི-སྒོ	[MV,C]Aya-dvAra
སྐྱེ-བའི-ཆོས-ཅན	[C]utpAda-dharmin
སྐྱེ-བའི-ལུས-བོར-ཏེ-སྤྲུལ-པའི-ལུས-འཛིན-པ	[MSA]janma-kAyaM tyaktvA nirmANa-kAyaM gRhNAti
སྐྱེ-བའི-སྐད-ཅིག-མ-དང-པོ-ཕྱིན-ཆད	[MSA]janma-kSaNAd UrdhvaM (prathama-)
སྐྱེ-བའི-ཀུན-ནས-ཉོན-མོངས-པ	janma-saMkleza; [MV]janma-saMkleza
སྐྱེ-བོ-མཛའ-བ-ལ-བྱམས-པ	[MSA]priya-jana-preman
སྐྱེ-བོ-ངན-པ	[MSA]durjana
སྐྱེ-བོ-ངན-པ-དང-འགྲོགས-པ	[MV]kujana-vAsa
སྐྱེ-བོ-ཕལ-ཆེར	[C]jana
སྐྱེ-བོ-ཕལ-པོ-ཆེ	[L]mahAjanakAya
སྐྱེ-བོ-རྨོངས-པ	[MSA]vimUDha ... jana
སྐྱེ-བོ-མང-པོ	[C]bahujana
སྐྱེ-བོ-མང-པོ-དགའ-བ	[MSA]bahu-jana-supriya
སྐྱེ-བོ-སྡང-བ-དང-འགྲོགས-པ	[MV]duSTa-jana-vAsa
སྐྱེ-བོ-བླུན-པ	[MV]mUrkha-jana
སྐྱེ-བོ-ཉོན-མོངས-པ-ཅན-ལ-རྗེས-སུ-བརྩེ-བ	[MSA]kliSTajanAnukampA
སྐྱེ-བ-མེད	[MSA]na jAyate; [MV]ajanma(tva); [MV]notpatti
སྐྱེ-བ-པོ	jantu; [C]jantu (=vRzcika-AdiH)
སྐྱེ-བ-འཕོངས-ཤིང	[C]jAti-vyativRtta, (=sva-prakRti-parityAgAj = janma-antara-gata)
སྐྱེ-བ-ཁྱད-པར-ཅན-ཐོབ-ནས	[MSA]upapatti-vizeSaM prApya
སྐྱེ-བ-དམན-ལ-བརྟེན	[MSA]hInopapattiH zritA
སྐྱེ-བ-མ-ཡིན-པ	[C]anupapatti
སྐྱེ-བ-མ-མཆིས-པ-རྣམ-པར-ཤེས-པར-བགྱིད-པ	[C]anutpAda-vijJApanatA; [C]anupapadyamAmana
སྐྱེ-བ-གཅིག-གིས-ཐོགས-པ	eka-jAti-pratibaddha; [C]eka-jAti-pratibaddha
སྐྱེ-བ-དོན-མེད-པ	[MSA]cayApArthya
སྐྱེ-བ-དཀར-པོ	[MSA]zukla-janman
སྐྱེ-བ-ཟད-པ	[MSA]janma-kSaya
སྐྱེ-བ-ཡོངས-སུ-ལེན-པ	[MSA]upapatti-parigraha
སྐྱེ-བ-ལ-ངེས-པར-འགྱུར-བ	[MSA]upapatti-niyatipAta
སྐྱེ-བ-ལ-དོན-མེད-པ	[MSA]cayApArthya
སྐྱེ-བ-ངོ-བོ-ཉིད-མ-མཆིས-པ	utpattiniHsvabhAvatA
སྐྱེ-བ-ངོ-བོ-ཉིད-མེད-པ	utpattiniHsvabhAvatA
སྐྱེ-བ-ངོ-བོ-ཉིད-མེད-པ-ཉིད	utpattiniHsvabhAvatA
སྐྱེ-བ-རྣམ-པ-བཅུ-བཞི-པོ	[MSA]catur-daza-vidha utpAdaH
སྐྱེ-བ-བཟང-པོ	[MSA]zubha-janman; [MSA]zobhana ... janman
སྐྱེ-བ-མེད-པ	[C]asamutpAda; anutpAda
སྐྱེ-བ-མེད-དང-སྐྱེ-བ	[C]anupAdu'pAdu
སྐྱེ-བ-མེད-པ-ཤེས-པ	[MV]jJAnAjAti
སྐྱེ-བ-མེད-པ-ལ-སོགས-པ	[MSA]anutpadAdi
སྐྱེ-བ-ཡང-མེད-འགག-པ-ཡང-མེད	[MSA]notpAdo na nirodhaH
སྐྱེ-བ-དང-མཐུན-པ	[MV]utpatty-anukUla
སྐྱེ-བ-དང-འགག-པ	[MSA]utpAda-nirodha
སྐྱེ-མཆེད-དྲུག	[MV]SaDAyatana
སྐྱེ-མཆེད-ལ-མཁས	[MV]Ayatana-kauzalya
སྐྱེ-བར-འགྱུར	[C]upapadyayAti; [C]upAdayAti; [MSA](upa √pad) upapatsyante; [MSA]upapadyate
སྐྱེ-དགུའི-བདག-པོ-དང-བཅས-པའི-ལྷ-རྣམས	[C]saprajApatikA devA
སྐྱེ-བོའི-ཚོགས	jana-kAya; [C]jana-kAya; [C]janapada-bala-kAya
སྐྱེ-མེད-བློ-ལྡན	[C]anupAdadhI
སྐྱེ-མེད-གནས-ལ	[C]anupAdapade
སྐྱེའོ	upapadyate
སྐྱེད	[C]upapAdayAti; [C]upAdayAti; [C]vahati; [C]vardhayati
སྐྱེད-བྱེད	janaka; [C]upAdayAti; [C]janetrI; [C]jananI (=janetrI)
སྐྱེད-ཅིང	[C]upabandhati
སྐྱེད-པ	[MV]ropaNa; [MSA]AdhAna; [MSA]upapatti; [L]prasavati; [C]utpadyate; [C]janayitrI (=AdAv utpAdanAd)
སྐྱེད-བྱེད-ཅིང	[C]upadyati; [C]vIkSati
སྐྱེད-བྱེད-པ	[C]rohayati
སྐྱེད-པར-བྱེད	[MSA]avaropaNa; [MSA]( √jan): janayanti
སྐྱེད-པར-མཛད-པ	[C]janayitrI (=AdAv utpAdanAd)
སྐྱེད-མོས-ཚལ	udyAna; [C]udyAna
སྐྱེད-མོས-ཚལ-གྱི-ས	[MSA]udyAna-bhUmi
སྐྱེལ	[C]anugamana; [C]anuyAna
སྐྱེན-པ	[C]zIghra(m)
སྐྱེས-བུ	puruSa; [MSA,MV,C]puruSa; [C]jana; [C]pumAn; [C]puMs. pudgala/puruSa
སྐྱེས-ན	[C]jAyamAna
སྐྱེས-ནས	[C]utpadya (=upapadya-parinirvAyin)
སྐྱེས-པ	jAta. puruSa. utpanna. upapatti. upapanna; [MSA.MV]jAta. puruSa. utpanna. upapatti. upapanna; [C]janman; [C]nirjAta (=niryAta); [C]jana; [C]pumAn; [C]jAta. puruSa. utpanna. upapatti. upapanna; [MSA,MV]jAta. puruSa. utpanna. upapatti. upapanna; [MV]utpatti; [MSA]jAta. puruSa. utpanna. upapatti. upapanna; [MSA]jAta. puruSa. utpanna. upapatti. upapanna; [C]Adyanutpannatva
སྐྱེས-རབས	jAtaka
སྐྱེས-བུ-འབྲིང	madhyamapuruSa
སྐྱེས-བུ-གང-ཟག	[L]puruSapudgala
སྐྱེས-བུ-བླུན-པོ	[C]mohapuruSa
སྐྱེས-བུ-ཆེན-པོ	[C]mahApuruSa
སྐྱེས-བུ-ཆེན-པོའི-མཚན	[MV]mahApuruSa-lakSaNa
སྐྱེས-བུ-གཏི-མུག-ཅན	[C]mohapuruSa
སྐྱེས-བུ-ཆུང-ངུ	adhamapuruSa
སྐྱེས-བུ-དམ-པ	[C,MSA]satpuruSa; [MSA]satpauruSya
སྐྱེས-བུ-དམ-པ-ལ-བརྟེན-པ	[MSA]satpuruSa-saMsevA; [MSA]satpuruSAyAzrayaM
སྐྱེས-བུ-དམ-པའི-ལས-བྱེད-པ	[MSA]satpuruSa-karma-karaNatA
སྐྱེས-བུ-ཚད-མ	pramANabhUta
སྐྱེས-བུ-བྱེད-པའི-འབྲས-བུ	[MSA,MV]puruSa-kAra-phala
སྐྱེས-ཟིན-པ-ཡང-སྐྱེ-བ-ནི-མ-ཡིན	[MSA]utpannaM punar utpadyate (na-)
སྐྱེས-མ-ཐག-ཏུ	[C]jAtamAtra; [MSA]sahodaya
སྐྱེས-བུའི-མཐུ	[C]puruSakAra
སྐྱེས-མཆོག-ཀ-ལོ-སྒྱུར-བ	[C]puGgava
སྐྱེས-པ-ཙམ-གྱིས-འཇིག-པར-མི-འགྱུར	[MSA]utpanna-mAtraM vinazyet (na-)
སྐྱེས-པ-བུད-མེད	[C]puruSestri
སྐྱེས-པའི-རབས	jAtaka; [C]jAtaka
སྐྱེས-པའི-རབས-ཀྱི-སྡེ	jAtaka; [C]jAtaka
སྐྱིད	[C]kSema
སྐྱིད-པ	[C]saukhya
སྐྱིལ-མོ-ཀྲུང-གཅིག-གིས	[C]eka-paryaGkena (=ekena-paryaGkena)
སྐྱོ	[MSA]saMvigna
སྐྱོ-བ	kheda. nirvid. saMvega. udvigna. udvega; [C,MSA,MV]kheda. nirvid. saMvega. udvigna. udvega; [C]nirvinna; [C]nirveda; [C]kheda. nirvid. saMvega. udvigna. udvega (-cittena); [C]khidyati; [C,MSA]kheda. nirvid. saMvega. udvigna. udvega; [C]nirvartate; [MSA]kheda. nirvid. saMvega. udvigna. udvega; [MV,MSA]parikheda; [C]bhajyati; [C]kheda. nirvid. saMvega. udvigna. udvega
སྐྱོ-མེད	[MSA]akhinna
སྐྱོ-བར-བྱེད-པ	[C]saMvegam Apadyate
སྐྱོ-བར-བྱེད-པར-འགྱུར-ན	saMvegam Apadyate[C]
སྐྱོ-བར-འགྱུར-བ	[C]khedam Apadyate
སྐྱོ-བར-འདུ-ཤེས-པས	[C]nirvit-samjJin (=mAyopama-nirvANa-dharma-avagamAn)
སྐྱོ-བར-མི-འགྱུར	[MSA]na khedam Apadyate; [MSA]nodvegam AyAti
སྐྱོ-བ-ཅན	[MSA]khedavat
སྐྱོ-བ-དང-ལྡན-པ	[MSA]nirvit-sahagata
སྐྱོ-བ-སྤངས-པ	[MSA]kheda-vivarjita
སྐྱོ-བ-མེད-པ	akheda[MSA]; akheditva[MSA]; khedAbhAva[MSA]
སྐྱོ-བ-མེད-པ-ཡིད-ལ-བྱེད-པ	akheda-manaskAra[MSA]
སྐྱོ-བཅས-སེམས-ཅན-སྨིན-པར-བྱེད	[MSA]sodvegA sattva-pAcanA
སྐྱོབ-ཅིང	[C]paritrANanA (=trANabhUta)
སྐྱོབ-པ	trA; [C]tAyin; [C]trANa; [MSA]paritrANa
སྐྱོབ-པར-བྱེད-ཅིང	[C]trayate
སྐྱོན	doSa. apakSAla; [MSA,C,MV]doSa. apakSAla
སྐྱོན-མེད	[C]niyAmata; [C]nyAma; nirdoSa
སྐྱོན-མེད-པ	[C]acchidra; [C]niyama
སྐྱོན-མེད-པར-འཇུག-པ-ཡང-དག-པར-འགྲུབ-པ	[MV]niyAmAvakrAnti-samudAgama
སྐྱོན-མེད-པ-ལ-འཇུག-ཉིད	[MSA]niyAmAvakrAnti
སྐྱོན-དང-ཡོན-ཏན	guNa-doSa
སྐྱོན-དང-ཡོན-ཏན-དག-དབྱེ-བ	[MSA]guNa-doSa-bheda
སྐྱོན-དང-ཡོན-ཏན-དུ-སོ-སོ-ཡང-དག-པར-རིག-པ	[MSA]doSa-guNa-pratisaMvedana
སྐྱོན-མ-མཆིས-པ	[C]nirdoSa
སྐྱོན-དུ-མི-བྱའོ	[C]anaparAd(d)ha
སྐྱོན-ཡོངས-སུ-ཤེས	[MSA]doSa-parijJAna
སྐྱོང	pA
སྐྱོངས	pA
སྐྱུ-རུ-ར	AmalakI
སྐྱུག-ཅིང	[C]Agacchati
སྐྱུར-བ	Amla
སླ	su-; sukara
སླ-བ	[MSA]su-; [L]sukaram
སླད-དུ	[C]karitvAd
སླད-རོལ-པ	[C]tIrthika
སླན-ཏེ-འཇོག-པ	avasthApanA; avasthApana
སླར	[MSA]punar
སླར-བརྟུལ	[C]pratisaMharati
སླར-ལོག	[C]punAgameyA
སླར-དོང-སྙམ-མོ	[C]niSkrAmati (=abhiniSkrAmati)
སླར-བསྡུ-བ-མཛད-པས	[C]pratisaMhRto
སླར-ལོག-ནས	[C]pratyudAvartate (=nivartiSyante)
སླར-ལོག-སྟེ	[C]agamya
སླར-སྨྲ-བ	[C]pratijalpati
སླར-ཕན-གདགས-པར-བྱ-བ	[C]pratikAra
སླར-ཞིང-འབྱུང-བ	[C]bhUyobhAva
སློབ	[C]zikSate
སློབ-དཔོན	AcArya; [LCh,C,MSA]AcArya
སློབ-མ	[LCh,C,MSA]ziSya; [LCh]zikSya
སློབ-པ	zikSA. zaikSa; [LCh,C,MV,MSA]zikSA. zaikSa; [C,MSA]zikSate; ziSya
སློབ-མ-བཟང-པོ	[C]suziSya
སློབ-དཔོན-དང-མི-ལྡན-པ	[C]anAcArya
སློབ-དཔོན-སྙིང-རྗེ	[MSA]karuNAcArya
སློབ-དཔོན-དབྱིག-གནེན	[MV]AcArya-(bhadanta-)vasubandhu
སློབ-དཔོན-གྱི-དཔེ-མཁྱུད	AcArya-muSTi; [MSA]AcArya-muSTi
སློབ-དཔོན-འདྲ-བ	[MSA]AcArya-kalpa
སློབ-པ-པོ	[C,L]zikSaka
སློབ-མར-གྱུར-པ	[C]ziSya-bhUta
སློམ-སེམས-སུ-མི-བྱེད-པ	[C]amanatA
སློམ-སེམས-སུ-མི-བྱ-བ-བྱེད-པ	[C]amanatA
སློང	[MSA]utthApana
སློང-བ	yAcaka. arthin; [C]samutthita; [C]samutthAna; [C,MSA]yAcaka. arthin; [MSA]yAcaka. arthin; [MSA]vyutthApana
སློང-མོ-པ	yAcanaka; [MSA]arthika; [MSA]arthin
སློང-བ-པོ	[C]utthApaka; [MSA]arthin
སློང-བ-པོའི-སྐྱེ-བོ	[MSA]yAcanaka ... jana
སླུ-བ	moSa
སླུ-བར	[C,L]vaJcayanti
སླུ-བར-བྱེད-པ	[C,L]vaJcayanti
སླུ-བར-འགྱུར-བ	[C]visaMavAdayati
སྨད	[MSA](vi √vRN): vivarNayati
སྨད-པ	nindA; [C]jugupsanatA; [C]jugupsyAn; [MSA]nindita; [MSA]paribhASA; [MSA](vi √garh): vigarhate
སྨན	bhaiSajya. auSadha; [LCh,C,L,MSA]bhaiSajya. auSadha; [C]oSadhI; [C]cikitsaka; [MSA]bhaiSajya. auSadha
སྨན-པ	vaidya; [C,MSA]vaidya
སྨན-པའི-མཆོག	[C]vaidyottama
སྨན-པའི-རྒྱལ-པོ-བླ-མེད	anuttara-vaidya-rAja
སྨན-བཟང-པོ	[MSA]subhaiSajya
སྨེ-བ-གནག-བག	[C]kAlatilaka
སྨིག-རྒྱུ	[MSA]marIci
སྨིག-སྒྱུ	[LCh]marIci
སྨིག-རྒྱུ-དང-རྨི-ལམ-དང-ཆུ-ཟླ-ལ-སོགས-པ	[MV]marIci-svapnodaka-candrAdi
སྨིན-བྱེད	[MSA]pAcanA; [MSA]pAcika; [C]paripAcana; [C]pAcana
སྨིན-པ	pakva. paripAka; [L]vipAka; [MSA]pakva. paripAka; [MSA]pakva. paripAka
སྨིན-ཚུགས	[C]bhruva
སྨིན-མཚམས-ཀྱི-མཛོད-སྤུའི-ཕྲག	[C]UrNA-koza
སྨིན-པར-བྱེད	[MV]pAcana
སྨིན-པར-བྱེད-པ	[MSA]pAcanA
སྨོད	[C]paMsaka; [C]pamsayati; [C]prativacati; (vi √garh): [MSA]vigarhanti; [C]vigarhate; [C]vigarhati; [MSA]ninda
སྨོད-པ	paMsana; [C]jugupsanatA; [C]paMsana; [C]paMsayi; [C]vijugupsana; [MSA]jugupsana; [MSA]jugupsin; [MSA]apavadana; [MSA](√nind); [MSA]prativahana
སྨོད-པར-བྱེད	[C]pratikrozati (=apriya-abhidhAnAt); [C]vigarhate
སྨོད-པར-བྱེད-པ	[C]paMsayati; [MSA]vigarhanti (e.g.: kuceSTitaM vigarhanti)
སྨོད-པར-བྱེད-པར-འགྱུར-ཏེ	[C]paMsayati
སྨོན	[MSA]praNidhAna
སྨོན-ལམ	praNidhAna; [LCh,MV,MSA,C]praNidhAna; [L]praNidhA; [C,MSA]praNidhi
སྨོན-པ	praNidhAna; [C]praNidadhAti (e.g.: mA cittaM praNidhAH); [C,MV,MSA]praNidhAna; [MV]praNihita; [MSA]nidhAna; [MSA]AzaMsana; [MSA]AzAsti; [MSA]samAzAsti
སྨོན-སེམས	bodhi-praNidhi-citta
སྨོན-མཁྱེན-པ-ཉིད	[C]praNidhi-jJAna
སྨོན-ནས-ཤེས-པ	praNidhi-jJAna; [C,MSA]praNidhi-jJAna
སྨོན-ནས-མཁྱེན-པ	praNidhi-jJAna; [C]praNidhi-jJAna
སྨོན-པ-ཡིད-ལ-བྱེད-པ	[MSA]AzAsti-manaskAra
སྨོན-པ-མེད-པ	[C,MSA]apraNihita; [C]apraNidhAna
སྨོན-པ-མེད-པར-གྱུར-པ	[MSA]apraNihita
སྨོན-པ-མེད-པའི-གཞི	[MSA]apraNidhAnasya padam
སྨོན-པ-མེད-པའི-ཏིང-ངེ-འཛིན	[MSA]apraNihita-samAdhi
སྨོན-པ-མེད-པའི-ཤེས-པ	[MV]jJAnApraNihita
སྨོན-པ-ལྷུན-གྱིས-གྲུབ-པས	[MSA]anAbhogenApraNidhAya (praNi √dhA)
སྨོན-པའི-སེམས	[MSA]AzAsti-citta
སྨོན-པར-མེད-པ	[C]apraNihita; [C]apraNidhAna
སྨོན-པར-བྱེད-པ	[L]praNidhAna
སྨོན-ལམ-འདེབས	[C]praNidheti
སྨོན-ལམ-ཡིད-ལ-བྱེད-པ	[MSA]praNidhAna-manasikAra
སྨོན-ལམ-མི-གཏོང-བ	[C]anirAkRta-praNidhi
སྨོན-ལམ-དང-སྒྲུབ-པའི-ཁྱད-པར	[MSA]praNidhAna-pratipatti-vizeSa
སྨོན-ལམ-དང-ལྡན-པ	[MSA]praNidhAnavat
སྨོན-ལམ-ཁྱད-པར-ཅན	[MSA]praNidhAna-vaizeSikatA
སྨོན-ལམ-འདེབས-པ	(pra-Ni dhA): [MSA]praNidadhAti; [MSA]praNidhAnaM kariSyanti
སྨོན-ལམ-ཤེས-པ	[MSA]praNidhi-jJAna
སྨོན-ལམ-བཏབ-པ	praNihita; [MSA]praNihita
སྨོན-ལམ-གྱི-དབང	praNidhAna-vaza; [MSA]praNidhAna-vaza
སྨོན-ལམ-གྱི-སྟོབས-ཅན	[MSA]praNidhAna-balika
སྨོན-ལམ-གྱི-ཕ-རོལ-ཏུ-ཕྱིན-པ	praNidhAna-pAramitA; [MSA]praNidhAna-pAramitA
སྨོན-ལམ-གྱི-ཁྱད-པར	[MSA]praNidhAna-vizeSa
སྨོན-ལམ-ཆེན-པོ-བཅུ-མངོན-པར-སྒྲུབ-པ	[MSA]daza-mahA-praNidhAnAbhinirhAra
སྨོན-ལམ-ལ-བརྟེན-པ	[MSA]praNidhAna-saMnizritA
སྨོས	[C]prAg eva; [MSA]sUcana
སྨོས-ཅི	[C]prAg eva
སྨོས-པ	[MSA]grahaNa
སྨོས-ཅི-དགོས	[C,MSA]prAg eva
སྨྲ	[C]vyAharati; [MSA]vaktR
སྨྲ-བ	abhibhASin. vAdin; [C]abhibhASin. vAdin; [C]vadati; [C]udAharati; [C]vyAharati; [MV]pravyAhAra; [C]kathI; [C]bhASite; [MSA]abhilApa; [MSA]abhibhASin. vAdin (e.g.: pUrvAbhibhASin); [C]vyavapadizati
སྨྲ-མཆོག	[C]vAdi-zreSTha
སྨྲ-མཁས	[MSA]vAgmin
སྨྲ-བར-བྱེད-དོ	[C]saMdhAyate
སྨྲ-ནུས-པ	[C]vacana-samartha
སྨྲ-བའི-ཟླ-བ	[C]vAdi-candra
སྨྲ-མཁས-པ	[MSA]vAk-karaNa
སྨྲ-མཁས-པ-དང-ལྡན-པ	[MSA]vacasAbhyupetaM; [MSA]vAk-karaNenopetaM
སྨྲ-མཁས-ཕུན-སུམ-ཚོགས	[MSA]su-vAk-karaNa-saMpad
སྨྲ-བ-ལ-ཡང-སློབ-པར-བྱེད	[MSA]abhilApaM ... zikSayati
སྨྲ-བ-ཉུང-བ	[C]alpa-bhASya; [C]manda-bhASya
སྨྲ-བ-བརྗོད-པ	[C]bhASa
སྨྲ-མེད-པ	[C]anudAhAra
སྨྲར-མེད-པ	[C]avyavahRta
སྨྲས	[C]vadati
སྨྲས-པ	[LCh]Aha; [LCh]ukta; ucyate; [C]bhaNita; [C]jalpita; [C]jalpyamAna; [C]mantrite
སྨྲས-ནས-རིང-མོ-ཞིག-ལོན-པ	[MSA]cira-bhASita
སྨྲེ-བཞིན-དུ	[C]krandantin
སྨྱིག-རྒྱུ	[C]marIci
སྨྱིག-རྒྱུ-ལྟ-བུ	[C]marIci-sama
སྨྱོན-ཐབས	[C]tuNda
སྣ	ghrANa
སྣ-དབང	ghrANendriya
སྣ-ཤེས	ghrANa-jJAna
སྣ-ཚོགས	citra. nAnAtva. vividha. vicitra. vaicitrya; [L,MSA]nAnA; [C]citra. nAnAtva. vividha. vicitra. vaicitrya; [C,MSA]citra. nAnAtva. vividha. vicitra. vaicitrya; [MV,MSA]citra. nAnAtva. vividha. vicitra. vaicitrya; [MSA]citra. nAnAtva. vividha. vicitra. vaicitrya; [L]vizeSa; [C]citra. nAnAtva. vividha. vicitra. vaicitrya
སྣ-བའི-དབང-པོ	ghrANendriya
སྣ-བའི-རྣམ-པར-ཤེས-པ	ghrANavijJAna
སྣ-རྣམ-ཤེས	ghrANa-vijJAna
སྣ-ཚོགས-ཉིད	[C]nAnAtva
སྣ-ཚོགས-པ	citra; [MSA]citra
སྣ-ཚོགས-ཀྱི-འདུ-ཤེས-དང-བྲལ-བ	[MSA]nAnAtva-saMjJA-vigati
སྣ-ཚོགས-སུ-སྣང-བ	[MSA]citrAbhAsa
སྣ-ཚོགས-འདུ-ཤེས-ཞུགས-པ	[C]nAnAtva-saMjJApasRto
སྣའི-དབང-པོ	ghrANendriya
སྣའི-རྣམ-ཤེས	ghrANavijJAna
སྣག-གི-གཉེན-མཚམས	sAlohita; [C]sAlohita; [C]sAlohita-Amatya
སྣགས	mantra
སྣགས-ཐིག	mantrabindu
སྣམ-བུ	[N]paTa
སྣང	[C]avabhAsa; AbhAsa; [TN]pratibhAsa; [MSA]AbhatA; [LCh,C]Aloka; [C]prajJAyate (=pravartyate = tat-kRta-cihna-abhAvAn); (saM √dRz): [C,MSA]saMdRzyate; [MSA]saMdRzyante; [MSA]darzana; [MSA]saMdarzana; [C]prathate; [TN,MSA]khyAti; [L]rUpa; [MSA]mi snang bar byas nas = antardhAya
