འབད-པ	compare: {རྩོལ་བ}, exertion; {བརྩོན་འགྲུས}, effort
སྒྲའི-སྐྱེ-མཆེད	sound sense-sphere; Comment: This is one of the five divisions of external form (phyi'i gzugs): form sense-sphere (gzugs kyi skye mched); (2) sound sense-sphere (sgra'i skye mched); (3) odor sense-sphere (dri'i skye mched); (4) taste sense-sphere (ro'i skye mched); (5) tangible object sense-sphere (reg bya'i skye mched).
སྒྲའི-ཡུལ-མ-ཡིན	get this from Anne's work and make entries. (GD:119) One of DharmakIrti's four criterion for specifically characterized phenomena the others are: (1) having the power to produce effects (don byed nus pa), (2) being specific (mi 'dra ba), (4) apprehensible without reliance on other factors (rgyu mtshan ?????????)
སྒྲས-བརྗོད-རིགས-ཀྱི-སྒོ-ནས-དབྱེ-བ	Comment: Not an actual division.
སྒྲིབ-པ-ནང-ན-ཡོད-པ	those whose obstruction is internal; Comment: This is one of the three divisions of hungry ghost (yi dwags, preta): those whose obstruction is external (sgrib pa phyi na yod pa); those whose obstruction is internal (sgrib pa nang na yod pa); those whose obstructions are both external and internal (sgrib pa phyi nang gnyis ka yod pa).
སྒྲིབ-པ-ནང-ན-ཡོད-པའི-ཡི-དྭགས	Comment: This is one of the three divisions of hungry ghost (yi dwags, preta): those whose obstruction is external (sgrib pa phyi na yod pa); those whose obstruction is internal (sgrib pa nang na yod pa); those whose obstructions are both external and internal (sgrib pa phyi nang gnyis ka yod pa).
སྒྲིབ-པ-ཕྱི-ན-ཡོད-པ	those whose obstruction is external; Comment: This is one of the three divisions of hungry ghost (yi dwags, preta): those whose obstruction is external (sgrib pa phyi na yod pa); those whose obstruction is internal (sgrib pa nang na yod pa); those whose obstructions are both external and internal (sgrib pa phyi nang gnyis ka yod pa).
སྒྲིབ-པ-ཕྱི-ན-ཡོད-པའི-ཡི-དྭགས	Comment: This is one of the three divisions of hungry ghost (yi dwags, preta): those whose obstruction is external (sgrib pa phyi na yod pa); those whose obstruction is internal (sgrib pa nang na yod pa); those whose obstructions are both external and internal (sgrib pa phyi nang gnyis ka yod pa).
སྒྲིབ-པ-ཕྱི-ནང-གཉིས-ཀ-ཡོད-པ	those whose obstructions are both external and internal; Comment: This is one of the three divisions of hungry ghost (yi dwags, preta): those whose obstruction is external (sgrib pa phyi na yod pa); those whose obstruction is internal (sgrib pa nang na yod pa); those whose obstructions are both external and internal (sgrib pa phyi nang gnyis ka yod pa).
སྒྲིབ-པ-ཕྱི-ནང-གཉིས-ཀ-ཡོད-པའི-ཡི-དྭགས	Comment: This is one of the three divisions of hungry ghost (yi dwags, preta): those whose obstruction is external (sgrib pa phyi na yod pa); those whose obstruction is internal (sgrib pa nang na yod pa); those whose obstructions are both external and internal (sgrib pa phyi nang gnyis ka yod pa).
སྒྲིབ-གཉིས-ཟད-པར-སྤངས-པའི-མཐར-ཐུག-གི-མཁྱེན-པ	Comment: This is the definition of MahAyAna path of no more learning (theg chen gyi mi slob lam).
སྒྲོ-བཏགས	Comment: For a definition, see sgro 'dogs.
སྒྲོལ	Comment: This is the transitive form; grol is intransitive form.
སྒྲུབ-འཇུག	Comment: For a definition of person who is a collective/complete/holistic engager, see sgrub 'jug gi blo.
སྒྲུབ-པར-གྱུར-པའི-ལྡོག-པ-རིགས-གཅིག-པ	check Dan
སྒྲུབ-འཇུག-གི-གང-ཟག	Comment: This is one of the two types of sgrub 'jug according to Jay-d#zün-b#a, the other being non-conceptual prime/valid cognition (rtog med kyi tshad ma).
སྒྲུབ-པ-དོན-དམ	Comment: This is one of the three meanings of ultimate (don dam, paramArtha) according to Matireya's Differentiation of the Middle and Extremes (III.11ab): object-ultimate (don don dam, i.e., thusness); attainment-ultimate (thob pa don dam, i.e., nirvANa); and practice-ultimate (sgrub pa don dam, true paths). BJ calls them terminological divisions, not actual divisions.
སྒྱིད-ལུགས-པའི-ལེ-ལོ	Comment: This is one of three types of laziness: laziness of inadequacy (sgyid lug pa'i le lo); laziness which is an attachment to bad activities (bya ba ngan zhen gyi le lo); laziness of neutral activities (snyoms las kyi le lo). sgyid means "affinity," and lugs means "discard"; see Calm Abiding, p. 71.
སྒྱུ-ལུས	illusory body; Comment: This is the fourth of the six stages of the completion stage in the GuhyasamAja system of Highest Yoga Tanta: physical isolation (lus dben), verbal isolation (ngag dben), mental isolation (sems dben), illusory body (sgyus lus), clear light ('od gsal), union (zung 'jug).
སྒྱུ-འཕྲུལ-དྲ-བ	get P # and vol #
སྒྱུ-འཕྲུལ-དྲྭ-བ	get P # and vol #
ཤཱ-ཀྱ	name of the Buddha's clan SW changed Tibetan entry from bz-W- to b_/-W-,
ཤཱ-རིའི-བུ	SW changed Tibetan entry from sha' kya to shA kya,
ཤཱ-ཀྱ-ཐུབ-པ	SW changed Tibetan entry from bz-W- to b_/-W-,
ཤཱ-ཀྱ-བཤེས-གཉེན	ShAkyamitra; Comment: Three Indian scholars are renowned especially for their works on Yoga Tantra, whom New Translation Schools consider the "Three People Expert/Proficient in Yoga [Tantra]" (yoga la mi mkhas pa gsum): Buddhaguhya (sangs rgyas gsang ba; fl. mid eighth century), ShAkyamitra (shA kya bshes gnyen), and A#nandagarbha (kun dga' snying po; fl. late ninth or early tenth century).
ཤ-ཀྱ	shA kya; name of SiddhArtha's clan (T) SW: add: misspelling of 'shA kya'?
ཤ-ཀྱ-ཐུབ-པ	shA kya thub pa; SW: add: misspelling of 'shA kya thub pa'?
ཤ-ཀྱ-ཐུབ-པ-ཆེན-པོ	shA kya thub pa chen po; SW: add: misspelling of 'shA kya thub pa chen po'?
ཤ-ཀྱའི-སྲས-པོ-མ-ཡིན	shA kya'i sras po ma yin; SW: add: misspelling of 'shA kya'i sras po ma yin'?
ཤད	a shay often, but not always, marks the end of a phrase, sentence, line of poetry, etc.
ཤམ-ཐབས	skirt; SW changed Eng from "undergarments" to "lower garment", since sham thabs means the skirt (at least in colloquial Tibetan)
ཤར-ལུས-འཕགས-པོ	Comment: In Buddhist cosmology there are four large continents, each of which has two smaller continents (gling phran brgyad) next to it: In the center, is the monarch of mountains, ri rab (meru). The four continents and eight smaller continents are (1) shar lus 'phags po (videha), the eastern continent "land of [those with] superior/large bodies" with lus (deha) and lus 'phags (videha); (2) lho 'dzam bu gling (jambudvIpa), the southern continent "Jambu-tree land" with rnga yab (cAmara) and rnga yab gzhan (aparacAmara); (3) nub ba blang spyod (godanIya) the western continent "land of using cattle" with g.yo ldan (sAthA) and lam mchog 'gro (uttaramantriNa); (4) byang sgra mi snyan (kuru), the northern continent "land of unpleasant sound" with sgra mi snyan (kurava) and sgra mi snyan kyi zla (kaurava). Surrounding all of these is an outer rim of iron mountains.
ཤེས	According to the grammar verse, "shes" is not used as a quote marker, so it wouldn't be confused with this shes (T); (PH) delete sense and example 2 ??
ཤེས-བྱ	Comment: Illustrations are (1) pot (bum pa); (2) uncompounded space ('dus ma byas kyi nam mkha'); (3) the two, pillar and pot (ka bum gnyis); (4) the two, permanent phenomenon and [functioning] thing (rtag dngos gnyis).
ཤེས-པ	example: eye consciousness (mig shes)
ཤེས-རབ	one of the five determining mental factors (yul nges lnga, viSaya-pratiniyama); for others see: {ཡུལ་ངེས}
ཤེས-སྒྲིབ	one of the two types of obstructions abandoned by Bodhisattvas on the path to enlightenment; the other type is: the afflictive obstructions (nyon mongs sgrib, klezAvaraNa)
ཤེས-རྣམ-སྒོམ-པ	meditative cultivation of the aspect of a subject [e.g., meditatively cultivating compassion]; Comment: There are two types of meditation, meditation on the aspect of an object [e.g., meditating on impermanence] (don rnam sgom pa) and meditative cultivation of the aspect of a subject [e.g., meditatively cultivating compassion] (shes rnam sgom pa). The first means to meditate on an object, and the second means to meditatively cultivate a consciousness, an attitude.
ཤེས-པ-ཚད-མ	illustrations are: direct perceivers and inferential cognizers (mngon sum dang rjes dpag)
ཤེས-རབ-ཀྱི-ཕ-རོལ-ཏུ-ཕྱིན-པ	the tenth of the ten perfections; see: {ཕ་རོལ་ཏུ་ཕྱིན་པ}; sometimes abbreviated as {ཕར་ཕྱིན}
ཤེས-རབ-ཀྱི-ཕ-རོལ-ཏུ-ཕྱིན-པ-བརྒྱད-སྟོང-པའི-བཤད-པ-མངོན-པར-རྟོགས-པའི-རྒྱན-གྱི-སྣང-བ	English originally said: Great Commentary on the Eight Thousand Stanza Perfection of Wisdom SUtra, by Haribhadra's ... (T)
ཤེས-རབ-ཀྱི-ཕ-རོལ-ཏུ-ཕྱིན-པ-གཉིས-སྟོང-ལྔ-བརྒྱ-པ-རབ-ཀྱི-ཚལ-གྱིས-རྣམ-པར-གནོན-པས-ཞུས-པ	Entry did say "rgya" instead of "brgya", Also should add "Questions of Suvikranta-vikramin" ??? (T)
ཤེས-རབ-འབྱུང-གནས-བློ-གྲོས	Comment: author of the Commentary on the Difficult Points of Engaging in the Bodhisattva Deeds (BodhicaryAvatAra-paJjikA, Byang chub kyi spyod pa la 'jug pa'i dka' 'grel), P. 5273, vol. 100
ཤེས-བཞིན-མ-ཡིན-པ	asaMprajanya; non-introspection; Comment: This is one of the twenty secondary afflictions (nye nyon nyi shu, upakleza): (1) belligerence (khro ba, krodha); (2) resentment ('khon 'dzin, upanAha); (3) concealment ('chab pa, mrakSa); (4) spite ('tshig pa, pradAsa); (5) jealousy (IrSyA); (6) miserliness (mAtsarya); (7) deceit (sgyu, mAyA); (8) dissimulation (g.yo, zAThya); (9) haughtiness (rgyags pa, mada); (10) harmfulness (rnam par 'tshe ba, vihiMsA); (11) non-shame (ngo tsha med pa, AhrIkya); (12) non-embarrassment (khrel med, anapatrApya); (13) lethargy (rmugs pa, styAna); (14) excitement (rgod pa, auddhatya); (15) non-faith (ma dad pa, Azraddhya); (16) laziness (le lo, kausIdya); (17) non-conscientiousness (bag med pa, pramAda); (18) forgetfulness (brjed nges pa, muSita-smRtitA); (19) asaMprajanya (shes bzhin ma yin pa, asaMprajanya); (20) distraction (rnam par g/yeng pa, vikSepya).
ཤེས-བཞིན-མེད-པ	see: {ཤེས་བཞིན་མ་ཡིན་པ}
ཤེས-བྱ-བ	I question whether "shes" can be used as a quote marker, as mentioned above (T)
ཤེས-པའི-ཀུན-རྫོབ	mental conventionalities; Comment: This is one of three divisions of conventionalities: (1) imputational conventionalities (btags pa'i kun rdzob); (2) mental conventionalities (shes pa'i kun rdzob); (3) verbal conventionalities (brjod pa'i kun rdzob). Jik-may-dam-chö-gya-tso also identifies "imputational conventionalities" as imputational natures that are imputed by conceptuality to be truly existent whereas they are not truly existent; "mental conventionalities" as other-powered natures, which are illustrated by "unreal ideation" (yang dag pa ma yin pa'i kun rtog) since it is the principal other-powered nature, and thus come to be called "mental"; "verbal conventionalities" as thoroughly established natures which, although they ultimately cannot be taken as objects by way of terms and conceptual consciousnesses, are suitable to be expressed through many verbal forms such as thusness and so forth.
ཤིག-པ-རྗེས-ལ	see: {ཤིག}
ཤིགས	see: {ཤིག}
ཤིན-ལྐོག	shin tu lkog gyur; see: {ཤིན་ཏུ་ལྐོག་གྱུར}
ཤིན-སྦྱངས	shin tu sbyangs pa; Comment: This is one of the eleven virtuous mental factors (sems byung dge ba, kuzalacaitta): (1) faith (dad pa, zraddhA); (2) shame (ngo tsha shes pa, hrI); (3) embarrassment (khrel yod pa, apatrApya); (4) non-attachment (ma chags pa, alobha); (5) non-hatred (zhe sdang med pa, adveSa); (6) non-ignorance (gti mug med pa, amoha); (7) effort (brtson 'grus, vIrya); (8) pliancy (shin tu sbyangs pa, prasrabdhi); (9) conscientiousness (bag yod pa, apramAda); (10) equanimity (btang snyoms, upekSA); (11) non-harmfulness (rnam par mi 'tshe ba, avihiMsA).
ཤིན-ཏུ-ཉེ-བར-གནས-པ	Sanskrit did say "sUpastita" (T)
ཤིན-ཏུ-སྦྱང-དཀའ-བ	fifth of the ten Bodhisattva grounds; for others see: {བྱང་སེམས་འཕགས་པའི་ས}
ཤིན-ཏུ-རྒྱས-པ	Comment: the One Hundred Thousand Stanza Perfection of Wisdom SUtra, or the Perfection of Wisdom SUtras, in general. (PH) note added from EMO p.236 fn.b Check
ཤིན-ཏུ-སྤྱངས-པ	see: {ཤིན་སྦྱངས}
ཤིན-ཏུ-སྦྱངས-པ	pliancy; Comment: This is one of the eleven virtuous mental factors (sems byung dge ba, kuzalacaitta): (1) faith (dad pa, zraddhA); (2) shame (ngo tsha shes pa, hrI); (3) embarrassment (khrel yod pa, apatrApya); (4) non-attachment (ma chags pa, alobha); (5) non-hatred (zhe sdang med pa, adveSa); (6) non-ignorance (gti mug med pa, amoha); (7) effort (brtson 'grus, vIrya); (8) pliancy (shin tu sbyangs pa, prasrabdhi); (9) conscientiousness (bag yod pa, apramAda); (10) equanimity (btang snyoms, upekSA); (11) non-harmfulness (rnam par mi 'tshe ba, avihiMsA).
ཤིན-ཏུ-ལྐོག-གྱུར	compare: {ལྐོག་གྱུར}; {ཅུང་ཟད་ལྐོག་གྱུར}
ཤིང-རྟ	chariot; Is "opener of the chariot way" a translation of just shing rta ?? (T)
ཤིང-རྟའི-སྲོལ-འབྱེད	see: {ཤིང་རྟ}
ཤིས-ལུགས	(PH) too many synonyms
ཤིས-པ	SW added this record
སྐབས-འདིར-བསྟན-གྱི-ཡིད-མངོན	Comment: There are three assertions concerning mental direct perceptions indicated on this occasion (skabs 'dir bstan gyi yid mngon): rgyun mtha' kho nar skye ba (production only at the end of a continuum); spel mar skye ba (alternating production); and 'gros gsum par skye ba (production in three types).
སྐབས-མཆིས-པ	skabs mchis; Comment: Jik-may-dam-chö-gya-tso (Port of Entry, 290.2) explains that "affords an occasion" (skabs mchis pa) means "suitable for the assessment of censure" (klan ka 'jug rung).
སྐད-དོད	Comment: Often used to refer to the Sanskrit original of a Tibetan term or to the Tibetan translation equivalent of a Sanskrit term.
སྐད-ཅིག-མ	Comment: That which is momentary (skad cig ma) is the definition of impermanent phenomenon (mi rtag pa).
སྐལ-མཉམ-གྱི-རྒྱུ	Comment: One of the six kinds of causes; for others see rgyu.
སྐྲན	Comment: see also gnyan
སྐྱེ-དགུ	Comment: A possible etymology is that there are nine levels of beings in cyclic existence, and thus "nine-creatures" comes to mean all beings in cyclic existence.
སྐྱེ-གནས	Comment: There are four birth-places: womb, egg, heat and moisture, and spontaneous.
སྐྱེ-མཆེད	Comment: That which opens, or increases, the production of consciousness.
སྐྱེ-དགག-གནས-གསུམ-མི-རུང-བའི-ཆོས	Comment: Definition of uncompounded phenomenon ('dus ma byas kyi chos).
སྐྱེ-དགག-གནས-གསུམ-རུང-བའི-ཆོས	Comment: Definition of compounded phenomenon ('dus byas kyi chos).
སྐྱེ-བའི-སྤྲུལ-སྐུ	I think this is wrong?? check MED
སྐྱེ-བ-དོན-མེད-པ	Comment: Buddhists accuse the SAMkhyas of purposeless production when the SAMkhyas assert the production (or manifestation) of what is already produced (or already exists in an unmanifest state).
སྐྱེ-བ-ལ-དོན-མེད-པ	Comment: Buddhists accuse the SAMkhyas of purposeless production when the SAMkhyas assert the production (or manifestation) of what is already produced (or already exists in an unmanifest state).
སྐྱེ-བ-ངོ-བོ-ཉིད-མེད-པ	utpattiniHsvabhAvatA; Comment: This is one of the three non-natures: character-non-nature (mtshan nyid ngo bo nyid med pa, utpattiniHsvabhAvatA); production-non-nature (skye ba ngo bo nyid med pa, utpattiniHsvabhAvatA); ultimate-non-nature (don dam pa ngo bo nyid med pa, paramArthaniHsvabhAvatA).
སྐྱེ-བ-ངོ-བོ-ཉིད-མེད-པ-ཉིད	utpattiniHsvabhAvatA; Comment: This is one of the three non-natures: character-non-nature (mtshan nyid ngo bo nyid med pa, utpattiniHsvabhAvatA); production-non-nature (skye ba ngo bo nyid med pa, utpattiniHsvabhAvatA); ultimate-non-nature (don dam pa ngo bo nyid med pa, paramArthaniHsvabhAvatA).
སྐྱེ-བ-མེད-པའི-ཆོས-ལ-བཟོད-པ	Comment: A-ku L#o-drö-gya-tso (Precious Lamp, 223.2) takes this as referring to attaining forbearance, that is, facility, with respect to the meaning of the selflessness of phenomena. Jik-may-dam-chö-gya-tso (Port of Entry, 505.6) adds that through ascertaining the meaning of the non-production of phenomena upon taking the eight non-productions as reasons, one attains forbearance with respect to the doctrine of non-production, that is, selflessness.
སྐྱེ-མཆེད-དྲུག	Comment: see skye mched.
སྐྱེ-མེད-གནས-ལ	in the state of non-production; Comment: As in having faith in the state of non-production.
སྐྱེད-བྱེད	Comment: That which produces is the definition of cause (rgyu).
སྐྱེས-བུ	puruSa; Comment: puruSa is etymologized as one who has capacity (nus ldan).
སྐྱེས-པ	Comment: That which is created is the definition of product (byas pa).
སྐྱེས-བུ-ཚད-མ	Comment: For example, the Teacher Buddha (ston pa sangs rgyas).
སྐྱེས-བུས-བྱེད-པའི-འབྲས-བུ	Comment: One of the five types of effects; for example, a harvest achieved through the exertions of a farmer (zhing pas rtson pas sgrub pa'i lo tog); for other effects see 'bras bu.
སྐྱེས-བུའི-ཤེས-རྒྱུད-ཀྱིས-མ-བསྡུས-པའི-གཟུགས	Comment: This is the definition of external form (phyi'i gzugs).
སྐྱེས-བུའི-ཤེས-རྒྱུད-ཀྱིས-བསྡུས-པའི-གཟུགས	Comment: This is the definition of internal form (nang gi gzugs).
སྐྱེས-བུའི-རྒྱུད-ཀྱིས-མ-བསྡུས-པའི-རྡུལ-དུ-གྲུབ-པ	Comment: This is the definition of external matter (phyi'i bem po), which is one of two divisions of matter (bem po, kanthA); the other is internal matter (nang gi bem po). There are five divisions of external matter (phyi'i bem po): form (gzugs); sound (sgra); smell (dri); taste (ro); tangible object (reg bya).
སྐྱེས-བུའི-རྒྱུད-ཀྱིས-བསྡུས-པའི-རྡུལ-དུ-གྲུབ-པ	Comment: This is the definition of internal matter (nang gi bem po).
སྐྱུ-རུ-ར	Comment: The term is used for a sour medicinal fruit, Emblica officinalis Linn., said to cure diseases of phlegm, bile, and blood. It is used to indicate something that is perfectly clear in front of the eyes.
སླད-དུ	SW added Eng. & ex.
སླད-ནས	get ex from colophon to Catuhpiitha text Derge KG rgyud 'bum lnga pa p. 607 (I wrote colophon on a piece of paper) SW added this record
སླད-རོལ-པ	see: {མུ་སྟེགས་ཅན}
སློབ-བརྒྱུད	SW added this record
སྨད-བྱུང	see: {རྨད་དུ་བྱུང་བ}
སྨད-དུ-བྱུང	see: {རྨད་དུ་བྱུང}
སྨན-པའི-མཆོག	an epithet of Buddha
སྨན-པའི-རྒྱལ-པོ-བླ-མེད	an epithet of Buddha
སྨིན-མཚམས-ཀྱི-མཛོད-སྤུའི-ཕྲག	Comment: one of the X marks/signs of a Buddha.get from mdzod spu entry
སྨྲ-བ-བླ-ན-མེད-པ	(PH) I added parenthetical remarks
སྨྱིག-རྒྱུ	Comment: This is an old form.
སྣ-དབང	one of the five divisions of internal form (nang gi bem po); the other four correspond to the other senses
སྣ-ཤེས	one of the five divisions of sense consciousness (dbang shes); the other four correspond to the other senses
སྣ-ཤེས-ཀྱི-མྱོང-བྱ	definition of scent-source (dri'i skye mched)
སྣ-བའི-དབང-པོ	see sna dbang for definition
སྣ-རྣམ-ཤེས	see sna shes for definition
སྣ-ཚོགས-གཉིས-མེད-པ	Comment: This is a school of True Aspectarians (rnam bden pa, satyAkAravAdin) within the Mind-Only School. check JYS for SUtra School
སྣའི-དབང-པོ	one of the five divisions of internal matter (nang gi bem po); the other four correspond to the other senses; see sna dbang for definition
སྣང-མེད	without appearance; Comment: A non-conceptual consciousness of meditative equipoise is said to be "without appearance" since nothing but an absence appears.
སྣང-ལ-མ-ངེས-པའི-བློ	one of the seven types of knowledge and awareness; for others see: {བློ་རིག}
སྣང-བ-ཉིད-ཀྱང-གཞན-ལས-ངེས-པ	one of the three types of prime cognizer for which ascertainment is induced by another; for others see: gzhan las nges kyi tshad ma; an illustration is: a sense direct perceiver apprehending blue which induces a doubting consciousness that thinks: 'Did I see blue or not?' (kho bos sngon po mthong ngam ma mthong snyam pa'i the tshom 'dren par byed pa'i sngon 'dzin dbang mngon)
སྣང-བ-རང-ལས-ངེས-ཞིང-བདེན-པ-གཞན-ལས-ངེས-པ	one of the three types of direct perceiver that induces ascertainment from another (gzhan las nges kyi tshad ma)
སྣེའུ	(PH) Clark's _The Quintessence Tantras_ (p.116) identifies this as "chenopodium album" Add?
སྔར	Check Tibetan of first example (T)
སྔར-ཨུཏཔ-ལ-མཐོང-མ-མྱོང-བའི-གང-ཟག-གི-རྒྱུད-ཀྱི-ཨུཏཔ-ལའི-ཁ-དོག-འཛིན-པའི-དབང-མངོན	Comment: This is an example of initial direct perception (mngon sum dang po ba).
སྔོན-པོ	one of the four primary colors (rtsa ba'i kha dog); the other four are: white (dkar po); yellow (ser po); red (dmar po)
སྔོན-འཛིན-དབང-མངོན-གྱིས-དྲངས-པའི-སྔོན-པོ-ངེས-པའི-ཤེས-དོན-མཐུན	an example of conceptual subsequent cognizer that is induced by direct perception (mngon sum gyis drangs pa'i rtog pa bcad shes)
སྔོན-འཛིན-མངོན-སུམ-སྔོན-པོའི-རྣམ-ལྡན-དུ-གཙོ-བོར-དངོས-སུ-སྐྱེད-བྱེད	Comment: This is the definition of observed object condition of a direct preception apprehending blue (sngon 'dzin mngon sum gyi dmigs rkyen).
སྔོན-འཛིན-མངོན-སུམ-རང-གི-རྣམ-ལྡན-དུ-གཙོ-བོར-དངོས-སུ-སྐྱེད-བྱེད	Comment: This is the definition of observed object condition of a direct preception apprehending blue (sngon 'dzin mngon sum gyi dmigs rkyen).
སྔོན-འཛིན-མངོན-སུམ-རང-དབང-དུ-གཙོ-བོར-དངོས-སུ-སྐྱེད-བྱེད	Comment: This is the definition of an empowering/proprietary condition of a direct perception apprehending blue (sngon 'dzin mngon sum gyi bdag rkyen).
སྔོན-འཛིན-མངོན-སུམ-མྱོང-བ-གསལ-རིག-ཙམ-དུ-གཙོ-བོར-དངོས-སུ-སྐྱེད-བྱེད-ཀྱི-རིག-པ	Comment: This is the definition of an immediately preceding condition of a direct perception apprehending blue (sngon 'dzin mngon sum gyi de ma thag rkyen).
སྔོན-ཆད-སྤྱོད-པའི-ཚེ	Could combine these last three entries. (T)
སྣྲེལ-གཞི	refers to the process of moving from one concentration to another out of sequence
སྣྲེལ-ཞི	this refers to the process of moving from one concentration to another out of sequence\nCheck Entry (T)
སྙན-གཏད	SW added this record
སྙན-ཐོས-ཀྱི-སྒོམ-ལམ-རྣམ-གྲོལ-ལམ	one of the three types of exalted wisdom of meditative equipoise of a Hearer path of meditation; see nyan thos kyi sgom lam mnyam bzhag ye shes for others]
སྙན-ཐོས-ཀྱི-མཐོང-ལམ-རྣམ-གྲོལ-ལམ	one of the three types of exalted wisdom of meditative equipoise of a Hearer path of seeing; see nyan thos kyi mthong lam mnyam bzhag ye shes for others
སྙིགས-པའི-དུས	snyigs dus; See: {སྙིགས་དུས}
སྙིང-སྟོབས	sattva; Comment: In SAmkhya this is one of the three material qualities (yon tan gsum, triguNa): lightness (snying stobs, sattva), 2) motility (rdul, rajas), 3) darkness (mun pa, tamas). Dzong-ka-ba's Great Exposition of Secret Mantra a passage cites a passage calling the three subtler consciousnesses preceding the mind of clear light according to the GuhyasamAja system sattva, rajas, and tamas.
སྙིང-རྗེའི-བདག-ཉིད	Check. Entry originally had: shin rje'i bdag nyid (T)
སྙིང-རྗེ-ཆེན-པོའི-གཞན-དབང-དུ-གྱུར-པའི-སྒོ-ནས-སེམས-ཅན-གཞན-གྱིས-སངས-རྒྱས-ཐོབ-ཕྱིར-དུ-རྣམ-མཁྱེན-དོན-དུ-གཉེར-བའི-ཆ-ནས-བཞག-པའི-བསམ-པ	definition of path of a being of great capacity (skyes bu chen po'i lam)
སྙིང-རྗེ-རྗེ-ལྟར	Is entry correct? or should it be ji ltar? (T)
སྙོམས-འཇུག-པ	one of the two types of Nihilists
སྙོམས-ལས-ཀྱི-ལེ-ལོ	laziness of neutral activities; Comment: This is one of three types of laziness: laziness of inadequacy (sgyid lug pa'i le lo); laziness which is an attachment to bad activities (bya ba ngan zhen gyi le lo); laziness of neutral activities (snyoms las kyi le lo).
སྙོམས-པར-འཇུག-ལང-བྱེད-ནུས-པ-དང	SW added "absorption" in the English
སོ-བྱ	(PH) Clark's _The Quintessence Tantras_ (p.181) identifies this as a "Heron" Add?
སོ-སོར-སྐྱེས-བོ	see: {སོ་སོའི་སྐྱེ་བོ}
སོ-སོར-རྟོག-པའི-ཡེ-ཤེས	one of five types of exalted wisdom—a division of a Great Vehicle path of no more learning (T)
སོ-ཏོ-རོག-པོ	(PH) Clark's _The Quintessence Tantras_ (p.181) identifies your synonym of this term (so bya) as a "Heron" Add?
སོ-སོ-བ	this means conceptually or technically different, as opposed to one (gcig pa)
སོ-སོ-བ-མ-ཡིན-པའི-ཆོས	definition of one (gcig pa)
སོ-སོ-བའི-ཆོས	definition of different (tha dad)
སོའི-སྐྱེ-བོ	see: {སོ་སོའི་སྐྱེ་བོ}
སོན	SW added Eng. "cross"
སོང	get ex. from Dor SW added Eng. "occurred"(PH) added from full entry
སོང-བ	SW added Eng. "occurred" see: {སོང}
སོར-བཞག	SW added this record
སྤང-བ	Conze notes later on in the same work in which he translates this as "prevent from ever recurring" that it later changes to mi bskyed pa
སྤང-བྱ-གཅིག-ཆར-བའི-དབང-དུ-བྱས-པ	one of the two types of paths of release of a Hearer's path of meditation; the other is: done in terms of a person who has gradual objects of abandonment (spang bya rim gyis pa'i dbang du byas pa)
སྤང-བྱ-རིམ-གྱིས-པའི-དབང-དུ-བྱས-པ	one of the two types of paths of release of a Hearer's path of meditation; the other is: done in terms of a person who has simultaneous objects of abandonment (spang bya cig char ba'i dbang du byas pa)
སྤང-བྱ-རིམ-གྱིས-པའི-དགྲ-བཅོམ-པའི-མཁྱེན-པ	one of the two types of Hearer path of no more learning (nyan thos kyi mi slob lam); the other is Hearer exalted knower that has gradual objects of abandonment (spang bya cig char ba'i dgra bcom pa'i mkhyen pa )
སྤང-བྱ-ཅིག-ཆར-བའི-དགྲ-བཅོམ-པའི-མཁྱེན-པ	one of the two types of Hearer path of no more learning (nyan thos kyi mi slob lam); the other is Hearer exalted knower that has gradual objects of abandonment (spang bya rim gyis pa'i dgra bcom pa'i mkhyen pa)
སྤེལ	Any Tenses (T)
སྤེལ-མར-སྐྱེ-བ	alternating production; Comment: This is one of the three assertions concerning mental direct perceptions indicated on this occasion (skabs 'dir bstan gyi yid mngon): production only at the end of a continuum (rgyun mtha' kho nar skye ba); alternating production (spel mar skye ba); and production in three types ('gros gsum par skye ba).
སྤོབས-པ-མི-ཆོད-པ	Check entry. Is second alternative a synonym? (T)
སྤོབས-པ-མ-ཚོད-པ	Check entry. Is second alternative a synonym? (T)
སྤྲིན-ལ-ཞོན	Cloud Mount; Comment: also known as indra or zakra. Gung-tang reports that Shakra is called "Cloud Mount" because of being mounted on an elephant that, like a cloud, is very large and moves about gently, with magnificent bearing.
སྤྲོ	need "traM" in Tibetan for example
སྤྲོ-བ	SW added the example & Engl. "be enthusiastic for"
སྤྲོ-ན	get ex from Lag
སྤྱན-རས-གཟིགས-བརྟུལ-ཞུགས	disciple of BhAvaviveka who wrote a Commentary of (BhAvaviveka's) 'Lamp for (NAgArjuna's) "Wisdom"' (shes rab sgron ma'i rgya cher 'grel pa) [P5259, Vol. 96-7]
སྤྱི	Example 1 is irrelevant: phyi instead of spyi (T)
སྤྱི-དོན	the style of textbook which lays out the subject, definitions, divisions, etc. as opposed to analysis of the scope (mtha' dpyad)
སྤྱི-ལྡོག	one of the five types of isolates; for others see: {ལྡོག་པ}
