ངན-སོང-སྤོང	Abandoner of Unfavorable Rebirths
ལུས-ཀྱི-སྐྱེ-མཆེད	 Sense field of the body|Sense field of the body 
སྐྱེ-མཆེད-བཅུ-གཉིས	 Twelve sense fields|Twelve sense fields 
སྐྱེ-མཆེད-དྲུག	 Six cognitive fields | Six entrances | Six sense fields | Six sense sources| Six sense sources |Six sense fields 
ནང-གི-སྐྱེ-མཆེད-དྲུག	 Six inner sense fields|Six inner sense fields 
ཕྱིའི-སྐྱེ-མཆེད-དྲུག	 Six outer sense fields|Six outer sense fields 
ཟད-པར-གྱི-སྐྱེ-མཆེད-བཅུ	 Ten sense fields of total consummation|Ten sense fields of total consummation 
ཚུལ-ཁྲིམས-མཆོག-འཛིན	 Sense of moral supremacy| Sense of moral supremacy |Sense of moral supremacy 
སེམས-མགུ-བ	Sense of reverence
ལཛྫ-ལུ	Sensitive plant
ལུགས-འབྱུང-དང-ལུགས-ལྡོག	Sequential and reverse modalities
ལུགས-དང-འཐུན-པ-དང-ལུགས-དང-མི-འཐུན-པ	Sequential and reverse modalities
མཐར-གྱིས-སྦྱོར-བ	 Serial training|Serial training 
འགལ-ཚབས-ཅན	Serious breach
ཏིལ	Sesame
འབྲུ-མར	 Sesame oil|Sesame oil 
ཏི-ལ-ཀ	 Sesame flowers|Sesame flowers 
ཤ-ལིང-ཙ	Sessile joyweed
འཆག-སར-བྱས-པ	Settlement
སེ-བཱ-ལ	 Śevāla|Śevāla 
བྱང-ཆུབ-གྱི-ཡན-ལག-བདུན	Seven aspects of awakening
དམ-པ-མ-ཡིན-པའི-ཆོས-བདུན	Seven false dharmas
གླུ-དབྱངས-ཀྱི-ངེས-པ-བདུན	Seven harmonious tones of the musical scale
རིན-པོ-ཆེ-སྣ-བདུན	 Seven precious materials|Seven jewels 
རིན-ཆེན-སྣ-བདུན	 Seven precious materials | Seven precious things|Seven precious materials 
བདུན-མཐོ-བ	Seven prominent parts
ཡན-ལག-བདུན-པ	Seven-limbed practice
བྱེ-བ-ཁྲག-ཁྲིག-བརྒྱ-སྟོང	 Trillion|Sextillion 
འདོད-པས-ལོག-པར-གཡེམ-པ	Sexual misconduct
ཚེམས-མཆེ-བ-རྣོ-བ-དང-ལྡན-པ	Sharp eye-teeth
ཡོལ-ཁང	Shed
ཨོད-བྱེད-པ	Shining
ཐལ-གོང	Shoulders
རས-བལ	Shrub cotton
གྲུབ-ཐོབ	 Siddha|Siddha 
དཔའ-བོ-གཅིག-པུ-གྲུབ-པ	 Siddhaikavīra|Siddhaikavīra 
འགྲོ-གྲུབ	 Siddhapātra|Siddhapātra 
དོན-གྲུབ-བློ-གྲོས	 Siddhārtha­mati|Siddhārtha­mati 
ནག-པོའི-ཕྱོགས-པ	Side with evil
གཟུགས-རྣམས	Sights
རྨ-བྱ	 Śikhaṇḍī|Śikhaṇḍī 
གཙུག-ཏོར-ཅན	 Śikhin| Śikhin |Śikhin 
གཙུག-གཏོར-ཅན	 Śikhin| Śikhin |Śikhin 
གཙུག-ཕུད-ཅན	 Śikhin| Śikhin |Śikhin 
གཙུག-ལྡན	 Śikhin|Śikhin 
བསླབ-པ-ཀུན-ལས-བཏུས-པ	 Śiksaṣāmuccaya|Śiksaṣāmuccaya 
ཚུལ-ཁྲིམས-རྒྱལ-མཚན	 Śīladhvaja|Śīladhvaja 
ཚུལ-ཁྲིམས-རྣམ-དག-དྲི-ལྡན	 Śila­viśuddha­netra|Śila­viśuddha­netra 
ཤྲཱི-ལེནྡྲ-བོ-དྷི	 Śīlendrabodhi|Śīlendrabodhi 
དར	Silk
ཤལ-མ-ལ	 Silk-cotton tree|Silk-cotton tree 
སེང-གེ	 Siṃha| Siṃha |Siṃha 
སེང-གེའི-ཟླ-བ	 Siṃhacandrā|Siṃhacandrā 
སེང-གེ-རྒྱལ-མཚན	 Siṃhadhvaja|Siṃhadhvaja 
སེང-གེའི-རྒྱལ-མཚན	 Siṃhadhvaja|Siṃhadhvaja 
སེང-གེའི-སྒྲ	 Siṃhaghoṣa| Siṃhaghoṣa |Siṃhaghoṣa 
སེང-གེ-ཟ-འགྲམ	 Siṃhahanu|Siṃhahanu 
སེང-གེའི-ཏོག	 Siṃhaketu|Siṃhaketu 
སིང-གྷ-ལ	 Siṃhala|Siṃhala 
སེང-གེའི-བློ-གྲོས	 Siṃhamati| Siṃhamati |Siṃhamati 
སེང-གེ-བསྒྲགས-པ	 Siṃhanādanādī|Siṃhanādanādī 
སེང-གེ-སྒྲ-སྒྲོགས	 Siṃhanādin|Siṃhanādin 
སེང-གེ-ལ-ཞོན-མ	 Siṃhavāhinī|Siṃhavāhinī 
སེང-གེ-ང-རོ-མངོན-པར-བསྒྲགས-པའི-དབྱངས	 Siṃha­ghoṣābhigarjita­śvara|Siṃha­ghoṣābhigarjita­śvara 
སིན-དྷུ	 Sindhu|Sindhu 
བཀོད-པ-གཅིག-པ	Single Array
གཅིག-བརྗོད-པ	Singular expression
དཔལ-ལྡན-མ	 Śirī | Śriyāmatī| Śriyāmatī |Śirī 
དཔལ-གྱི-སྟོབས	 Śirībala|Śirībala 
དཔལ-འཛིན-པ	 Śiridhāraṇa|Śiridhāraṇa 
ཤིར-ཤ	 Śirīṣa|Śirīṣa 
སིཏ	 Sīt|Sīt 
རོལ	 Śītā|Śītā 
སི-ཏ	 Sītā|Sītā 
སི-ཧླ-ལིང	 Śītavana|Śītavana 
ཆུ-གྲང-བ	 Śītodaka|Śītodaka 
སི-ཏུ-པཎ-ཆེན	Situ Paṇchen
འགྲོ-བ-དྲུག	Six destinies
མངོན-པར-ཤེས-པ-དྲུག	Six super-knowledges
ཡི-གེ-དྲུག-པའི-རིག-སྔགས	 Six-syllable vidyāmantra|Six-syllable vidyāmantra 
དབུགས-དབྱུང-བ-དང-རྔུབ-པ-རྗེས-སུ-དྲན-པ-རྣམ-པ-བཅུ-དྲུག	Sixteen recollections of inhaling and exhaling the breath
སྒྱུ-རྩལ-དྲུག-ཅུ-རྩ-བཞི	Sixty-four crafts
སྐེམ-བྱེད	 Skanda| Skanda |Skanda 
ཐབས-ལ-མཁས-པ	Skill in means
ཕྲ-མ	Slander
ཕྲ-མ-ཅན	Slanderous
ཤློ-ཀ	 Śloka|Śloka 
ལྷུང-བཟེད-ཆུང-ངུ	Small plates
དྲན-པ-མ	 Smṛti|Smṛti 
དྲན-པའི-ཏོག-གི-རྒྱལ-པོའི-དཔལ	 Smṛtiketu­rāja­śrī|Smṛtiketu­rāja­śrī 
ཁྲུས-བྱེད-པ	 Snātaka|Snātaka 
གཙུག-ལག-ཁང-གངས-ཞེས	 Snow Temple|Snow Temple 
རབ-ཏུ-དབེན-པ	Solitude
རྟོག-གེ	Sophistry
རང-བཞིན-དུ-གནས-པ	Sound
སྒྲ	Sound
ཐུག-པ	Soup
ཡུལ-ལྷོ	South (region)
ནམ-མཁའ	Space
རྡོ-རྗེ-དབྱིངས-ལས-རྒྱལ-བ	 Vajra Victor of Basic Space| Vajra Victor of Basic Space |Vajra Victor of Basic Space 
ནམ-མཁའ-མཐ-ཡས-སྐྱེ-མཆེད	 Sphere of the infinity of space|Sphere of the infinity of space 
གསོང-པོར-གསུང-བ	Speak first
ཅི-ཡང-མེད-པའི-སྐྱེ-མཆེད	Sphere of nothingness
མན-ཛུ-ཥ-ཀ	Spider lily
མན-ཛུ-ཥ-ཀ-ཆེན-པོ	Spider lily
མ-ཉྫུ-ཥ-ཀ-ཆེན-པོ	Spider lily
གོལ-ལ	Spiked ginger lily
ཐུར-མ	Splint
འབུ-གསུག	 Spṛkkā|Spṛkkā 
འབྲུ-གསུག	 Spṛkkā|Spṛkkā 
ལྷམ-པ	Square
རེ	 Śraddhā|Śraddhā 
དགེ-ཚུལ-མ	 Śrāmaṇerī|Śrāmaṇerī 
ཉན-ཐོས-ཀྱི-ཐེག-པ	 Vehicle of the śrāvakas| Vehicle of the śrāvakas | Śrāvakayāna |Śrāvakayāna 
གྲོ-བཞིན	 Śravaṇa|Śravaṇa 
མཉན-ཡོད	 Śrāvastī| Śrāvastī |Śrāvastī 
མཉན-དུ-ཡོད-པ	 Śrāvastī|Śrāvastī 
བཟོ-སྦྱངས	 Śreṇika|Śreṇika 
དགེ-མ	 Śreyasī | Śubhā| Śubhā |Śreyasī 
དཔལ-ལྡན	 Śrī|Śrī 
དཔའ-མོ	 Śrī|Śrī 
དཔལ	 Śrī|Śrī 
ལྷ-མོ-ཆེན-མོ-དཔལ	 Śrī Mahādevī| Śrī Mahādevī |Śrī Mahādevī 
དཔལ-གྱིས-རྒྱན-མ	 Śrībhūṣaṇī|Śrībhūṣaṇī 
དཔལ-གྱི-སྙིང-པོ	 Śrīgarbha|Śrīgarbha 
དཔལ-སྟུག-པོ	 Śrīghana|Śrīghana 
དཔལ-དབྱངས	 Śrīghoṣa|Śrīghoṣa 
དཔལ-སྦས	 Śrīgupta|Śrīgupta 
ཤཱི-ལེན-དྲ-བོ-དྷི	 Śrīlendrabodhi|Śrīlendrabodhi 
དཔལ-གྱི-རི	 Śrīparvata|Śrīparvata 
བད-ཙ	 Vātsyāyana| Vātsyāyana |Vātsyāyana 
དཔལ-གྱི-བེའུ	 Śrīvatsa | Śrīvatsa motif| Śrīvatsa motif |Śrīvatsa 
དཔལ-རིན-པོ-ཆེས-བརྒྱན-པ	 Śrī­mahā­ratna­pratimaṇḍitā|Śrī­mahā­ratna­pratimaṇḍitā 
དཔལ-ནོར-བུ-རིན-པོ-ཆེ-ལས-བྱུང-བ	 Śrī­maṇi­ratna­sambhava|Śrī­maṇi­ratna­sambhava 
གཙང-སྦྲ-ཅན	 Śrotriya|Śrotriya 
རེངས-པ	 Stabdha|Stabdha 
བརྟན-པ	Stable
ངེས-པའི-ཚོགས	 Stable community|Stable community 
དྲི-མེད	 Stainless| Stainless | Vimala |Stainless 
དྲི-མ-དང-བྲལ-བ	Stainless
བཀོད-པ-དྲི-མ-མེད-པ	 Stainless Array|Stainless Array 
རེངས-བ-ཅན	 Stambhaka|Stambhaka 
སྐར-མའི-འོད-ཟེར	Starlight
སྠ-ལ	 Sthāla|Sthāla 
བརྟན-མ	 Sthāvarā|Sthāvarā 
བློ-གྲོས-བརྟན-པ	 Sthiramati|Sthiramati 
བློ-གྲོས-བརྟན	 Sthiramati|Sthiramati 
བློ-གྲོས-བརྟན-པས-བྱིན	 Sthita­buddhi­datta|Sthita­buddhi­datta 
བླ-མར-གནས	 Sthitottara|Sthitottara 
བ-དྲ-ལི	Stinkvine
སྟོག-ཕོ-བྲང-བྲིས-མ	Stok Palace Kangyur
བསྟོད-པ	 Stotra|Stotra 
རྒྱུན-ཏུ-ཞུགས-པ	Stream-entry
སྟོབས-དང-ལྡན-པར-བགྱིད	Strengthen
བརྩོན-འགྲུས-རྩོམ	Strive
འབད	Struggle
ཤེས-རབ-འཆལ-བ	Stupidity
ལག-བཟངས	 Subāhu | Śubha­kanaka­viśuddhi­prabha| Śubha­kanaka­viśuddhi­prabha |Subāhu 
རྣམ-པར-འཇོམས-པ	Subdued
དགེ-བྱེད-མ	 Śubhakartrī|Śubhakartrī 
ཡན-ལག-བཟང-པོ	 Śubhāṅga|Śubhāṅga 
ལེགས-པར-སྨྲ-བ-ཚོལ	 Subhāṣita­gaveṣin|Subhāṣita­gaveṣin 
དགེ-བ-བཀོད-པ	 Śubhavyūha| Śubhavyūha |Śubhavyūha 
གསེར-བཟང-པོ-རྣམ-པར-དག-པའི-འོད	 Śubha­kanaka­viśuddhi­prabha|Śubha­kanaka­viśuddhi­prabha 
ཤིན-ཏུ-འཇིགས-བཙན	 Subhīṣma|Subhīṣma 
རབ-འབྱོར	 Subhūti | Su­bhūti| Su­bhūti |Subhūti 
ཡུལ-ཐམས-ཅད-རབ-ཏུ-འདུལ-བ	Subjugator of All Places
ཡང-དག-པར-འཕགས-པ	Sublimation [of All Things]
གྱ-ནོམ-སྣང	 Sublime Heaven | Sudṛśa| Sudṛśa |Sublime Heaven 
ཚངས-པའི-མཆོག	 Subrahma|Subrahma 
རབ-ཚངས-པ	 Subrahman|Subrahman 
བློ-བཟང	 Subuddhi|Subuddhi 
དེ-ཁོ-ན-ཉིད	 Suchness | Tattva| Tattva |Suchness 
ཁབ-སྣ	 Śūcīkarṇa|Śūcīkarṇa 
ཁ-སྤུ-ཅན	 Śūcīlomā|Śūcīlomā 
དོན-ལེགས-པར-བསམ-པ-སེམས-པ	 Sucintitārtha|Sucintitārtha 
དོན-ལེགས-བསམས	 Sucintitārtha|Sucintitārtha 
ཁབ-སྤུ	 Sūciromā|Sūciromā 
དུལ-རབ	 Sudānta|Sudānta 
ཤིན-ཏུ-དུལ	 Sudānta|Sudānta 
ཤིན-ཏུ-བལྟ-མཛེས	 Sudarśana|Sudarśana 
ལེགས-མཐོང	 Sudarśana|Sudarśana 
རབ-རྫེས	 Sudarśana|Sudarśana 
ལེགས-པར-བྱིན	 Sudatta|Sudatta 
ཡེ-ཤེས-གཙང	 Śuddhajñānin|Śuddhajñānin 
ཞལ-གཙང	 Śuddhānana|Śuddhānana 
གཙང-རིས	 Śuddhāvāsa|Śuddhāvāsa 
འོད-ཟེར-དག-པ	 Śuddha­raśmi­prabha|Śuddha­raśmi­prabha 
ཟས-གཙང-མ	 Śuddhodana|Śuddhodana 
ཟས-གཙང	 Śuddhodana| Śuddhodana |Śuddhodana 
ཆོས-བཟང	 Sudharma| Sudharma |Sudharma 
ཆོས-བཟང-དཔའ-བོ	 Sudharmaśūra|Sudharmaśūra 
བདུག-བསྔལ	Suffering
སྡུག-བསྔལ	Suffering
དང-དུ-ལེན-པའི-མཟོད-པ	 Tolerance of suffering| Tolerance of suffering |Tolerance of suffering 
བདེ-གཤེགས-སེམས-པ	 Sugatacetanā|Sugatacetanā 
སྒྲ-སྙན-པ	 Sughoṣa|Sughoṣa 
དམ-པ	Suit
ལེགས-སྐྱེས-མ	 Sujātā|Sujātā 
མཛེས-པར-སྐྱེས	 Sujāta|Sujāta 
སུ-ཀ-རི	 Sūkarī|Sūkarī 
བདེ-བའི-འོད	 Sukhābha|Sukhābha 
སིམ-པར-བྱེད-མ	 Sukhakarī|Sukhakarī 
བདེ-བ-ཆེན	 Sukhāvatī|Sukhāvatī 
པ-བསངས	 Śukra|Śukra 
ཞིབ-མོ	 Sūkṣmā|Sūkṣmā 
སྤྱན-བཟང-བ	 Sulocana|Sulocana 
གྷན-དྷ-ཀ	Sulphur
སུ-མ-ག-ད	 Sumāgandha|Sumāgandha 
ཡིད-བཟངས	 Sumanas| Sumanas |Sumanas 
རི-རབ-མེ-ཏོག	 Sumanojñaghoṣa|Sumanojñaghoṣa 
བློ-གྲོས-བཟང	 Sumati|Sumati 
རབ-ཀྱི-བློ-སྒྲོས	 Sumati|Sumati 
བཟང-པོའི-བློ-གྲོས	 Sumati|Sumati 
བློ-གྲོས-བཟང-པོ	 Sumati|Sumati 
རིའི-རྒྱལ-པོ-རི-རབ	 Sumeru|Sumeru 
རབ-ལྷུན	 Sumeru|Sumeru 
རི-རབ-ལྟ-བུ	 Sumerukalpa|Sumerukalpa 
བཟང-པོའི-བཤེས-གཉེན	 Sumitra|Sumitra 
འགུགས	Summon
བཀུག-པ	Summon
ཁ-བཟངས	 Sumukha|Sumukha 
ལྷ-མོ-སུན-དྷ-རི	 Surasundarī| Surasundarī |Surasundarī 
ཤིན-ཏུ-དགའ-བོ	 Sunanda|Sunanda 
ཤིན-ཏུ-དགའ-བ	 Sunanda|Sunanda 
མཛེས-དགའ-བོ	 Sundarananda|Sundarananda 
མཛེས-དགའ	 Sundarananda| Sundarananda |Sundarananda 
ཁ-དོག-མཛེས	 Sundaravarṇa|Sundaravarṇa 
མཛེས-མ	 Sundarī|Sundarī 
མི-བཟངས	 Sunetra|Sunetra 
སྤྱན-བཟང	 Sunetra|Sunetra 
རབ-འཕྲུལ	 Sunirmita | Sunirmāṇarati | Suprathamā | Supreme Emanations| Supreme Emanations |Sunirmāṇarati 
རབ-འཕྲུལ-དགའ	 Sunirmita|Sunirmita 
ས-ན	Sunn hemp
ནོར-བུ-རིན-པོ-ཆེ-མེ-ཤེལ	Sunstone gem
འདབ-བཟངས	 Suparṇī|Suparṇī 
རོ-བྲོ-བའི-མཆོག-དང-ལྡན-པ	Superior organ of taste
མགོན-པར-ཤེས-པ	Superknowledges
རབ-མཉེན	Supple
མི-རྟེན-པ	 Without support|Without support 
ཤིན-ཏུ-ལེགས-པར-རྟོགས-པ	 Suprabuddhā|Suprabuddhā 
འཇིག-རྟེན-ལས-འདས-པ	Supramundane
རབ-ཏུ-གནས	 Supratiṣṭha|Supratiṣṭha 
རབ-བརྟན	 Supratiṣṭhita|Supratiṣṭhita 
ཡོན-ཏན-ཤིན-ཏུ-གནས-པ-ནོར-བུ-བརྩེགས-པའི-རྒྱལ-པོ	 Supra­tiṣṭhita­guṇa­maṇi­kūṭa­rāja|Supra­tiṣṭhita­guṇa­maṇi­kūṭa­rāja 
ཆོས-མཆོག	Supremacy
མཆོག-ལེན	Supreme Seizer
མཆོག-གི-འབྱུང-གནས	Supreme Source
ཤིན-ཏུ-སྡུག	 Supriyā|Supriyā 
རྫོགས-པ	 Supūrṇaka|Supūrṇaka 
མེ-ཏོག-བཟང-པོ	 Supuṣpa|Supuṣpa 
དཔའ-སྟོབས	 Śūrabhala|Śūrabhala 
དཔའ-བས-བྱིན	 Śūradatta|Śūradatta 
སྟོང-ལྷ-མོ	 Surādevī|Surādevī 
འོད-ཟེར-བསང-པོ	 Suraśmi|Suraśmi 
སུ-ར-སུ-ན	Surasunnaka
སུ-རེན-དྲ-བོ-དྷི	 Surendrabodhi| Surendrabodhi |Surendrabodhi 
ཞིབ-མ-མོ	 Śūrpī|Śūrpī 
གཟུགས-བཟང	 Surūpa|Surūpa 
ཉི-མའི-སྙིང-པོ	 Sūryagarbha | Sūrya­garbha| Sūrya­garbha |Sūryagarbha 
ཉི-མ-ལྟར-མཛེས-མ	 Sūryakāntā|Sūryakāntā 
ཉི-མའི-གྲོགས	 Sūryamitra|Sūryamitra 
ཉི-མའི-ཞལ	 Sūryānana | Sūryānanda| Sūryānanda |Sūryānana 
ཉི-མའི-འོད	 Sūryaprabha|Sūryaprabha 
ཉི-མའི-དཔལ	 Sūryaśrī|Sūryaśrī 
ཉི-ཟེར	 Sūryavarcasa|Sūryavarcasa 
ཉི-མ-འཁོར-བ	 Sūryāvartā|Sūryāvartā 
ཉི-མའི-དཀྱིལ-འཁོར-སྣང-བ-དམ-པའི-དཔལ	 Sūrya­maṇḍala­pratibhāsottama­śrī|Sūrya­maṇḍala­pratibhāsottama­śrī 
ཉི-མ-རབ-ཏུ-སྣང-བ	 Sūrya­prabha|Sūrya­prabha 
ཉི-འོད-ཏོག-གི-དཔལ	 Sūrya­prabhā­ketu­śrī|Sūrya­prabhā­ketu­śrī 
ཤིན-ཏུ-ཡང-དག-ཞུགས	 Susaṃprasthita | Su­saṃ­prasthita| Su­saṃ­prasthita |Susaṃprasthita 
དེད-དཔོན-བཟང-པོ	 Susārthavāha|Susārthavāha 
ཟླ-བའི-བུ	 Sutasoma|Sutasoma 
མུད-ཀ-ལི	 Sūtkhalin|Sūtkhalin 
མདོ	 Sūtra| Sūtra |Sūtra 
ལེགས-པར-ལངས	 Suutthitā|Suutthitā 
གཙུག-ན-གསེར	 Suvarnacūḍa|Suvarnacūḍa 
གསེར-གླིང	 Suvarṇadvīpa|Suvarṇadvīpa 
རལ-པ-གསེར-འདྲ	 Suvarṇajaṭa|Suvarṇajaṭa 
གསེར-བདག	 Suvarṇapati|Suvarṇapati 
གསེར-གྱི-མེ-ཏོག	 Suvarṇavarṇa|Suvarṇavarṇa 
དམ-པ-གསེར-འོད	 Suvarṇa­prabhāsā|Suvarṇa­prabhāsā 
དོན-ལེགས-པར-བསམས-པ	 Suvicinitārtha|Suvicinitārtha 
ཤིན-ཏུ-རྣམ-གྲགས-གཟི	 Suvighuṣṭatejas|Suvighuṣṭatejas 
ཤིན-ཏུ-རྣམ-གྲོལ-དབྱངས	 Suvimuktaghoṣa|Suvimuktaghoṣa 
རབ-མཚེ-མ	 Suyāma|Suyāma 
གྱ-ནོམ-སྣང-བ	 Su­dṛśa|Su­dṛśa 
ཤིན-ཏུ-ཡོངས-སུ-བརྗོད-པ-མཚན-གསོལ-དཔལ	 Su­parikīrtita­nāmadheya­śrī|Su­parikīrtita­nāmadheya­śrī 
ལེགས-པར-གནས-པའི-བློ-གྲོས	 Su­pratiṣṭhita­buddhi|Su­pratiṣṭhita­buddhi 
སྤྱོད-པ-བརྟན-པ	 Su­pratiṣṭhita­cāritra|Su­pratiṣṭhita­cāritra 
རབ-ཀྱི-རྩལ-གྱིས-རྣམ-པར-གནོན-པ	 Su­vikrānta­vikrāmin| Su­vikrānta­vikrāmin | Su­vikrānta­vikrāmiṇ |Su­vikrānta­vikrāmiṇ 
རང-བཞིན-ཆོས-ཀྱི-བླ-མ-ངེས-པ-འབྱུང	 Svabhāva­dharmottara­niścita|Svabhāva­dharmottara­niścita 
ལེགས-འོངས	 Svāgata| Svāgata |Svāgata 
དབྱངས-ཀྱི-ཡན-ལག	 Svarāṅgaghoṣa|Svarāṅgaghoṣa 
སྒྲ-ཡི-ཡན-ལག-དབྱངས	 Svarāṅgaghoṣa|Svarāṅgaghoṣa 
དབྱངས-དག	 Svarāṅgaśabda|Svarāṅgaśabda 
དབྱངས-ཀྱི-ཡན-ལག-དཔའ	 Svarāṅgaśūra|Svarāṅgaśūra 
སྒྲ-དབྱངས-མཆོད-པ	 Svarārcita|Svarārcita 
སྒྲ-སྐད-རྣམ-གྲགས	 Svarāvighuṣṭa|Svarāvighuṣṭa 
དབྱངས-བཀོད-པ	 Svaravyūha|Svaravyūha 
དབྱངས-རྣམ-པར-དག-པའི-འོད	 Svara­viśuddhi­prabha|Svara­viśuddhi­prabha 
བཀྲ-ཤིས-པ	 Svastika| Svastika |Svastika 
གཡུང-དྲུང	 Svastika| Svastika |Svastika 
དཀར-མོ	 Śvetā|Śvetā 
ལག-དཀར-མ	 Śvetabhujā|Śvetabhujā 
ཏོག-དཀར-པོ	 Śvetaketu|Śvetaketu 
བསྲོ-ཁང	Sweat-chamber
ལག-མྱུར	Swift Hand
སྔོ-བསངས	 Śyāma|Śyāma 
ཡིག-འབྲུ	Syllable
བརྡ	Symbol
རྣམ-པར-གཞག-པ	Systematic presentation
རྒྱ-སྤོས	 Tagara | Valerian| Valerian |Tagara 
རྒྱ-སྤོས-གཙུག-ལག	 Tagaraśikhin|Tagaraśikhin 
རྡུལ-མེད-ཅིང-རྡུལ-དང-བྲལ-བ-དང-ལྡན-པ	Taintless Modality Devoid of Impurities
ཚད-མར-བྱེད	Taken as the standard
འཇོག-པོ	 Takṣaka| Takṣaka |Takṣaka 
ཏ-མ-ལ	 Tamāla|Tamāla 
ཤིང-ཏ-མ-ལ	 Tamāla tree|Tamāla tree 
ཏ-མ-ལའི-ལོ-མ-དང-ཙན-དན-གྱི-དྲི	 Tamāla­patra­candana­gandha|Tamāla­patra­candana­gandha 
ཏ-མ-ལའི-འདབ-མ-དང-ཙན-དན-གྱི-དྲི-མངོན-པར-ཤེས-པ	 Tamāla­patra­candana­gandhābhijña|Tamāla­patra­candana­gandhābhijña 
བསེ-ཡབ	Tamarind
མུན-པ-མུན-ནག	 Tamondhakāra|Tamondhakāra 
རྐུ-བའི-གྲངས-སུ-གཏོགས-པ	Tantamount to stealing
རྒྱུད	 Tantra|Tantra 
བླ-ན-མེད-པའི-རྣལ-འབྱོར-གྱི-རྒྱུད	 Unexcelled Yoga tantra| Unexcelled Yoga tantra |Unexcelled Yoga tantra 
དཀའ-ཐུབ	 Tapā|Tapā 
ཚ	 Tāpana|Tāpana 
ཚ-བ	 Tāpana|Tāpana 
གདུང-བ	 Tāpana|Tāpana 
སྒྲོལ-མ	 Tārā| Tārā |Tārā 
དེ-བཞིན-གཤེགས-པ	 Tathāgata| Tathāgata | Thus-Gone One |Thus-Gone One 
དེ-བཞིན-གཤེགས-པའི-སྐུ	 Tathāgatakāya|Tathāgatakāya 
དེ-བཤིན-ཉིད	 Tathatā|Tathatā 
བསྟན-པ	Teaching
ཆོས-འདུལ-བ	 Teachings of the vinaya|Teachings of the vinaya 
ཚེམས-རྩེ-མོ-མཐོ-ཞིང-རྣོ-ལ-དཀར-བ	Teeth whose tips are long, sharp, and white
གཟི-བརྗིད-ལྡན-མ	 Tejovatī| Tejovatī | Tejā |Tejā 
གཟི-བརྗིད-ཚོགས-ཀྱི-རྒྱལ-པོ	 Tejaguṇarāja|Tejaguṇarāja 
གཟི-བརྗིད-ཚོགས-རྒྱལ	 Tejaguṇarāja|Tejaguṇarāja 
གཟི-བརྗིད-མངོན-པར-འཕགས	 Tejasamudrata|Tejasamudrata 
གཟི-བརྗིད-སྒྲ-དབྱངས	 Tejasvarendra|Tejasvarendra 
གཟི-ལྡན	 Tejavati|Tejavati 
གཟི-བརྗིད-ཤིན-ཏུ-ངེས	 Tejaviniścita|Tejaviniścita 
གཟི-བརྗིད-དབང-ཕྱུག	 Tejeśvara|Tejeśvara 
གཟི-བརྗིད-སྟོབས	 Tejobala|Tejobala 
གཟི-བརྗིད-ཁྱབ	 Tejovibhu|Tejovibhu 
ལྷ-ཁང	Temple
ཕྱོགས-བཅུ	Ten directions
ས-བཅུ	 Ten levels | Ten stages|Ten levels 
མི-དགེ-བ-བཅུ	 Ten sins|Ten nonvirtuous actions 
མི-སློབ-པའི-ཆོས-བཅུ	 Ten qualities of no-more-training|Ten qualities of no-more-training 
རྗེས-སུ-དྲན-པ-བཅུ	Ten recollections
རྒྱལ-པོ-མདོ-བཅུ	Ten Royal Sūtras
མི-དགེ-བའི-ལས-ཀྱི-ལམ-བཅུ	 Ten unwholesome actions|Ten sins 
དགེ-བ-བཅུ	 Ten virtues | Ten virtuous actions|Ten virtues 
རབ-ཏུ-འཛིན-པ	Tenacity
ཡོངས-སུ-ཆད-པ	Termination
མི-ཟད-པ	Terrible
རྡོ-རྗེ-མི-བཟད-འཇོམས	 Terrible Vajra Conqueror| Terrible Vajra Conqueror |Terrible Vajra Conqueror 
འགོང	Terrified
འཇིགས-བྱེད-མ	 Terrifying Lady|Terrifying Lady 
ཉིན-གསུམ-པ	Tertian fevers
བྱས-པ-ཚོར-བ	Thankful
དབང-དུ-བྱེད-མ	The Enchantress
མ-བྱིན-པར-ལེན-པ	Theft
ཤེས-རབ-ཉམས-པ-མེད-པ	 They do not degenerate in their wisdom|They do not degenerate in their wisdom 
ས-བཅུ-གསུམ	Thirteen stages
སུམ-ཅུ-རསྟ-གསུམ-པ	Thirty-Three
གསུམ-ཅུ-རྩ-གསུམ	 Thirty-Three Gods|Thirty-Three Gods 
དེ-བཞིན-གཤེགས-པའི-སྐྱེས-བུ-ཆེན-པོའི-མཚན-སུམ-ཅུ-རྩ-གཉིས	Thirty-two major marks of a superior man that the tathāgatas possess
སུམ-ཅུ-རྩ-གཉིས-མཚན	Thirty-two signs
མཚན-སུམ-ཅུ-རྩ-གཉིས	Thirty-two signs
ཐོན-མི-སམ-བྷོ-ཏ	 Thönmi Sambhota|Thönmi Sambhota 
ཐོ-ལིང	Tholing
ཅང-ཤེས-པ	Thoroughbred
གླང-པོ-ཆེ-ཅང-ཤེས	 Thoroughbred elephant|Thoroughbred elephant 
རྟ-ཅང-ཤེས	 Thoroughbred steed|Thoroughbred steed 
ཉམས-པའི-མ-ནིང	Those who are sexually impaired
ལུས-ལ-རྨ-མཚན-ཅན	Those whose bodies are marked
སྨད-འཆལ	Those with deformed lower parts
རྒྱལ-པོ-ལ-སྡིགས-པ	Threat to the king
འཇིག-རྟེན-གསུམ-པོ	Three abodes
ཏིང-ངེ-འཛིན-གསུམ	Three absorptions
