འམ	[C]vā; [C]athavā-api
རྣམ-པར-སྦྱོང-བ	[MSA]viśuddhi; [MSA]viśodhana; [MSA]viśodhanā
རྣམ-པར-སྦྱོང-བའི-ཆོས	[MSA]viśuddhi-dharma
རྣམ-པར-སྦྱོང-བར-བྱེད	[MSA](vi √śudh): viśodhayati
རྣམ-པར-སེལ-བ	[C]vikiraṇa; [C]viśodhayati; [L]vinodayanti; [MSA]vinayana
རྣམ-པར-སྒོམ-པ	[C]vibhāvanā (=niṣṭhā-mārgaḥ kṣaya-anutpāda-jñānam)
རྣམ-པར-ཤེས	[MV]vijñāna
རྣམ-པར-ཤེས-པ-འདྲ-བ-མེད-པ	[C]sadṛśa-vijñānatva
རྣམ-པར-ཤེས-པ-གནས-པ	[C]vijñāna-sthiti
རྣམ-པར-ཤེས-པ-ཕན-ཚུན-དང-ལྡན-པ	[C] anyonya-vijñāna-samaṅgin
རྣམ-པར-ཤེས-པ-པོ	[MSA]vijñātṛ
༅རྣམ-པར-ཤེས-པ༏-རྣམ-ཤེས	vijñāna
༅རྣམ-པར-ཤེས-པ༏-རྣམ-ཤེས༏-ཤེས-པ	[MSA,MV]vijñāna; [C]vijñata
རྣམ-པར-ཤེས-པའི-ཁམས	[C]vijñāna-dhātu
རྣམ-པར-ཤེས-པའི-རྐྱེན-གྱིས-མིང-དང-གཟུགས	[MSA]vijñāna-pratyayaṃ nāmarūpam
རྣམ-པར-ཤེས-པར-བགྱིད-པ	[C]vijñāpanatā
རྣམ-པར-ཤེས-པར-གྱུར-པ	[C]vijñeya; [C]vijñāna-gata
རྣམ-པར-སྐྱེ	[C]viruhati
རྣམ-པར-སྐྱོ	[C]parikhinna (=parikṣīṇa)
རྣམ-པར-སྨིན	[C]vipāku; [L,MV]vipāka
རྣམ-པར-སྨིན-ལ	[C]vipāku
རྣམ-པར-སྨིན-པ	[C,MV,MSA]vipāka; [MSA]vaipākya
རྣམ-པར-སྨིན-པ-དང-རྒྱུ-མཐུན-པའི-ཡོན-ཏན	[MSA]vipāka-niṣyanda-guṇa
རྣམ-པར-སྨིན-པ-དོན-དུ-གཉེར-བ	[MSA]arthī bhavati vipākena
རྣམ-པར-སྨིན-པ-ལ-བརྟེན-པ	[MSA]vipāka-saṃniśritā
རྣམ-པར-སྨིན-པ-ལ-མི-ལྟ-བའི-འདུ-ཤེས	[MSA]vipāka-nirapekṣa-saṃjñā
རྣམ-པར-སྨིན-པ-ལས-བྱུང-བ	[C]vipāka-ja
རྣམ-པར-སྨིན-པ-ལས-སྐྱེས-པ	[C]vipāka-ja
རྣམ-པར-སྨིན-པ-ཡིན-ནས	[C]vipacyate
རྣམ-པར-སྨིན-པའི-འབྲས-བུ	[MSA]vipāka-phala
རྣམ-པར-སྨོད-པར-འགྱུར	[C]vigarhate; [C]vigarhati
རྣམ-པར-སྣང-བ	[C]vairocano
རྣམ-པར-སྣང-མཛད	[C]vairocana
རྣམ-པར-སྔོས-པ	[C]vinīlaka
རྣམ-པར-སྤང-བར-བྱ	[C]vivarjayati
རྣམ-པར-སྤངས	[C]vivarjana; [MV,C]varjita; [L]visṛjya; [L]vigata; [C]vivarjayati
རྣམ-པར-སྤངས-པ	[C,MV]varjita; [C,MSA]vivarjita
རྣམ-པར-སྤོང-བ	[C]vivartanatā
རྣམ-པར-སྤོང-བར-འགྱུར-རོ	[C]visarjayati
རྣམ-པར-སྤྲོས-ཏེ-གོ-བ-མ-ཡིན-པ	[C] vipañcita-jña (=rūpaṇā-lakṣaṇaṃ rūpaṃ ity-ādy-abhidhāne tad-artha anavabodhān)
རྣམ-པར-སྤྱོད	[C]vicarati
རྣམ-པར-སུན-འབྱིན-པ	[MSA]vidūṣaṇa
རྣམ-པར-ཐར-པ	[C,MSA]vimokṣa
རྣམ-པར-ཐོ-འཚམ-པ-བསམ-པ	[L]viheṭhanā
རྣམ-པར-ཚིག-པ	[C]vidagdhaka
རྣམ-པར-ཟོས-པ	[C]vikhādika; [C]vikāditaka (=vikhādita)
རྣམ-རྫོགས-སྦྱོར-བ	 sarvākārābhisaṃbhodha | sarvākārābhisaṃbodha | sarvākārābhisaṃbo¬dha| sarvākārābhisaṃbo¬dha |sarvākārābhisaṃbhodha  
༅རྣམ-རྫོགས-སྦྱོར-བ༏-རྣམ-ཀུན-མངོན-པར-རྫོགས-པར-རྟོགས-པ	sarvākārābhisaṃbo¬dha
༅རྣམ-རྫོགས-སྦྱོར-བ།-རྣམ-ཀུན-མངོན-པར-རྫོགས-པར-རྟོགས-པ	 sarvākārābhisaṃbodha|sarvākārābhisaṃbhodha 
རྣམ-རིག	 vijñapti|vijñapti 
རྣམ-རིག-པ	vijñaptika; vijñaptivādin
རྣམ-རིག-པའི-ལུགས	vijñāptika
རྣམ-རིག-ཙམ	vijñaptimātra
རྣམ-རོལ	līla; [LCh]vikrīḍita
རྣམ-རྟོག	 vikalpa/kalpanā|[LCh,MV,MSA]vitarka; vikalpa; kalpanā 
༅རྣམ-རྟོག༏-རྟོག-པ	vikalpa/kalpanā
རྣམ-སྦྱོང	viśodana
རྣམ-ཤེས	 [MSA,MV]vijñāna; [C]vijñata| jñāna/vijñāna | vijñāna |vijñāna 
རྣམ-ཤེས-ཀྱི-ཟས	vijñānāhāra
རྣམ-ཤེས-མཐའ	[C]vijñānānta
རྣམ-ཤེས-མཐའ-ཡས	[C]vijñānānta; vijñānānantya
རྣམ-ཤེས-མཐའ-ཡས-སྐྱེ-མཆེད	[C]vijñānānantyāyatana
རྣམ-སྨིན	[C]vipāka; [MSA]prapāka
རྣམ-སྨིན-དག	[MSA]vipāka-śuddhi
རྣམ-སྨིན-གྱི-འབྲས-བུ	vipāka-phala
རྣམ-སྨིན-གྱི-རྒྱུ	vipāka-hetu
རྣམ-སྨིན-གྱི-སྒྲིབ-པ	*vipākāvaraṇa
རྣམ-སྨིན-རྣམ-ཤེས	vipakavijñāna
རྣམ-སྣང	[LCh,LR]vairocana
རྣམ-སྤངས	[C]vivarjayati
རྣམ-ཐར	vimokṣa
རྣམ-ཐར-པ	vimokṣa
རྣམ-ཐར-སྒོ	[C]vimokṣa-dvāra
རྣར-སྙན-པ	[MSA]karṇa-sukhā
རྔ	[MSA]tūrya
རྔ-བོ-ཆེ	[C]bherī
རྔ-བོ-ཆེ-ཆེན-པོའི-ལེའུ	mahābherīhāraka-parivarta
རྔ-ཡབ	cāmara
རྔ-ཡབ-གཞན	aparacāmara
རྔའི-སྒྲ	[MSA]dundubhi-svarā
རྔན-ཅན-བྱེད-པར-འགྱུར	[C]uccagghayati
རྔན-པ	[C]puṇya
རྔོན-པ	[C]niṣāda
རྣོ	[C]tīkṣṇa
རྣོ-བ	[C]tīkṣṇa
རྣོན	tīkṣṇa
རྣོན-པོ	[C]tīkṣṇa
རྙེད	[LCh,L]lābha; [C]labhate
རྙེད-འགྱུར	[C]vindati
རྙེད-གྱུར-ནས	[C]labdhā
རྙེད-མ-ཐག-ཏུ	[C]saha labdha
རྙེད-ནས	[C]labdhvā; [C]pratītya
རྙེད-ནས-ཐོབ-པ	[C]labdha
རྙེད-པ	[L,MSA,C]lābha; [C]pratilambha (=pratilābha); upālambha (sic)[MSA]; [MSA]( √śri): śrayate; [C]parāpuṇati
རྙེད-པ-འདོད	[C]lābha-kāma
རྙེད-པ-དང-བཀུར-སྟི	[C,MSA,MV]lābha-satkāra; [MSA]satkāra-lābha
རྙེད-པ-དང-བཀུར-སྟི-དང-ཚིགས-སུ-བཅད-པ	[MSA]lābha-satkāra-śloka
རྙེད-པ-དང-བཀུར-སྟི-དང-ཚིགས-སུ-བཅད-པ-དག-གི-རོ-མྱང-བས	[C]lābha-satkāra-ślok'āsvāda
རྙེད-པ-དང-བཀུར-སྟིའི-མཆོད-པ	[MSA]lābha-satkāra-pūjā
རྙེད-པ-དང-བཀུར-སྟིས	[C]lābha-satkāra
རྙེད-པ-དཀའ-ཞིང	[C]durlabhatva
རྙེད-པ-ལེགས-པར-རྙེད-དོ	[C]sulabdhā (me) lābhā
རྙེད-པ-ལེགས-པར-རྙེད-པ-ཡིན	[C]lābhās teṣāṃ sattvānāṃ sulabdhāḥ
རྙེད-པ-ངན-པ-རྙེད-པ-ཡིན-ནོ-ངན-པ-རྙེད-དེ-ལེགས-པར-མ-རྙེད-དོ	[C]lābhā me durlabdhā na sulabdhā
རྙེད-པ-ཡིན-ཏེ	[C]labdha
རྙེད-པའི-དོན-དུ	[MSA]lābhārtham
རྙེད-པར-འགྱུར	[C]labhate; [C]labdha; [C]pratilabhate (=pratilapsyante)
རྙེད-པར-འགྱུར-བ	[C]pratilabhate
རྙེད-པར-དཀའ-བ	[C]durlabha
རྙེད-པར-གྱུར	[C]labdha
རྙེད-པས-ཆོག-པའི-བསོད-ཉོམས-པ	[C]prāpta-piṇḍika
རྙེད-ཐོབ	[C]labdha
རྙོག-པ	[MSA]kāluṣya
རྙོག-པ-ཅན-དུ-མི-བྱེད-པ	[MSA]akaluṣī-karaṇa
རྙོག-པ-མེད-པ	[MSA]niḥkāluṣyatva
རོ	[LCh,MSA]rasa
རོ-བརྒྱ-ལྡན-པའི	[C]śata-rasa
རོ-བརྒྱ-པ	[C]śata-rasa
རོ-བྲོ-བའི-མཆོག-གོ	[C]rasa-rasa-jñatā
རོ-གཅིག	[L]eka-rasa; [C]eka-naya
རོ-གཅིག-པ	[L,MSA]eka-rasa; [C]eka-rasatva
རོ-གཅིག-པ-ཉིད-པ	[C]eka-rasatā
རོ-མྱང-བ	[MSA]āsvādana; [MSA,MV]āsvādanā
རོ-མྱང-མེད	[MSA]anāsvāda
རོ-མྱངས-པ	[MSA]āsvādita
རོ-མྱངས-པ-མ-ཡིན-པ	[MSA]anāsvādita
རོ-མྱོང-བ-བྱས	[C]āsvādayati
རོ-མྱོང-བར-བྱེད-པ	[MSA]āsvādana; [MSA]āsvādanā
རོ-མྱོང-བར-མི-བྱེད-པ	[MSA]anāsvādana
རོ-མྱོང-མི-བྱེད	[C]anāsvāda
རོ-མྱོང-མྱང-བ-བྱས	[C]āsvādayati
རོ-སྟོད	[C]pūrva-kāya
རོ-ཙ-བར-བྱ-བ	vājīkaraṇa
རོའི-སྐྱེ-མཆེད	rasāyatana
རོལ-མོ	 [Negi] tūrya | [PU] nāṭaka |[Negi] gāndharva 
རོལ-པ	[LCh]līlā; lalita; līla
རྟ	[C,MSA]aśva
རྟ-ཅན-ཤེས-ལྟར	[C]aśva-ājāneya-vat
རྟ-དབྱངས	Aśvaghoṣa
རྟག	[C]śāśvata; [C]śāśvatatā
རྟག-ལྟ	[N]śāśvata-darśana
རྟག-མེད	[MV]asac ca nityaṃ
རྟག-མཐའ	śāśvatānta; śaśvatānta
རྟག-མཐོང-བ	[MSA]nitya-darśana
རྟག-པ	[LCH]nitya; [MV]nityatva; [C,MV]śāśvata; [C]śāśvatatā; [MSA]sadā; [MSA]sātatya; śaśvatā
རྟག-པ-མེད	[C]aśāśvata
རྟག-པ-ཉིད	[MSA]nityatā
རྟག-པ-རྟག-པ-དུས	[L]nitya-kālam
རྟག-པ-རྟག-པའི-དུས	[NH] nityaṃ nitya-kālaṃ; [L] nityakālaṃ
རྟག-པའི-མཐའ	[N]śāśvatānta
རྟག-པའི-སྐུ	[MSA]nitya-kāya
རྟག-པར	[C]sadā; [C]sadṛ; [C]abhīkṣṇam; [MV]satatam
རྟག-པར-འཛིན-པ	[N]śāśvata-grāha; [MV]nityatva-grāha
རྟག-པར-བགྱིད-པ	[C]śāśvatika
རྟག-པར-སྨྲ-བ	śāśvata-vādin; śaśvatavādin
རྟག-སྦྱོར	[LCH]nitya-prayukta
རྟག-ཏུ	[C,TN,MSA]sadā; [C]sadṛ; [C,MSA]satatam; [C]abhīkṣṇam; [C]nitya; [C,MSA]nityam; [MSA]nirantara
རྟག-ཏུ-འཇུག	[MV]sadā pravartate; [MV]sadāvṛtti
རྟག-ཏུ-འཁྲུལ-པ-མེད-པའི-ཚུལ-ཁྲིམས	[MSA]nirantarāskhalita-śīla
རྟག-ཏུ-བརྡེག	[C]taḍāti
རྟག-ཏུ-བྱེད-པ	[L]nitya-kāra
རྟག-ཏུ-དེ-བཞིན-པ	[MV]nityaṃ tathaiva
རྟག-ཏུ-མེད-པ	[L]sadāvidyamāna; [MSA]nityaṃ nāsti; [MV]nityam asat
རྟག-ཏུ-ངུ	sadprarudita
རྟག-ཏུ-རྒྱུན-མི-འ-ཆད-པ	[C]satataṃ samitam (=satatam)
རྟག-ཏུ-རྗེས-སུ-འབྲེལ-པ	[MSA]satatānubaddha
རྟག-ཏུ-རྟོགས-པ	[MSA]nitya-bodha
རྟག-ཏུ-སྦྱོར-བ	nitya-prayukta
རྟག-ཏུ-སྦྱོར-བ-ཡིད-ལ-བྱེད-པ	[MSA]sātatya-manaskāra
རྟག-ཏུ-སྟོན-དང-ལྡན	[MSA]dhruva-kathana-yoga
རྟག-ཏུ-ཡིད-ལ-བྱས-པ-ཡིན	[C]sumanasikṛta
རྟགས	[LCh,C,MSA]liṅga; [L]nimitta
རྟགས-འཛིན-སེམས	liṇga-grahaṇa-citta
རྟགས-ལྟར-སྣང	[LCH]hetvābhāsa; liṅga-ābhāsa
རྟགས-མ-བཏབ-པ	[C]anāhata
རྟགས-མ-གྲུབ	asiddho hetuḥ
རྟགས-པ	[MSA](anu √īkṣ): anvīkṣita
རྟགས-ཡང-དག	samyak-liṅga
རྟེན	[LCH,C,MSA]āśraya; [C,MSA]niśrita; [L]niśritya; [MSA]niśraya; [MSA]saṃniśraya; [C]vy-apa-āśrayate; [MSA]adhiṣṭhāna; [MSA]pratiṣṭhā; [MSA,N]ādhāra; [C]ādheyatā; [C]pratisarati; [MSA]pratisaraṇa; [C]trāṇa; [C]gati; [MV]dhṛti
རྟེན-འབྲེལ	pratītya-samutpāda
རྟེན-འབྲེལ-ཡན-ལག-བཅུ-གཉིས	pratītyasamutpāda
རྟེན-འབྱུང-ཆོས	[MSA]pratītya-dharmodaya
༅རྟེན-འབྱུང༏-རྟེན-ཅིང-འབྲེལ-བར-འབྱུང-བ	 pratītyasamutpāda|pratītya-samutpāda 
རྟེན-ཅན	[MSA]adhiṣṭhāna; [MSA]āśraya; [C]ādhāra
རྟེན-ཅིང	[L]saṃniśritya
རྟེན-ཅིང-འབྲེལ-འབྱུང	[C]pratītya-samutpāda; [C]pratītyotpāda
རྟེན-ཅིང-འབྲེལ-བར-འབྱུང-བ	 pratītya-samutpāda | pratītyasamutpāda|[LCH]pratītya-samutpāda 
རྟེན-ཅིང-འབྲེལ-པར-འབྱུང-བ	[L,MSA,MV]pratītya-samutpāda
རྟེན-དང-བཅས-པ	[MSA]sāśraya
རྟེན-དང-ཞི-དང-འཇིགས-པ-མེད	[MSA]pratiṣṭhā-śānta-nirbhīta
རྟེན-དུ	[C]āśrayu
རྟེན-གྱི-བྱེ-བྲག	[MSA]āśraya-prabheda
རྟེན-གྱི-དབྱེ-བ	[MSA]āśraya-bheda
རྟེན-གྱི-དངོས-པོ	[MSA]āśraya-bhāva
རྟེན-གྱུར-པ	[C]ādhāra
རྟེན-ཀུན-ཏུ-འགྲོ-བ-ཅན	[MSA]sarvatragāśraya
རྟེན-ལ	[C]pratisarati
རྟེན-ལ-ཡོད-པ	[MSA]āśraya-saṃniviṣṭa
རྟེན-མེད-པ	[MSA]niḥpratisaraṇa
རྟེན-ནས	[L]niśritya
རྟེན-ནི-རུང-བ	[MSA]āśraya-yogyatā
རྟེན-ཉེ-བར-ཞི-བ	[MSA]āśrayopaśama
རྟེན-པ	[MSA]āśrita; [MSA]pratiśaraṇa; [MSA]pratiṣṭha
རྟེན-པ-དང-ལྡན-པ	[MSA]pratiśaraṇa-sahagata
རྟེན-པའི-བྱེད-རྒྱུ	[MV]dhṛti-kāraṇa
རྟེན-པར	[C]niśritya (=nimittīkṛtya)
རྟེན-རྣམ-པར-དབྱེ-བ	[MSA]āśraya-vibhakta
རྟེན-ཐ-དད	[MSA]bhinnāśraya
རྟེན-ཡིན-པ	[MV]āśrayo bhavati
རྟེན-ཡོངས-སུ-དག-པ	[MSA]āśraya-pariśuddhi
རྟིང	[C]pārṣṇi
རྟིང-པ	[C]pārṣṇi
རྟིང-པ-ཡངས-པ	[C]āyata-pārṣṇitā
རྟོག	[L]parīkṣā; kalpa; [C]kalpayi; [C]kalpayati; [C]parikalpati; [C]kalpanā; (para √i): [MSA]pare; [MSA]paraiti; prekṣate
རྟོག-བྲལ	[LCH]kalpanā-apoḍha
རྟོག-ཅིང	[C]avakalpayati; [C]vimṛśati; [C]pratyavekṣate
རྟོག-གེ	[LCh,L,C,MSA]tarka
རྟོག-གེ-འབར-བ	tarka-jvāla
རྟོག-གེ-བ	[N]tārkika
རྟོག-གེ-པ	[MSA,MV]tārkika
རྟོག-གེའི-སྤྱོད-ཡུལ	[L]tarka-gocara
རྟོག-གེའི-སྤྱོད-ཡུལ-མ-ལགས-པ	[C]avacara
རྟོག-གེའི-སྤྱོད-ཡུལ-མ-ཡིན-པ	[L]atarkāvacara
རྟོག-གེའི-ཡུལ-མ-ཡིན	[MSA]atarka-gamya
རྟོག-མེད	 nirvikalpa; nirvikalpaka|[LCH]akalpita; [MSA]akalpa; akalpanā 
རྟོག-མེད-ཀྱི-ཤེས-པ	akalpanā-jñāna; nirvikalpakajñāna
རྟོག-མེད-ཡེ-ཤེས	[N]nirvikalpa-jñāna
རྟོག-མེད-ཡིད-ཤེས	nirvikalpaka-mano-jñāna
རྟོག-མིན-མི-རྟོག-མ-ཡིན-པ	[MSA]na kalpo nāpi cākalpaḥ
རྟོག-པ	 vikalpa/kalpanā|[MV,MSA]kalpanā; [LCh,MSA,C,MV]kalpa; [C]vikalpa; [C]kalpana; [C]avakalpanatā; [MV]kalpayat; [MV]kalpayati; [MSA,MV]saṃkalpa; [MV]jalpa; [LCh,MSA]parīkṣā; [MSA]nirīkṣaṇā; [MV]pratyavekṣā; [MSA]vitarka; [C]avabodha; [MSA]mīṃāmsā; [MSA]so sor rtog pa = prat 
རྟོག-པ-བཅད-ཤེས	kalpanā-paricchinna-jñāna
རྟོག-པ-བྱེད-པ	[L]utprekṣa
རྟོག-པ-དང-བཅས	[L] savitarka
རྟོག-པ-དང-བཅས-པའི-ཏིང-ངེ-འཛིན	[L]savitarka-savicāra-samādhi
རྟོག-པ-དང-བྲལ-བ	[LCH]kalpanā-apoḍha
རྟོག-པ-དང-རྣམ-པར-རྟོག-པ-ཐམས-ཅད-སྤངས-པའི-སླད-དུ	[C]sarva-kalpa-vikalpa-prahīṇatvāt
རྟོག-པ-ལོག-ཤེས	kalpanā-bhrānti-jñāna
རྟོག-པ-མ-མཆིས	[C]avitarka
རྟོག-པ-མེད-ལ-དཔྱོད-པ-ཙམ	[MSA]a-vitarka-vicāra-mātra; [MSA]a-vitarka ... vicāra-mātra
རྟོག-པ-མེད-པ	[C]asaṃkalpanatā; nirvikalpaka
རྟོག-པ-མི-འཇུག	[MV]kalpāpravṛtti
རྟོག-པ-མི-བྱེད-པ	[L]anutprekṣa
རྟོག-པ-ནི-ངོ-བོ-ཉིད-དུ-རྟོག-པ	[MSA]svabhāva-kalpanaṃ kalpaḥ
རྟོག-པ-སྤོང	[MSA]vitarka-varjanā
རྟོག-པ-ཙམ	[MSA]kalpanā-mātra; [MSA]kalpa-mātra
རྟོག-པ-ཡང-མེད-དཔྱོད-པ-ཡང-མེད-པ	[MSA]a-vitarkāvicāra; [MSA]a-vitarka ... a-vicāra
རྟོག-པ-ཡི-མཚན-མ	[MSA]kalpa-nimitta
རྟོག-པའི-སྤྲོས-པ	[N]kalpanā-prapañca
རྟོག-པའི-ཡིད-ལ-བྱེད-པ	[MV]jalpa-manaskāra
རྟོག-པར-འགྲོ-བ	[C]niścayaṃ gacchati
རྟོག-པར-བགྱིད	[C]utprekṣate
རྟོག-པར-བྱ	[MSA]bodha
རྟོག-པར-གཞོག-པ	[C]nidhyāna
རྟོག-པར-ཤེས-པ	[MSA]kalpanatā-jñāna
རྟོག-པས-བཏགས-པ	*kalpanāprajñāpti
རྟོག-པས-མི-ཤིག	[MSA]vikalpābhedya
རྟོག-པས-རྣམ-པར-བསྒྲུབས-པ	[C]viṭhapita (=abhūta-parikalpa-prabhavatvāt)
རྟོག-ཡུལ	kalpanā-viṣaya
རྟོགས	[L]anubudhyate; [C]budhyati; [C]budhyate; [MV]anubhud-; [MSA]adhigama; [MSA]bodha; [MSA]bodhana; [MSA]gati; [MV]avagam; [MV](prati √vyadh): pratividhyati; [MV](√vid): viditvā; [C]vindati; adigam
རྟོགས-ཆུང	[MSA]alpāvabodha
རྟོགས-དཀར	[C]durbodha
རྟོགས-གཞི	[MSA]bodhāśraya
རྟོགས-ནས	[C]buddhitva; [MSA](anv √īkṣ): anvīkṣya; [MSA](prati √vyadh): pratividhya
རྟོགས-པ	[LCh,MSA,MV,C]adhigama; [MSA]abhigamana; [C]budhyati; [C]buddha; [MSA,C]avabodha; [C]avabodhana; [C]pratibodha; [MSA]boddhṛ; [MSA]bodha; [MSA]vibodha; [MV]anubudhyana; [MV]anubodha; [MV]praveśa; [C]pratiparsīran; [C,MSA]pratividdha; [MSA]prativedha; [C]pr
རྟོགས-པ-བརྗོད-པའི-སྡེ	[C,L]avadāna
རྟོགས-པ-ཅན	savikalpa
རྟོགས-པ-ཅན-གྱི-མངོན-སུམ	savikalpakapratyakṣa
རྟོགས-པ-ཅུང-ཟད-ཙམ-གྱིས	[MSA]alpenādhigamena
རྟོགས-པ-དང-ལྡན	[C]gatima; [C]gatimant
རྟོགས-པ-དང-ལྡན-པ	[C]buddhimat (=gatimat); [C]gatima; [C]gatimant; [MSA]prativedhayoga
རྟོགས-པ-དཀའ-བ	[C]duranubodha
རྟོགས-པ-མེད-པ	abaddha (=abodha?)
རྟོགས-པ-མངོན-པར-བརྗོད-ཅན-གྱི-ཤེས-པ	abhilāpinī pratītiḥ kalpanā
རྟོགས-པ-པོ	[MSA]bodhaka
རྟོགས-པ-རིང-བ-དང-ཉེ-བ	[MSA]dūrāntikaṃ bodhaṃ
རྟོགས-པ-སྦྱོར-བ-པ	[MSA]prativedha-prāyogika
རྟོགས-པ-སོ-སོར-རྟོགས-པ	[MSA]bodha-pratibodha
རྟོགས-པའི-དོན	[MSA]adhigamārtha
རྟོགས-པའི-དུས	[MSA]prativedha-kāla
རྟོགས-པའི-ཁྱད-པར	[MSA]bodha-viśeṣa
རྟོགས-པའི-ཤེས-རབ-ཅན	[L]prajñā
རྟོགས-པའི-ཚུལ-ཁྲིམས	[MSA]adhigama-śīla
རྟོགས-པའི-ཡེ-ཤེས-འཇིག-རྟེན-ལས-འདས-པ	[MSA]adhigama-jñāna ... lokottara
རྟོགས-པར	[C]anugacchati; [C]pratividhyati
རྟོགས-པར-འགྱུར	[C]adhigacchati
རྟོགས-པར-འགྱུར-བ	[MSA](abhi √gam): abhigamyate
རྟོགས-པར-འགྱུར-ཞིང	[C]avabudhya
རྟོགས-པར-བརྗོད-པའི-སྡེ	[C]avadāna
རྟོགས-པར-བྱ	[C]prativeddhavya
རྟོགས-པར-བྱ-བ	[C]ājānana
རྟོགས-པར-བྱའོ	[C]niṣṭā tatra gangtavyā
རྟོགས-པར-བྱས-ནས	[L]supratividdha; [C]adhigama
རྟོགས-པར-བྱེད	[C]budhyaka; [C]prativeddhavya; [C]īkṣate
རྟོགས-པར-བྱེད-པ	[C]nirvedhika (=nibbedhika? = adhigata?); [MSA]bodhana
རྟོགས-པར-དཀའ	[MV]gūḍha
རྟོགས-པར-དཀའ-བ	[C]durbodhatā; [L]durvigāhya
རྟོགས-པར-མེད-པ	[C]aprativedha
རྟོགས-པར-རུང-བ	[MSA]adhigama-yogya
རྟོགས-སླ	[C]subodha
རྟོགས-ཟིན-རྟོགས	adhigatārthādhiganta; adhigatārthādhigantṛ
རྟོན	[MSA,N]pratisaraṇa
རྟོན-པ	[MSA]upastambha; [MSA]upastambhikatva; [MSA]pratiśaraṇa; [MSA]pratiśaraṇī-bhāva
རྟོན-པ-བཞི	[N]catvāri pratisaraṇāni
རྟོན-པར-འགྱུར	[MSA]pratiśaraṇa; [MSA]pratiśaraṇī-bhāva
རྟོན-པར-བྱེད-པར-འགྱུར	[C]stambhayati
རྩ	[LCh]nāḍī; [C]mūla; [C]mūlaka; [C]śirā; nāḍi
རྩ-འཁོར	cakra
རྩ-བ	[LCh,C,MV,MSA]mūla; [MSA]pada; [MSA]pāda
རྩ-བ-བཟང-པོ	[MSA]su-mūla
རྩ-བ-དྲུག-པ	[MSA]ṣaṭ-pāda
རྩ-བ-ཤེས-རབ	Prajñā-nāma-mūla-madhyamaka-śāstra
རྩ-བའི-ཆོས-ཀྱི-དབྱིངས	[MSA]mūla-dharma-dhātu (sa-)
རྩ-བའི-དེ-ཁོ-ན	[MV]mūla-tattva
རྩ-བའི-ཁ-དོག	mūlavarṇa
རྩ-བའི-ལྟུང-བ	[C]mūla-āpatti
རྩ-བའི-ཉོན-མོངས	 mūla-kleśa|mūlakleśa 
རྩ-བའི-ཉོན-མོངས-པ	mūla-kleśa
རྩ-བའི-རང-བཞིན	mūlaprakṛti
རྩ-བའི-རྣམ-ཤེས	[TN]mūla-vijñāna
རྩ-བའི-སེམས	[MSA]mūla-citta
རྩ-བའི-སྟོབས	[MSA]mūla-bala
རྩ-དབུ-མ	avadhūtī
རྩ-ལག	[MSA]bandhu
༅རྩ-ཉོན༏-རྩ-བའི-ཉོན-མོངས	mūla-kleśa
རྩ-རོ-མ	rasanā
རྩ-ཤེས	prajñā-nāma-mūla-madhyamaka-śāstra
རྩབ-མོ	soma; [Das] kāñjika; ?????
རྩད-དབྱངས-རྗེས-སུ-འབྱུང-བ	[C]anunādin
རྩལ-ལྡན	[MSA]vikrānta
རྩེ-བ	[LCh]krīḍati
རྩེ-དགའ-བ	[MSA]krīḍā-rati
རྩེ-གཅིག	[LCh]ekāgra; [C]ekāgratā
རྩེ-གཅིག-པ	[LCh,C]ekāgra
རྩེ-གཅིག-པ-ཉིད	[C]ekāgratā
རྩེ-གཅིག-ཏུ-བྱེད-པ	ekotīkaraṇa
རྩེ-མོ	[LCh,L]agra; [LCh,C]mūrdhan; [MV]mūrdhāna; śekhara; śikhara; mūrdhagata
རྩེ-མོ-ལ-གནས-པ	[L]agra-sthita
རྩེ-མོའི-གནས-སྐབས	[MSA]mūrdhāvasthā
རྩེ-མོའི-མངོན-རྟོགས	[C]mūrdha-abhisamaya
རྩེ-མོའི-རྩེ-སྦྱོར	mūrdhamūrdhaprayogaḥ
རྩེ-མོར-གྱུར-པ	[C]mūrdha-ga(ta)
རྩེ-མོར-ཕྱིན-པ	[C]mūrdha-prāpta
རྩེ-སྦྱོར	mūrdhaprayoga
རྩེན	[MSA](√krīḍ): krīḍati
རྩི	[C]oṣadhī; [C]bhaiṣajya
རྩིའོ	[MSA](vi √gaṇ): vigaṇayati
རྩིབས	[C]ara
རྩོད	[C]vivāda; [C]vigraha; vivadati; [MSA]adhikaraṇa
རྩོད-བཟློག	vigraha-vyāvartanī
རྩོད-དུས	[LCh]kali-yuga
རྩོད-པ	[LCh,C,MSA,L]vivāda; [LCh]vāda; [C]vivadati (=samyag-jñānopetavān); [C]vigraha
རྩོད-པ-འདོད-པ	[C]vivāditu-kāma
རྩོད-པ-བྱེད	[N]vipravadati
རྩོད-པ-དང-རྒོལ-བར-སྨྲ-བའི-ངང-ཚུལ-ཅན	[C]vigraha-vivāda-śīlaḥ
རྩོད-པའི-བཞིའི-གནས	vivādādhikaraṇa
རྩོད-པའི-གཞིའི-གནས	vivādādhikaraṇa
རྩོད-པར-འགྱུར	[C]vivadati (=samyag-jñānopetavān)
རྩོད-པར-བྱ-བ	[C]vivāda
རྩོད-པར-བྱེད-པ	[C]vivadati
