སངས-རྒྱས	buddhaḥ
ཁམ-འཕྲོ-མི-བཅད	na kavaḍacchedakam (na karaḍacehādakam. na kavaḍocchedakam)
རྐན-མི-ཏོག	na jihvāsphoṭakam
ལག-པ-མི-བལྡག-པ	na hastāvalehakam
ལྷུང-བཟེད-མི-བྱོག	na pātrāvalehakam
ལག-པ-མི-སྤྲུག	na hastasaṃdhunakam
ལྷུང-བཟེད-མི-སྐྱོམ	na pātrasaṃdhunakam
མཆོད-རྟེན-དང-འདྲ-བར-བྱས-ཏེ-ཟས-མི-བཟའ	na stūpākṛtimavamṛdya piṇḍapātaṃ paribhokṣyāmaḥ (na stūpākṛtimavamṛdya piṇḍapātraṃ paribhokṣyāmaḥ)
ལག-པས-ཟས-དང-འབགས-པས-ཆུ-སྣོད-ལ-མི-གཟུང	na sāmiṣeṇa pāṇinodakasthālakaṃ grahīṣyāmaḥ
དྲུང-ན-འདུག-པའི-དགེ-སློང-ལ-ཟས-དང-འབགས-པའི-ཆུ-སྣོད-མི-གཏོར	na sāmiṣeṇodakenāntarikaṃ
དྲུང-ན-འདུག-པའི-དགེ-སློང-གི-ལྷུང-བཟེད-ལ-འཕྱས-གདགས-པའི-ཕྱིར-མི-བལྟ	nāvadhyānaprekṣiṇo 'ntarikasya bhikṣoḥ pātram avalokayiṣyāmaḥ
ཁྱིམ-དུ-འདུག-པ-ལ-མ-དྲིས-པར-ཟས-དང-འབགས-པའི-ཆུ-ཁྱིམ-པའི-ཁྱིམ-དུ-མི-དབོ	na sāmiṣam udakam antargṛhe chorayiṣyāmaḥ santaṃ gṛhiṇam anavalokya (na sāmikhom udakam antargṛhe chorayiṣyāmaḥ santaṃ gṛhiṇam anavalokya)
ལྷུང-བཟེད-ཀྱི-ནང-དུ-ཟས-ཀྱི-ལྷག-མ-བླུགས-ཏེ-མི-འདོར	na pātreṇa vighasaṃ cchorayiṣyāmaḥ
འོག-གཞི-མེད-པའི-ས-ཕྱོགས-སུ-ལྷུང-བཟེད-མི-བཞག	nānāstīrṇapṛthivīpradeśe pātraṃ sthāpayiṣyāmaḥ
འགྲེངས-ཏེ-ལྷུང-བཟེད-མི-བཀྲུ	notthitāḥ pātraṃ nirmādayiṣyāmaḥ
གད-ཁ-མ-ཡིན-པ-དང-གྱང-ས-མ-ཡིན-པ-དང-དཀན-གཟར-པོ-མ-ཡིན-པ-ལ-ལྷུང-བཟེད-གཞག-པར-བྱ	na taṭe na prapāte na prāgbhāre pātraṃ sthāpayiṣyāmaḥ
འབབ-ཆུ-དྲག-པོའི-རྒྱུན-ལས-བཟློག-སྟེ-ལྷུང-བཟེད-ཀྱིས-ཆུ-མི-བཅུ	na nadyāhāryāhāriṇyāṃ pratisrotaḥ pātreṇodakaṃ grahīṣyāmaḥ
མི-ན-བར-འདུག-པ-ལ-འགྲེངས-ཏེ-ཆོས-མི-བཤད	notthito niṣaṇṇāyāglānāya dharmaṃ deśayiṣyāmaḥ
མི-ན-བར-ཉལ-བ-ལ-འདུག-སྟེ-ཆོས-མི-བཤད	na niṣaṇṇā nipannāyāglānāya dharmaṃ deśayiṣyāmaḥ
མི-ན-བར-སྟན-མཐོན-པོ-ལ-འདུག-པ-ལ-སྟན-དམའ-བ-ལ-འདུག-སྟེ-ཆོས-མི-བཤད	na nīcatarake niṣaṇṇā uccatarake āsane niṣaṇnāyāglānāya dharmaṃ deśayiṣyāmaḥ (na nīcastarake āsana uccatarake āsane niṣaṇnāyāglānāya dharmaṃ deśayiṣyāmaḥ)
མི-ན-བར-མདུན-དུ-འགྲོ-བ-ལ-ཕྱི-ནས-འགྲོ-ཞིང-ཆོས-མི-བཤད	na pṛṣṭhato gacchantaḥ purato gacchate aglānāya dharmaṃ deśayiṣyāmaḥ
མི-ན-བར-ལམ-ནས-འགྲོ-བ-ལ-ལམ-གྱི-འགྲམ-ནས-འགྲོ-ཞིང-ཆོས-མི-བཤད	notpathena gacchantaḥ pathena gacchate aglānāya dharmaṃ deśayiṣyāmaḥ
མི-ན-བར-མགོ-གྱོགས-པ-ལ-ཆོས-མི-བཤད	nodguṇṭhikākṛtāyāglānāya dharmaṃ deśayiṣyāmaḥ (nodguṣṭhikakṛtāyāglānāya dharmaṃ deśayiṣyāmaḥ)
མི-ན-བར-བརྫེས-པ-ལ-ཆོས-མི-བཤད	notkṛṣṭikākṛtāyāglānāya dharmaṃ deśayiṣyāmaḥ
མི-ན-བར-གཟར-བ-ལ-ཆོས-མི-བཤད	notsaktikākṛtāyāglānāya dharmaṃ deśayiṣyāmaḥ
མི-ན-བར-གཉའ-གོང-དུ-བསྣོལ-བ-ལ-ཆོས-མི-བཤད	na vyastikākṛtāyāglānāya dharmaṃ deśayiṣyāmaḥ
མི-ན-བར-ཕག-པ-གཉིས-གས-གཟར-པ-ལ-ཆོས-མི-བཤད	na paryastikākṛtāyāglānāya dharmaṃ deśayiṣyāmaḥ
མི-ན-བར-ཕྲག-པ-གཉིས-ཀ-ལ-གཟར-བ-ལ-ཆོས-མི-བཤད	na paryastikākṛtāyāglānāya dharmaṃ deśayiṣyāmaḥ
སྐྲ-དོ-ཀེར-ཅན-ལ-ཆོས-མི-བཤད	noṣṇīṣaśirase dharmaṃ deśayiṣyāmaḥ
ཞྭ-གྱོན-པ-ལ-ཆོས-མི-བཤད	na kholāśirase dharmaṃ deśayiṣyāmi
མགོ-ཅོད-པན-ཅན-ལ-ཆོས-མི-བཤད	na maulīśirase dharmaṃ deśayiṣyāmaḥ
མགོ-དཀྲིས-པ-ལ-ཆོས-མི-བཤད	na veṣṭitaśirase dharmaṃ deśayiṣyāmaḥ
གླང-པོ-ཆེ-ལ-ཞོན-པ-ལ-ཆོས-མི-བཤད	na hastyārūḍhāya dharmaṃ deśayiṣyāmaḥ
རྟ-ཞོན-པ-ལ-ཆོས-མི-བཤད	nāśvārūḍhāya dharmaṃ deśayiṣyāmaḥ
ཁྱོགས-ན-འདུག-པ-ལ-ཆོས-མི-བཤད	na śivikārūḍhāya dharmaṃ deśayiṣyāmaḥ
བཞོན-པའི-སྟེང-ན-འདུག-པ-ལ-ཆོས-མི-བཤད	na yānārūḍhāya dharmaṃ deśayiṣyāmaḥ
ལྷམ-མཐོན-པོ-གྱོན-པ-ལ-ཆོས-མི-བཤད	na pādukārūḍhāya dharmaṃ deśayiṣyāmi (na pādakarūḍhāya dharmaṃ deśayiṣyāmi)
ལག-ན-འཁར-བ-ཐོགས-པ-ལ-ཆོས-མི-བཤད	na daṇḍapāṇaye dharmaṃ deśayiṣyāmaḥ
ལག-ན-གདུགས-ཐོགས-པ-ལ-ཆོས-མི-བཤད	na cchattrapāṇaye dharmaṃ deśayiṣyāmaḥ
ལག-ན-མཚོན-ཐོགས-པ-ལ-ཆོས-མི-བཤད	na śastrapāṇaye dharmaṃ deśayiṣyāmaḥ
ལག-ན-རལ-གྲི-ཐོགས-པ-ལ-ཆོས-མི-བཤད	nakhaḍgapāṇaye dharmaṃ deśayiṣyāmaḥ
ལག-ན-དགྲ-ཆ-ཐོགས-པ-ལ-ཆོས-མི-བཤད	nāyudhapāṇaye dharmaṃ deśayiṣyāmaḥ
གོ-ཆ-གྱོན-པ-ལ-ཆོས-མི-བཤད	na saṃnaddhāya dharmaṃ deśayiṣyāmaḥ
མི-ན-བར-འགྲེང-སྟེ-བཤང-གཅི-མི-བྱ	nāglānā utthitā uccāraprasrāvaṃ kariṣyāmaḥ
མི-ན-བར-ཆུའི-ནང-དུ-བཤང-གཅི-དང-མཆིལ-མ-དང-སྣབས-དང-སྐྱུགས-པ-དང-ཁ-ནས-བྱུང-བ-མི-དོར	nāglānā udaka uccāraprasrāvaṃ kheṭaṃ siṅghāṇakaṃ vāntaṃ viriktaṃ cchorayiṣyāmi
མི-ན-བར-རྩ-སྔོན-པོ-ཡོད-པའི-ས-ཕྱོགས-སུ-བཤང-ལྕི-དང-མཆིལ-མ-དང-སྣབས-དང-སྐྱུགས-པ-དང-ཁ-ནས-བྱུང-བ-མི-དོར	nāglānāḥ saharitapṛthivīpradeśe uccāraprasrāvaṃ kheṭaṃ siṃghāṇakaṃ vāntaṃ viriktaṃ cchorayiṣyāmaḥ
མི-ན-བར-རྩ-སྔོན-པོ-ཡོད-པའི-ས-ཕྱོགས-སུ-བཤང-གཅི-དང-མཆིལ-མ-དང-སྣབས-དང-སྐྱུགས-པ-དང-ཁ-ནས-བྱུང-བ-མི-དོར	nāglānāḥ saharitapṛthivīpradeśe uccāraprasrāvaṃ kheṭaṃ siṃghāṇakaṃ vāntaṃ viriktaṃ cchorayiṣyāmaḥ
གནོད-པ-བྱུང-བ-མ-གཏོགས-པར-ཤིང-ལ-མི-གང-ཙམ-ལས-མཐོར-མི-འཛེག-པ-ལ-བསླབ-པར-བྱ	nasādhikapauruṣyaṃ vṛkṣam adhirokṣyāma anyatrāpada iti śikṣā karaṇīyā
རྩོད-པ-ཞི-བར-བྱེད-པའི-ཆོས-བདུན-ལ	adhikaraṇaśamathā
མངོན-སུམ-འདུལ-བར-འོས-པ	saṃmukhavinayaḥ
དྲན-པས-འདུལ-བར-འོས-པ	smṛtivinayaḥ
མ-མྱོས-པར-འདུལ-བར-འོས-པ	amūḍhavinayaḥ
གང-ཚུལ-ཤིང-མང-པོ-སྦྱིན-པར-འོས-པ	yadbhūyasikīyaḥ (yadbhūyaḥ īṣīkīyaḥ. yadbhūyaḥ aiṣīkīyaḥ)
དེའི-ངོ-བོ-ཉིད-ཚོལ-དུ-གཞུག-པར-འོས-པ	tatsvabhāvaiṣīyaḥ
རྩྭ-བཀྲམ-པ-ལྟ-བུར-འོས-པ	tṛṇaprastārakaḥ (stṛṇāprastārakaḥ)
ཁས-བླང-བར-འོས-པ	pratijñākārakaḥ
འདུལ-བ-དང-འགལ-བ	vinayātisāriṇī
བཤགས-པར-བྱ-བ	deśanākaraṇīyā
བསྡམ-པར-བྱ-བ	saṃvarakaraṇīyā
བསྡིགས-པ	tarjanīyam
བསྐྲད-པ	pravāsanīyam
ཕྱིར-གྱེད-པར-སྤང-བ	pratisaṃharaṇīyam
གནས-ནས-དབྱུང-བ	utkṣepaṇīyam
བསྙིལ-བ	nāśanīyam (naśanīyam)
ལྟུང-བ-ལས-བསླང-བ	āpattivyutthānam (utpatts)
སྤོ-བ	parivāsaḥ
གཞི-ནས-སྤོ-བ	 mūlāpakarṣaparivāsaḥ|mūlaparivāsaḥ 
མགུ-བར-བྱ-བ	mānāpyam (mānātvam)
བཞི-ནས-མགུ-བར-བྱ-བ	mūlamānāpyam (mūlamānātvam)
ཡང-གཞི-ནས-བསླང-སྟེ-མགུ-བར-བྱ-བ	mūlāpakarṣamānāpyam(mūlāpakarṣamānātvam)
མགུ-བར-བྱས	cīrṇamānāpyam (cīrṇamānātvam)
དབྱུང-བ	āvarhaṇam (avarhaṇam)
དད-པ-དང-ཡོང-བ-དག-པ	chandapariśuddhiḥ
གསོལ-བ-གཅིག-པུ	muktikājñāptiḥ
གསོལ-བའི-ལས	jñāptikarma (jñāptikarman)
གསོལ-བ-དང-གཉིས	jñāptidvitīyam
གསོལ-བ-དང-བཞི	jñāpticaturtham
ལས-བརྗོད-པ	karmavācanā
ལས-བརྗོད-པ-དང-པོ	prathamā karmavācanā
ལས-བརྗོད-པ-གཉིས-པ	dvitīyā karmavācanā
ལས-བརྗོད-པ-གསུམ-པ	tṛtīyā karmavācanā
གྲིབ-ཚོད	chāyā
དུས-ལྔ	pañcasamayāḥ
གནས-བཞི	catvāro niśrayāḥ
ཤིང-དྲུང	vṛkṣamūlam
བསོད-སྙོམས	piṇḍapātaḥ
ཕྱག-དར-ཁྲོད	pāṃsukūlam (pāṃsukkulam)
སྨན-བཀུས-ཏེ-བོར-བ	pūtimuktabhaiṣajyam
ལྟུང-བར-འགྱུར-བའི-ཆོས	patanīyā dharmāḥ (patanīyaḥ dharmaḥ)
དགེ-སྦྱོང-བྱེད-པ	śramaṇakārakāḥ
གསོ-སྦྱོང	poṣadhaḥ
བགྲ-ཤིས-ཀྱི-གསོ-སྦྱོང	maṅgalapoṣadham
མི-བདེ-བ-ལ-གསོ-སྦྱོང-བྱ-བ	āpat poṣadham (arvatpoṣadham)
ཚུལ-ཤིང	śalākā
གནས-པར-དམ-བཅས-བ	upagatiḥ
དབྱར-སྦྱོར	varṣopanāyikā (varṣāpanāyikā)
དགག-དབྱེ	 pravāritam|pravāraṇam 
དགག-དབྱེ-བྱེད	pravārikaḥ
དགག-ཕྱེད	pravāritam
སྲ-བརྐྱང-བཏིང-བ	 kaṭhināstarakaḥ|kaṭhināstaraṇam 
སྲ-བརྐྱང	 kaṭhinam|kaṭhinam 
སྐྱབས-གསུམ-དུ-འགྲོ-བའི-མིང-ལ	triśaraṇagamanam
རྐང-གཉིས-ཀྱི-མཆོག-སངས-རྒྱས-ལ-སྐྱབས-སུ-མཆིའོ	buddhaṃ śaraṇaṃ gacchāmi dvipādānām agryam
འདོད-ཆགས-དང-བྲལ-བའི-མཆོག-ཆོས-ལ-སྐྱབས-སུ-མཆིའོ	dharmaṃ śaraṇaṃ gacchāmi virāgāṇām agryam
ཚོགས-ཀྱི-མཆོག-དགེ-འདུན-ལ-སྐྱབས-སུ-མཆིའོ	saṃghaṃ śaraṇaṃ gacchāmi gaṇānām agryam
མི-ཚངས-པར-སྤྱོད-པ-སྤོང-བ	abrahmacaryāviratiḥ
བརྫུན-དུ-སྨྲ-བ-སྤོང-བ	mṛṣāvādaviratiḥ
མྱོས-པར-འགྱུར-བའི-བཏུང-བ-སྤོང-བ	madyapānaviratiḥ
སྤོས-དང-ཁ-དོག-དང-དབྱུག-པ-དང-ཕྱེང-བ-ཐོགས-པ-སྤོང-བ-དང	gandhamālyavilepanavarṇakadhāraṇaviratiḥ
ཁྲི-སྟན-མཐོན-པོ-དང-ཁྲི-སྟན-ཆེན-པོ-སྤོང-བ	uccaśayanamahāśayanaviratiḥ (ucchaśayanamahāśayanaviratiḥ)
དུས-མ-ཡིན-པའི-ཟས-སྤོང-བ	vikālabhojanaviratiḥ
སློབ-དཔོན-དགོངས-སུ-གསོལ	samanvāhāra ācārya
དགེ-འདུན-བཙུན-པ-རྣམས-གསན-དུ-གསོལ	śṛṇotu bhadanta saṃghaḥ
ཇི-སྲིད-འཚོའི-བར-དུ	yāvajjīvam
བདག-དྲང-དུ-གསོལ	ullumpatu mām (ullumbatu mām)
རྗེས-སུ-སློབ-པོ	anuśikṣe
རྗེས-སུ-སྒྲུབ-པོ	anuvidhīye
རྗེས-སུ-བགྱིད-དོ	anukaromi
དགེ-སྦྱོང-དུ-བྱེད-པའི-ཆོས-བཞི-མིང-ལ	catvārah śramaṇakārakadharmāḥ
གཤེ-ཡང-སླར-མི-གཤེ-བར-བྱ	ākruṣṭena na pratyākroṣṭavyam (ākroṣtona na pratyākroṣṭavyam)
ཁྲོས-ཀྱང-སླར-མི-ཁྲོ-བར-བྱ	roṣitena na pratiroṣitavyam
མཚང-བྲུས-ཀྱང-སླར-མི-འབྲུ-བར-བྱ	bhaṇḍitena na pratibhaṇḍitavyam
བརྡེག-ཡང-སླར-མི-བརྡེག-པར-བྱ	tāḍitena na pratitāḍitavyam
རབ-ཏུ-བྱུང-བ	pravrajitaḥ
བསྙེན-པར-རྫོགས-པ	upasaṃpannaḥ
དགེ-སློང	bhikṣuḥ
དགེ-སློང-མ	bhikṣuṇī
དགེ-ཚུལ	śramaṇeraḥ
དགེ-ཚུལ-མ	śramaṇerikā
དགེ-སློབ-མ	śikṣamāṇā
རྒན-ཞུགས	mahallakaḥ
བསླབ-པས-བྱིན-པ	śikṣādattakaḥ
དགེ-བསྙེན	upāsakaḥ
དགེ-བསྙེན-མ	upāsikā
གསོ-སྦྱོང-བ	poṣadhikaḥ
མཁན-པོ	upādhyāyaḥ
སློབ-དཔོན	ācāryaḥ
གསང-སྟེ-སྟོན-པ	raho 'nuśāsakaḥ (rahotuśāsakaḥ)
གནས-བྱིན-པ	niśrayadāyakaḥ (niśrayadāpakaḥ)
ཀློག-པའི-སློབ-དཔོན	pāṭhācāryaḥ
གནས-བརྟན	sthaviraḥ
གཞོན-རབས	dahraḥ. (daharaḥ)
ལག-གི-བླ	navakarmikaḥ
ཞལ-ལྟ-པ	vaiyavṛtyakaraḥ (vaiyaprityakaḥ)
སློབ-མ	śiṣyaḥ
ཡང-སློབ	praśiṣyaḥ
ཉེ-གནས	antevasī (antavāsī)
ཕྱི-བཞིན-འབྲང-བའི-དགེ-སྦྱོང	paścācchramaṇaḥ
བར-མ	 madhyaḥ|madhyaḥ 
གསར-བུ	navakaḥ
རྒན-རིམས	vṛddhāntaḥ (vṛddhānnaḥ)
གཞོན-རིམས	navāntaḥ
གཞི-བ	naivāsikaḥ
བློ-བུར-དུ-འོངས-པ	āgantukaḥ
འགྲོ-བར-ཆས-པ	gamikaḥ
འོངས-པ	āgamikaḥ
ལྷུང-བཟེད-ནག-པ-ཅན	kālapātrikaḥ (kālapattrikaḥ)
མིང-གི-དགེ-སློང	saṃjñābhikṣuḥ
ཁས-འཆེ-བའི-དགེ-སློང	pratijñābhikṣuḥ
སློང-བའི-ཕྱིར-དུ-དགེ-སློང	bhikṣuta iti bhikṣuḥ
ཉོན-མོངས-བཅོམ-པའི-ཕྱིར-དགེ-སློང	bhinnakleśatvād bhikṣuḥ
གསོལ-བ-དང-བཞིའི-ལས-ཀྱིས-བསྙེན-པར-རྫོགས-པའི-ཕྱིར-དགེ-སློང	jñāpticaturthakarmaṇopasaṃpanno bhikṣuḥ
རྐུ-ཐབས-སུ-གནས-པ	steyasaṃvāsikaḥ
ཐ-དད-གནས-པ	nānāsaṃvāsikaḥ
གནས-པར-མི-བྱ-པ	asaṃvāsikaḥ
མུ-སྟེགས-ཅན-ཞུགས-པ	tīrthikāvakrāntakaḥ
མ-གསོད-པ	mātṛghātakaḥ
ཕ-གསོད-པ	pitṛghātakaḥ
དགྲ-བཅོམ-པ-གསོད-པ	arhadghātakaḥ
དགེ-འདུན-གྱི-དབྱེན-བྱེད-པ	saṃghabhedakaḥ
དེ-བཞིན-གཤེགས-པ-ལ-ངན-སེམས-ཀྱིས-ཁྲག-འབྱིན-པ	tathāgatasyāntike duṣṭacittarudhirotpādakaḥ
དགེ-སློང-མ-སུན-ཕྱུང-བ	bhikṣuṇīdūṣakaḥ
མ-ནིང	paṇḍakaḥ
སྐྱེས-པ-ནས-མ-ནིང-དུ-གྱུར-པ	jātipaṇḍakaḥ
མ-ནིང-ཟླ-ཕྱེད-པ	pakṣapaṇḍakaḥ
འཁྱུད-ནས-ལྟང-བའི-མ-ནིང	āsaktaprādurbhāvī paṇḍakaḥ
མ-ནིང-ཕྲག-དོག-ཅན	īrṣyāpaṇḍakaḥ
ཉམས-པའི-མ-ནིང	āpatpaṇḍakaḥ
ཟ-མ	ṣaṇḍhaḥ
མཚན-གཉིས-པ	ubhayavyañjanaḥ
ལག-པའི-སོར-མོ-ཟླུམ-པོར-འཇས-པ	aṅgulīphaṇahastakaḥ
མཆུ-མེད	anoṣṭhakaḥ
ལུས-རྨ-མཚན-ཅན	citrāṅgaḥ
རྒན-ཆེས-པ	ativṛddhaḥ
བཞོན-ཆེས-པ	atibālakaḥ
གཞོན-ཆེས-པ	atibālakaḥ
ཐེང-པོ	khañjaḥ
གྱོལ-པ	khelaḥ
སྨད-འཆལ	kāṇḍarikaḥ (kaṇḍarikaḥ)
ཞར-བ	kāṇaḥ
ལག-སོར-རྡུམ-པོ	kuṇiḥ
མིའུ-ཐུང	vāmanaḥ
ལྦ-བ	galagaṇḍaḥ
ལྐུག-པ	mūkaḥ
འོན-པ	badhiraḥ
རྟེན-འཕྱེ	pīṭhasarpiḥ
རྐང-འབམ	 ślīpādaḥ|ślīpadī 
བུད-མེད-ཀྱིས-དུབ-པ	strīcchinnaḥ
ཁུར-གྱིས-དུབ-པ	bhāracchinnaḥ
ལམ-གྱིས-དུབ-པ	mārgacchinnaḥ
ཡ-ཟ-མ-ཟུག	tālamuktah
གཏའ-གམ-པ	kandalīcchinnaḥ (kondalicchinnaḥ)
རྒྱལ-པོས-བཀྲབས-པ	rājabhaṭaḥ
ཆོམ-རྐུན-པོར-གྲགས-པ	cauro dhvajabaddhakaḥ
སྐྲ-སེར	 kapilakeśaḥ|hāridrakeśaḥ 
སྐྲ-ལྗང-ཁུ-བ	haritakeśaḥ
སྐྲ-དཀར-བ	avadātakeśaḥ
སྐྲ-བ-ལང-གི-སྤུ-འདྲ-བ	nāgakeśaḥ
སྐྲ-སེར-སྐྱ	harikeśaḥ
སྐྲ-མེད-པ	akeśakaḥ
མགོ-འབར-འབུར-ཅན	ghaṭāśirās (ghaṭāśiras. vattuśiras)
གླད-པོ-ཆེ	vattuśirāḥ (vandu śiras. caluśiras)
ཧ-ཅང-སྦོམ-པོ	atisthūlaḥ
ཧ-ཅང-ཐུང-བ	atihrasvaḥ
ཧ-ཅང-རིང-བ	atidīrghaḥ
སྐེམ-པོ	kṛśālakaḥ
ལུས-ཉམས-པ	vikaṭakaḥ
ཤ-མདོག-སྣོ-ཆེས-པ	nīlacchavivarṇaḥ
ཤ-མདོག-སེར-ཆེས-པ	pītacchavivarṇaḥ
ཤ-མདོག-དམར-ཆེས-པ	lohitacchavivarṇah
ཤ-མདོག-དཀར-ཆེས-པ	avadātacchavivarṇaḥ
ལུས-གླེབས-པ-འདྲ-བ	vipāṭakaḥ
མགོ-བོང-བུའི-ལྟ-བུ	kharaśīrṣaḥ
མགོ-ཕག-གི-ལྟ-བ	sūkaraśīrṣaḥ
མགོ-ཁྱིའི-ལྟ-བུ	śvaśīrṣaḥ
མགོ-གཉིས-པ	dviśīrṣaḥ
མགོའུ-ཆུང	aśīrṣakaḥ
རྣ-བ-གླང-པོ-ཆེའི-ལྟ-བུ	hastikarṇaḥ
རྣ-བ-རྟའི-ལྟ-བུ	aśvakarṇaḥ
རྣ-བ-བ-ལང-གི-ལྟ-བུ	gokarṇaḥ (goṇagarṇāḥ)
རྣ-བ-སྤྲེའུའི-ལྟ-བུ	markaṭakarṇaḥ
རྣ-བ-བོང-བུའི-ལྟ-བུ	kharakarṇaḥ
རྣ-བ-ཕག-པའི-ལྟ-བུ	sūkarakarṇaḥ
རྣ-གཅིག-པ	ekakarṇaḥ
རྣ-མེད-པ	akarṇaḥ
མིག-དམར-བ	lohitākṣaḥ
མིག-ཧ-ཅང-ཆེ-བ	ativattākṣaḥ (ativantākṣaḥ)
མིག-ཆུང-བ	cūllākṣaḥ
མིག-ཧ-ཅང-སེར-བ	atipiṅgalākṣaḥ
ཤེལ-མིག	kācākṣaḥ
ཕྲག-མིག	skandhākṣaḥ
མིག-ཆུ-བུར-ལྟ-བུ	budbudākṣaḥ
མིག-གཅིག-པ	ekākṣaḥ
མིག-མེད-པ	anakṣakaḥ
སྣ-རྟའི-ལྟ-བུ	aśvanāsaḥ
སྣ-གླང-པོ-ཆེའི-ལྟ-བུ	hastināsaḥ
སྣ-བ-ལང-གི-ལྟ-བུ	gonāsaḥ (goṇanāsaḥ)
སྣ-སྤྲེའུའི-ལྟ-བུ	markaṭanāsaḥ
སྣ-བོང-བུའི-ལྟ-བུ	kharanāsaḥ
སྣ-ཕག-གི-ལྟ-བུ	sūkaranāsaḥ
སྣ-སྦུབས-གཅིག-པ	ekanāsaḥ
སྣ-མེད	anāsaḥ
ཀོ-ཀོ-གླང-པོ-ཆེའི-ལྟ-བུ	hastijoḍaḥ
ཀོ-སྐོ-རྟའི-ལྟ-བུ	aśvajoḍaḥ
ཀོ-སྐོ-བ-ལང-གི-ལྟ-བུ	gojoḍaḥ (goṇajodaḥ)
ཀོ-སྐོ-སྤྲེའུའི-ལྟ-བུ	markaṭajoḍaḥ
ཀོ-སྐོ-བོང-བུའི-ལྟ-བུ	kharajoḍaḥ
ཀོ-སྐོ-ཕག-གི-ལྟ-བུ	sūkarajoḍaḥ
སྐོ-ད-མྱུང	liṅgajoḍaḥ
སྐོ-ཅིག-པ	ekajoḍaḥ
ཀོས-མེད	ajoḍaḥ
སོ-གླང-པོ-ཆེའི-ལྟ-བུ	hastidantaḥ
སོ-བ-ལང-གི-ལྟ-བུ	godantaḥ (goṇadantaḥ)
སོ-རྟའི-ལྟ-བུ	aśvadantaḥ
སོ-བོང-བུའི-ལྟ-བུ	kharadantaḥ
སོ-སྤྲེའུའི-ལྟ-བུ	markaṭadantaḥ
སོ-ཕག-གི-ལྟ-བུ	sūkaradantaḥ
སོ-གཅིག-པ	ekadantaḥ
སོ-མེད	adantaḥ
མགུལ-རིངས-ཆེས-པ	atigrīvaḥ
མཇིང-ནུབ	agrīvaḥ
ཕོ-མཚན-ཆད-པ	lāṅgulacchinnaḥ
རླིག-རླུགས	vātāṇḍaḥ
རླིག-གཅིག	ekāṇḍaḥ
རླིག-མེད	anaṇḍakaḥ
མ-འོས-པར-ངལ-སྐྱན-པ	atikilāsī (atikilāśī)
ལོང-བའམ-ལྡོངས-པ	andhalaḥ
དམུས-ལོང	jātyandhaḥ (jatyandhaḥ)
ལག-རྡུམ	kuṇḍaḥ
གྲུམ-པོ	phakkaḥ
ཞ-བོ	paṅguḥ (pāṅguḥ)
སྣ-ལེབ	cipiṭanāsaḥ(cippitanāsaḥ)
སོ-ཕྲོད	viraladantaḥ
སོ-བྲོད	viraladantaḥ
སོ-སྟོ	danturaḥ
མིག-ཡོ-བ	kekaraḥ
མིག-ནོངས-བ	ṭerākṣaḥ (ḍarakṣaḥ. torakṣaḥ. torakṣāḥ)
ཚག-པོ	piccaṭaḥ (picchaḍaḥ)
རྐེད-འཆུ	vakranitambaḥ (cakranitambaḥ)
ལྟེ-བུར	tundilaḥ
རྐང-ལག-འཁུམས-པ	saṃkucitaḥ (saṃkuṇitaḥ)
དིག-པ	khakkhalaḥ
གླན-པ	jaḍaḥ
གསུས-འཕྱང	 lambodaraḥ|gillapeṭṭaḥ 
སྐྱེས-པ-འདྲ-བའི-བུད-མེད	puruṣānukṛtistrī
བུད-མེད-འདྲ-བའི-སྐྱེས-པ	stryanukṛtipuruṣaḥ
སྡིག-སྡིག-ལྟའི-མཚན-ཉིད	pāpalakṣaṇam
གདོང-ཁྱིའི-ལྟ-བུ	śvamukhaḥ
གླིང-གཞན-ནས-སྐྱེས-པའི-ཚུལ-བྱད-མི-འདྲ-བ	bhinnakalpadvīpāntarajaḥ
རྣ-གྱོན	karṇaprāvaraṇaḥ (karṇapravaraṇaḥ)
སེན-མོ-གཅིག-པ	ekanakhaḥ
ལག-པ-འཇས-ཏེ-སྟེབས-པ	sāmudrakalekhakaḥ (samudraḥ valekhaḥ. samudrakalekhaḥ)
གཞོགས-ཕྱེད-འཇས-པ	pakṣahataḥ
མགོ-སྨྱུང	liṅgaśirāḥ (ligaśiraḥ)
མགོ-སྙུང	liṅgaśirāḥ (ligaśiraḥ)
སྐྲ-སྒྲ-སྒྲེ-ཅན	gulmakeśaḥ
དགྱེའོ	bahikubjaḥ (bahiḥkubjaḥ)
དགྱེ-གུར-སྒུར-པ	dvikubjaḥ
སོར-མོ-འབྱར-བ	sahitāṅguliḥ
སོར-མོ-མེད-པ	anaṅguliḥ
སོར-མོ-དྲུག-པ	ṣaḍaṅguliḥ
རྫི-མ-ནང-དུ-འཇུག-པ	pakṣmākṣaḥ
མིག-ནེའུ-ལེ-ལྟ-བུ	nakulākṣaḥ
འུག-མིག-པོ	kiṃpilākṣaḥ
མིག-ཕྱིན-ཅི-ལོག	viparītākṣaḥ
མིག-བར-འཛིངས-པ	militākṣaḥ
མིག-སླེའོ	 kaṣmīlitākṣaḥ|śikyākṣaḥ (śikṣākṣaḥ) 
མིག-ཟླུམ-པོ	akṣākṣaḥ
མིག-པོ-ཆེ	akṣiśālāḥ
